Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1989-03-10,85.65,85.65,85.6,85.62,34.0,199103.0,34.0
1989-03-13,85.55,85.55,85.55,85.55,5.0,199103.0,39.0
1989-03-14,85.47,85.48,85.45,85.48,52.0,199103.0,91.0
1989-03-15,85.45,85.48,85.42,85.48,45.0,199103.0,126.0
1989-03-16,85.52,85.65,85.46,85.65,20.0,199103.0,143.0
1989-03-17,85.65,85.7,85.63,85.67,8.0,199103.0,145.0
1989-03-20,85.67,85.67,85.6,85.64,50.0,199103.0,169.0
1989-03-21,85.6,85.6,85.59,85.59,24.0,199103.0,178.0
1989-03-22,85.6,85.6,85.53,85.53,40.0,199103.0,217.0
1989-03-23,85.55,85.58,85.54,85.54,34.0,199103.0,253.0
1989-03-28,85.67,85.67,85.67,85.67,0.0,199103.0,252.0
1989-03-29,85.7,85.7,85.69,85.69,0.0,199103.0,252.0
1989-03-30,85.65,85.8,85.65,85.79,37.0,199103.0,287.0
1989-03-31,85.7,85.75,85.7,85.73,8.0,199103.0,287.0
1989-04-03,85.7,85.75,85.7,85.73,39.0,199103.0,290.0
1989-04-04,85.7,85.7,85.65,85.7,61.0,199103.0,320.0
1989-04-05,85.65,85.66,85.63,85.66,63.0,199103.0,348.0
1989-04-06,85.79,85.79,85.79,85.79,0.0,199103.0,349.0
1989-04-07,85.78,85.78,85.78,85.78,0.0,199103.0,349.0
1989-04-10,85.77,85.77,85.77,85.77,11.0,199103.0,360.0
1989-04-11,85.75,85.75,85.7,85.7,43.0,199103.0,392.0
1989-04-12,85.7,85.7,85.63,85.65,189.0,199103.0,561.0
1989-04-13,85.6,85.7,85.6,85.69,26.0,199103.0,580.0
1989-04-14,85.6,85.6,85.6,85.6,11.0,199103.0,582.0
1989-04-17,85.75,85.88,85.75,85.88,19.0,199103.0,590.0
1989-04-18,85.7,85.79,85.68,85.68,18.0,199103.0,604.0
1989-04-19,85.9,85.9,85.9,85.9,0.0,199103.0,601.0
1989-04-20,85.85,86.2,85.85,86.2,15.0,199103.0,616.0
1989-04-21,86.1,86.1,86.03,86.03,1.0,199103.0,617.0
1989-04-24,85.82,85.82,85.82,85.82,0.0,199103.0,616.0
1989-04-26,85.85,85.9,85.85,85.89,8.0,199103.0,621.0
1989-04-27,85.9,85.9,85.9,85.9,11.0,199103.0,611.0
1989-04-28,85.85,85.85,85.85,85.85,15.0,199103.0,626.0
1989-05-01,85.9,85.9,85.83,85.83,35.0,199103.0,658.0
1989-05-02,85.8,85.85,85.8,85.8,20.0,199103.0,660.0
1989-05-03,85.8,85.85,85.8,85.85,14.0,199103.0,673.0
1989-05-04,85.85,85.85,85.85,85.85,22.0,199103.0,669.0
1989-05-05,85.8,85.8,85.78,85.78,123.0,199103.0,792.0
1989-05-08,85.8,85.8,85.8,85.8,0.0,199103.0,792.0
1989-05-09,85.7,85.7,85.7,85.7,0.0,199103.0,792.0
1989-05-10,85.65,85.68,85.63,85.68,12.0,199103.0,791.0
1989-05-11,85.6,85.68,85.6,85.68,3.0,199103.0,794.0
1989-05-12,85.65,85.73,85.65,85.73,5.0,199103.0,748.0
1989-05-15,85.76,85.76,85.68,85.75,43.0,199103.0,755.0
1989-05-16,85.73,85.73,85.73,85.73,0.0,199103.0,755.0
1989-05-17,85.6,85.6,85.55,85.55,2.0,199103.0,757.0
1989-05-18,85.68,85.68,85.68,85.68,0.0,199103.0,757.0
1989-05-19,85.7,85.7,85.7,85.7,0.0,199103.0,757.0
1989-05-22,85.7,85.7,85.7,85.7,0.0,199103.0,757.0
1989-05-23,85.64,85.64,85.57,85.57,6.0,199103.0,763.0
1989-05-24,85.6,85.6,85.53,85.53,41.0,199103.0,792.0
1989-05-25,85.48,85.48,85.48,85.48,0.0,199103.0,787.0
1989-05-26,85.5,85.5,85.3,85.3,10.0,199103.0,790.0
1989-05-29,85.12,85.27,85.12,85.23,14.0,199103.0,793.0
1989-05-30,85.26,85.35,85.26,85.35,1.0,199103.0,791.0
1989-05-31,85.3,85.4,85.3,85.4,5.0,199103.0,796.0
1989-06-01,85.35,85.35,85.3,85.33,69.0,199103.0,851.0
1989-06-02,85.33,85.4,85.29,85.29,34.0,199103.0,880.0
1989-06-05,85.23,85.23,85.23,85.23,0.0,199103.0,880.0
1989-06-06,85.25,85.4,85.25,85.4,11.0,199103.0,892.0
1989-06-07,85.35,85.45,85.3,85.3,14.0,199103.0,903.0
1989-06-08,85.35,85.35,85.2,85.2,22.0,199103.0,925.0
1989-06-09,85.3,85.45,85.3,85.43,141.0,199103.0,1051.0
1989-06-13,85.38,85.55,85.35,85.43,455.0,199103.0,1506.0
1989-06-14,85.4,85.45,85.4,85.43,12.0,199103.0,1501.0
1989-06-15,85.48,85.48,85.48,85.48,0.0,199103.0,1501.0
1989-06-16,85.5,85.5,85.38,85.38,157.0,199103.0,1561.0
