Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
2002-04-05,9668.0,9762.0,9644.0,9712.0,2339.0,200206.0,207.0
2002-04-08,9700.0,9702.0,9527.0,9689.0,4234.0,200206.0,1051.0
2002-04-09,9712.0,9734.0,9626.0,9644.0,4407.0,200206.0,1476.0
2002-04-10,9651.0,9821.0,9637.0,9809.0,6190.0,200206.0,1808.0
2002-04-11,9792.0,9800.0,9580.0,9592.0,6372.0,200206.0,2152.0
2002-04-12,9632.0,9662.0,9562.0,9616.0,5387.0,200206.0,2445.0
2002-04-15,9618.0,9652.0,9490.0,9515.0,6740.0,200206.0,2720.0
2002-04-16,9563.0,9766.0,9554.0,9726.0,4122.0,200206.0,2811.0
2002-04-17,9731.0,9760.0,9607.0,9650.0,5415.0,200206.0,3431.0
2002-04-18,9660.0,9694.0,9462.0,9597.0,4857.0,200206.0,3323.0
2002-04-19,9562.0,9696.0,9562.0,9674.0,4241.0,200206.0,3466.0
2002-04-22,9669.0,9685.0,9533.0,9557.0,3306.0,200206.0,3864.0
2002-04-23,9570.0,9599.0,9487.0,9517.0,7045.0,200206.0,4538.0
2002-04-24,9537.0,9583.0,9437.0,9442.0,6065.0,200206.0,4555.0
2002-04-25,9437.0,9467.0,9341.0,9464.0,8124.0,200206.0,5433.0
2002-04-26,9458.0,9499.0,9282.0,9287.0,4615.0,200206.0,6019.0
2002-04-29,9329.0,9355.0,9228.0,9238.0,5477.0,200206.0,5687.0
2002-04-30,9258.0,9425.0,9239.0,9354.0,6327.0,200206.0,5513.0
2002-05-01,9385.0,9503.0,9242.0,9492.0,6254.0,200206.0,6016.0
2002-05-02,9498.0,9536.0,9451.0,9512.0,4509.0,200206.0,6296.0
2002-05-03,9496.0,9530.0,9342.0,9408.0,5546.0,200206.0,6860.0
2002-05-06,9426.0,9440.0,9203.0,9212.0,5290.0,200206.0,6294.0
2002-05-07,9222.0,9342.0,9212.0,9222.0,6603.0,200206.0,6808.0
2002-05-08,9297.0,9570.0,9293.0,9537.0,8012.0,200206.0,7048.0
2002-05-09,9549.0,9556.0,9430.0,9455.0,6752.0,200206.0,7375.0
2002-05-10,9463.0,9502.0,9332.0,9352.0,5086.0,200206.0,7812.0
2002-05-13,9360.0,9533.0,9337.0,9527.0,5591.0,200206.0,8382.0
2002-05-14,9532.0,9719.0,9511.0,9713.0,5805.0,200206.0,8430.0
2002-05-15,9713.0,9771.0,9642.0,9687.0,7445.0,200206.0,9004.0
2002-05-16,9689.0,9741.0,9650.0,9715.0,6459.0,200206.0,9449.0
2002-05-17,9755.0,9786.0,9678.0,9759.0,3860.0,200206.0,9140.0
2002-05-20,9757.0,9757.0,9632.0,9662.0,5071.0,200206.0,9568.0
2002-05-21,9654.0,9707.0,9509.0,9545.0,5427.0,200206.0,9871.0
2002-05-22,9557.0,9581.0,9484.0,9574.0,6807.0,200206.0,9844.0
2002-05-23,9549.0,9650.0,9508.0,9642.0,5888.0,200206.0,9324.0
2002-05-24,9643.0,9667.0,9507.0,9515.0,4770.0,200206.0,9228.0
2002-05-28,9547.0,9565.0,9387.0,9425.0,7200.0,200206.0,9743.0
2002-05-29,9417.0,9420.0,9337.0,9347.0,6685.0,200206.0,9998.0
2002-05-30,9362.0,9389.0,9223.0,9343.0,8624.0,200206.0,10195.0
2002-05-31,9357.0,9469.0,9311.0,9327.0,5185.0,200206.0,10060.0
2002-06-03,9321.0,9412.0,9100.0,9105.0,7635.0,200206.0,10164.0
2002-06-04,9122.0,9172.0,9015.0,9122.0,10192.0,200206.0,10984.0
2002-06-05,9157.0,9234.0,9110.0,9227.0,6304.0,200206.0,10792.0
2002-06-06,9222.0,9243.0,8932.0,9052.0,6644.0,200206.0,11277.0
2002-06-07,8968.0,9063.0,8890.0,9012.0,6311.0,200206.0,11098.0
2002-06-10,9036.0,9140.0,8982.0,9076.0,7722.0,200206.0,10560.0
2002-06-11,9064.0,9186.0,8927.0,8947.0,7618.0,200206.0,10677.0
2002-06-12,8968.0,9055.0,8870.0,9044.0,8890.0,200206.0,10540.0
2002-06-13,9074.0,9077.0,8910.0,8936.0,9545.0,200206.0,11771.0
2002-06-14,8927.0,8927.0,8672.0,8905.0,8443.0,200206.0,12121.0
2002-06-17,8937.0,9119.0,8935.0,9103.0,7589.0,200206.0,11135.0
2002-06-18,9073.0,9178.0,9063.0,9178.0,6502.0,200206.0,11300.0
2002-06-19,9062.0,9158.0,8963.0,8985.0,8113.0,200206.0,11690.0
2002-06-20,9000.0,9020.0,8844.0,8853.0,8320.0,200209.0,10809.0
2002-06-21,8845.0,8905.0,8630.0,8692.0,8173.0,200209.0,3156.0
2002-06-24,8695.0,8807.0,8495.0,8735.0,13579.0,200209.0,3866.0
2002-06-25,8763.0,8830.0,8525.0,8530.0,9595.0,200209.0,3588.0
2002-06-26,8425.0,8596.0,8289.0,8540.0,8572.0,200209.0,3663.0
2002-06-27,8565.0,8703.0,8450.0,8691.0,7884.0,200209.0,4254.0
2002-06-28,8714.0,8785.0,8647.0,8655.0,3833.0,200209.0,4480.0
2002-07-01,8650.0,8749.0,8513.0,8521.0,5207.0,200209.0,4350.0
2002-07-02,8501.0,8566.0,8383.0,8435.0,5132.0,200209.0,4467.0
2002-07-03,8450.0,8495.0,8318.0,8472.0,5684.0,200209.0,4133.0
2002-07-05,8477.0,8837.0,8475.0,8817.0,2965.0,200209.0,4477.0
2002-07-08,8818.0,8818.0,8662.0,8703.0,4999.0,200209.0,4935.0
2002-07-09,8720.0,8749.0,8502.0,8523.0,5116.0,200209.0,4998.0
2002-07-10,8521.0,8597.0,8200.0,8220.0,6867.0,200209.0,5123.0
2002-07-11,8228.0,8283.0,8022.0,8222.0,8691.0,200209.0,5501.0
2002-07-12,8255.0,8304.0,8015.0,8073.0,6931.0,200209.0,5987.0
2002-07-15,8061.0,8114.0,7657.0,8087.0,11590.0,200209.0,7140.0
2002-07-16,8087.0,8089.0,7820.0,7898.0,7363.0,200209.0,7166.0
2002-07-17,7864.0,8146.0,7827.0,7950.0,9349.0,200209.0,7479.0
2002-07-18,7945.0,8055.0,7766.0,7790.0,7452.0,200209.0,6758.0
2002-07-19,7776.0,7781.0,7373.0,7423.0,8853.0,200209.0,7085.0
2002-07-22,7345.0,7538.0,7123.0,7210.0,13775.0,200209.0,7066.0
2002-07-23,7240.0,7375.0,7071.0,7123.0,10121.0,200209.0,6594.0
2002-07-24,7110.0,7655.0,6885.0,7630.0,13000.0,200209.0,6924.0
2002-07-25,7625.0,7731.0,7343.0,7595.0,11228.0,200209.0,6721.0
2002-07-26,7595.0,7701.0,7502.0,7692.0,6928.0,200209.0,6493.0
2002-07-29,7715.0,8136.0,7702.0,8090.0,8834.0,200209.0,6671.0
2002-07-30,8070.0,8182.0,7955.0,8119.0,9780.0,200209.0,6544.0
2002-07-31,8085.0,8195.0,7948.0,8130.0,10510.0,200209.0,7874.0
2002-08-01,8112.0,8131.0,7877.0,7903.0,10099.0,200209.0,8451.0
2002-08-02,7885.0,7918.0,7610.0,7725.0,9171.0,200209.0,8914.0
2002-08-05,7720.0,7727.0,7436.0,7462.0,10601.0,200209.0,8717.0
2002-08-06,7447.0,7838.0,7405.0,7710.0,10594.0,200209.0,8460.0
2002-08-07,7750.0,7885.0,7630.0,7865.0,11981.0,200209.0,8491.0
2002-08-08,7865.0,8134.0,7839.0,8120.0,11646.0,200209.0,8441.0
2002-08-09,8100.0,8216.0,7987.0,8150.0,8105.0,200209.0,8768.0
2002-08-12,8146.0,8146.0,7992.0,8095.0,6531.0,200209.0,8750.0
2002-08-13,8100.0,8163.0,7879.0,7905.0,6900.0,200209.0,8799.0
2002-08-14,7907.0,8176.0,7775.0,8145.0,10920.0,200209.0,8176.0
2002-08-15,8145.0,8283.0,8107.0,8232.0,12381.0,200209.0,8907.0
2002-08-16,8200.0,8262.0,8130.0,8190.0,6414.0,200209.0,8562.0
2002-08-19,8255.0,8422.0,8125.0,8392.0,7479.0,200209.0,9329.0
2002-08-20,8376.0,8399.0,8240.0,8310.0,6211.0,200209.0,9454.0
2002-08-21,8309.0,8410.0,8224.0,8400.0,10130.0,200209.0,8878.0
2002-08-22,8412.0,8506.0,8352.0,8465.0,7897.0,200209.0,9721.0
2002-08-23,8500.0,8500.0,8248.0,8293.0,6748.0,200209.0,9484.0
2002-08-26,8300.0,8380.0,8178.0,8335.0,8122.0,200209.0,9755.0
2002-08-27,8325.0,8449.0,8204.0,8260.0,9402.0,200209.0,10711.0
2002-08-28,8270.0,8279.0,8064.0,8107.0,6881.0,200209.0,10760.0
2002-08-29,8115.0,8169.0,7982.0,8078.0,7868.0,200209.0,10829.0
2002-08-30,8075.0,8209.0,8019.0,8058.0,6425.0,200209.0,11288.0
2002-09-03,7993.0,8005.0,7714.0,7723.0,13993.0,200209.0,11556.0
2002-09-04,7722.0,7880.0,7704.0,7815.0,10436.0,200209.0,12331.0
2002-09-05,7803.0,7811.0,7634.0,7738.0,10623.0,200209.0,12517.0
2002-09-06,7717.0,7905.0,7717.0,7858.0,9829.0,200209.0,12573.0
2002-09-09,7853.0,7984.0,7738.0,7917.0,10861.0,200209.0,14035.0
2002-09-10,7923.0,8053.0,7921.0,8045.0,12219.0,200209.0,15229.0
2002-09-11,8155.0,8185.0,7965.0,7977.0,9316.0,200209.0,15542.0
2002-09-12,7983.0,7995.0,7775.0,7818.0,11040.0,200209.0,16729.0
2002-09-13,7784.0,7813.0,7674.0,7752.0,13264.0,200209.0,18258.0
2002-09-16,7758.0,7823.0,7692.0,7817.0,11202.0,200209.0,17870.0
2002-09-17,7960.0,8025.0,7568.0,7620.0,16149.0,200209.0,20059.0
2002-09-18,7562.0,7686.0,7475.0,7536.0,20800.0,200209.0,21138.0
2002-09-19,7531.0,7545.0,7345.0,7354.0,18291.0,200212.0,20950.0
2002-09-20,7363.0,7435.0,7334.0,7386.0,11185.0,200212.0,5886.0
2002-09-23,7356.0,7411.0,7201.0,7306.0,14921.0,200212.0,6133.0
2002-09-24,7294.0,7301.0,7077.0,7119.0,15174.0,200212.0,6954.0
2002-09-25,7081.0,7320.0,7045.0,7288.0,16824.0,200212.0,7366.0
2002-09-26,7273.0,7435.0,7261.0,7393.0,13773.0,200212.0,8037.0
2002-09-27,7384.0,7401.0,7097.0,7104.0,13189.0,200212.0,8320.0
2002-09-30,7091.0,7108.0,6870.0,7011.0,19702.0,200212.0,8157.0
2002-10-01,7004.0,7426.0,6971.0,7413.0,18422.0,200212.0,8856.0
2002-10-02,7393.0,7398.0,7151.0,7206.0,19016.0,200212.0,9772.0
2002-10-03,7176.0,7344.0,7108.0,7149.0,17832.0,200212.0,9187.0
2002-10-04,7174.0,7254.0,6888.0,6991.0,18711.0,200212.0,9751.0
2002-10-07,6962.0,7062.0,6829.0,6884.0,19532.0,200212.0,9955.0
2002-10-08,6902.0,7051.0,6751.0,6951.0,27049.0,200212.0,11061.0
2002-10-09,6953.0,6966.0,6694.0,6721.0,28717.0,200212.0,14292.0
2002-10-10,6704.0,6984.0,6615.0,6946.0,26273.0,200212.0,12852.0
2002-10-11,6927.0,7326.0,6902.0,7303.0,21788.0,200212.0,12322.0
2002-10-14,7266.0,7339.0,7175.0,7299.0,16257.0,200212.0,13442.0
2002-10-15,7313.0,7701.0,7304.0,7693.0,25862.0,200212.0,14987.0
2002-10-16,7605.0,7701.0,7431.0,7479.0,22549.0,200212.0,16415.0
2002-10-17,7594.0,7801.0,7581.0,7696.0,17639.0,200212.0,17545.0
2002-10-18,7762.0,7791.0,7567.0,7736.0,16736.0,200212.0,16874.0
2002-10-21,7726.0,7980.0,7651.0,7956.0,18179.0,200212.0,17503.0
2002-10-22,7918.0,7919.0,7797.0,7886.0,18566.0,200212.0,17260.0
2002-10-23,7865.0,7963.0,7717.0,7933.0,21984.0,200212.0,16701.0
2002-10-24,7961.0,7999.0,7693.0,7716.0,19730.0,200212.0,16615.0
2002-10-25,7708.0,7883.0,7678.0,7881.0,15909.0,200212.0,16717.0
