Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1984-12-05,86.6,86.6,86.46,86.46,299.0,198503.0,242.0
1984-12-06,86.42,86.44,86.3,86.34,196.0,198503.0,349.0
1984-12-07,86.3,86.39,86.3,86.33,254.0,198503.0,381.0
1984-12-10,86.28,86.28,86.25,86.27,109.0,198503.0,398.0
1984-12-11,86.25,86.32,86.2,86.32,93.0,198503.0,426.0
1984-12-12,86.35,86.39,86.35,86.38,256.0,198503.0,523.0
1984-12-13,86.42,86.43,86.33,86.35,72.0,198503.0,437.0
1984-12-14,86.35,86.35,86.29,86.31,144.0,198503.0,524.0
1984-12-17,86.3,86.32,86.25,86.26,69.0,198503.0,518.0
1984-12-18,86.25,86.25,86.22,86.23,39.0,198503.0,523.0
1984-12-19,86.26,86.37,86.26,86.34,78.0,198503.0,559.0
1984-12-20,86.33,86.35,86.32,86.34,51.0,198503.0,512.0
1984-12-21,86.39,86.45,86.36,86.45,142.0,198503.0,485.0
1984-12-24,86.46,86.46,86.46,86.46,0.0,198503.0,483.0
1984-12-27,86.46,86.46,86.42,86.43,62.0,198503.0,475.0
1984-12-28,86.46,86.46,86.45,86.46,53.0,198503.0,489.0
1985-01-02,86.37,86.37,86.3,86.3,76.0,198503.0,496.0
1985-01-03,86.24,86.37,86.2,86.35,80.0,198503.0,536.0
1985-01-04,86.37,86.38,86.36,86.38,38.0,198503.0,488.0
1985-01-07,86.34,86.34,86.31,86.33,6.0,198503.0,480.0
1985-01-08,86.33,86.33,86.28,86.31,145.0,198503.0,523.0
1985-01-09,86.3,86.32,86.3,86.31,37.0,198503.0,546.0
1985-01-10,86.29,86.3,86.27,86.29,111.0,198503.0,618.0
1985-01-11,86.3,86.32,86.3,86.32,62.0,198503.0,641.0
1985-01-14,86.35,86.38,86.35,86.37,43.0,198503.0,656.0
1985-01-15,86.35,86.5,86.34,86.49,119.0,198503.0,647.0
1985-01-16,86.54,86.6,86.52,86.6,368.0,198503.0,531.0
1985-01-17,86.57,86.62,86.57,86.62,39.0,198503.0,514.0
1985-01-18,86.82,86.88,86.76,86.88,346.0,198503.0,675.0
1985-01-21,86.84,86.84,86.76,86.78,112.0,198503.0,698.0
1985-01-22,86.78,86.78,86.67,86.67,196.0,198503.0,731.0
1985-01-23,86.6,86.71,86.6,86.71,289.0,198503.0,729.0
1985-01-24,86.81,86.84,86.79,86.81,258.0,198503.0,713.0
1985-01-25,86.9,86.95,86.87,86.88,128.0,198503.0,748.0
1985-01-29,86.78,86.85,86.75,86.82,67.0,198503.0,696.0
1985-01-30,86.85,86.9,86.84,86.85,232.0,198503.0,762.0
1985-01-31,86.9,86.92,86.87,86.88,88.0,198503.0,673.0
1985-02-01,86.85,86.88,86.82,86.88,77.0,198503.0,690.0
1985-02-04,86.87,86.88,86.86,86.87,48.0,198503.0,620.0
1985-02-05,86.89,86.94,86.89,86.94,90.0,198503.0,584.0
1985-02-06,86.92,86.92,86.88,86.9,39.0,198503.0,557.0
1985-02-07,86.86,86.86,86.78,86.78,75.0,198503.0,584.0
1985-02-08,86.76,86.76,86.74,86.75,89.0,198503.0,610.0
1985-02-11,86.75,86.78,86.72,86.75,52.0,198503.0,600.0
1985-02-12,86.74,86.74,86.66,86.67,96.0,198503.0,631.0
1985-02-13,86.6,86.66,86.56,86.58,128.0,198503.0,681.0
1985-02-14,86.65,86.74,86.62,86.7,159.0,198503.0,700.0
1985-02-15,86.78,86.81,86.75,86.77,206.0,198503.0,742.0
1985-02-18,86.73,86.76,86.71,86.76,57.0,198503.0,792.0
1985-02-19,86.7,86.71,86.67,86.67,96.0,198503.0,825.0
1985-02-20,86.55,86.6,86.35,86.4,335.0,198503.0,1038.0
1985-02-21,86.3,86.4,86.25,86.34,475.0,198503.0,917.0
1985-02-22,86.39,86.41,86.28,86.29,148.0,198503.0,923.0
1985-02-25,86.18,86.2,86.13,86.18,252.0,198503.0,942.0
1985-02-26,86.13,86.17,86.02,86.09,708.0,198503.0,1225.0
1985-02-27,86.15,86.26,86.12,86.23,388.0,198503.0,1384.0
1985-02-28,86.27,86.27,86.14,86.21,163.0,198503.0,1438.0
1985-03-01,86.17,86.2,86.13,86.15,224.0,198503.0,1423.0
1985-03-04,86.19,86.23,86.13,86.15,136.0,198503.0,1403.0
1985-03-05,86.11,86.12,85.99,86.08,502.0,198503.0,1696.0
1985-03-06,85.96,86.04,85.9,86.0,295.0,198503.0,1649.0
1985-03-07,86.06,86.06,85.78,85.94,308.0,198503.0,1654.0
1985-03-08,85.65,85.92,85.65,85.88,302.0,198503.0,1863.0
1985-03-11,85.9,85.94,85.88,85.92,324.0,198503.0,1945.0
1985-03-12,86.01,86.01,85.98,85.98,347.0,198503.0,2073.0
1985-03-13,85.95,85.95,85.94,85.94,247.0,198503.0,2201.0
1985-03-14,85.95,85.96,85.94,85.96,328.0,198503.0,2302.0
1985-03-15,85.83,85.91,85.79,85.84,310.0,198506.0,1556.0
1985-03-18,85.86,85.86,85.77,85.8,182.0,198506.0,1674.0
1985-03-19,85.8,85.81,85.77,85.78,287.0,198506.0,1674.0
1985-03-20,85.77,85.85,85.77,85.85,245.0,198506.0,1679.0
1985-03-21,85.87,86.05,85.87,86.05,568.0,198506.0,1840.0
1985-03-22,86.1,86.14,86.07,86.08,288.0,198506.0,1778.0
1985-03-25,86.04,86.12,86.03,86.12,225.0,198506.0,1826.0
1985-03-26,86.13,86.14,86.04,86.07,359.0,198506.0,2018.0
