Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1978-01-04,915.75,916.25,915.75,916.25,11.0,197903.0,11.0
1978-01-05,915.75,917.25,915.75,916.0,10.0,197903.0,19.0
1978-01-06,915.75,916.25,914.25,915.25,32.0,197903.0,49.0
1978-01-09,915.25,915.5,914.75,915.5,27.0,197903.0,60.0
1978-01-10,916.0,916.25,915.5,915.75,216.0,197903.0,235.0
1978-01-11,916.25,917.75,916.25,917.5,43.0,197903.0,265.0
1978-01-12,917.25,918.5,917.25,917.75,468.0,197903.0,711.0
1978-01-13,918.25,918.75,918.0,918.0,43.0,197903.0,742.0
1978-01-16,917.75,918.75,917.0,917.75,107.0,197903.0,787.0
1978-01-17,916.25,916.25,914.5,915.5,131.0,197903.0,798.0
1978-01-18,916.0,916.0,914.25,914.25,29.0,197903.0,801.0
1978-01-19,914.25,915.5,914.25,915.5,66.0,197903.0,826.0
1978-01-20,915.75,916.75,915.25,916.75,90.0,197903.0,893.0
1978-01-23,916.75,917.75,916.75,917.75,26.0,197903.0,893.0
1978-01-24,917.75,918.25,917.5,917.5,22.0,197903.0,909.0
1978-01-25,917.75,918.25,917.25,917.25,80.0,197903.0,931.0
1978-01-26,917.5,917.5,915.75,916.0,196.0,197903.0,1083.0
1978-01-27,915.5,916.25,915.25,915.75,16.0,197903.0,1089.0
1978-01-30,915.75,915.75,914.0,914.0,34.0,197903.0,1099.0
1978-01-31,913.75,913.75,912.5,912.75,112.0,197903.0,1150.0
1978-02-01,913.25,913.5,912.0,912.25,55.0,197903.0,1187.0
1978-02-02,912.75,914.0,912.75,913.25,125.0,197903.0,1248.0
1978-02-03,913.75,914.25,913.25,913.25,71.0,197903.0,1296.0
1978-02-06,914.0,915.0,913.5,913.5,86.0,197903.0,1345.0
1978-02-07,914.0,914.25,913.0,913.0,78.0,197903.0,1380.0
1978-02-08,913.25,913.75,913.25,913.5,139.0,197903.0,1486.0
1978-02-09,913.25,915.75,913.0,914.75,791.0,197903.0,2083.0
1978-02-10,915.75,916.75,915.5,916.5,210.0,197903.0,2123.0
1978-02-13,916.75,917.0,915.0,915.0,92.0,197903.0,2173.0
1978-02-14,915.5,915.5,914.5,914.75,188.0,197903.0,2287.0
1978-02-15,915.0,915.25,914.75,914.75,182.0,197903.0,2400.0
1978-02-16,914.75,914.75,914.25,914.75,155.0,197903.0,2519.0
1978-02-17,914.75,915.25,914.5,914.5,151.0,197903.0,2593.0
1978-02-21,914.5,915.25,914.0,914.25,252.0,197903.0,2603.0
1978-02-22,914.75,915.25,914.75,915.25,134.0,197903.0,2684.0
1978-02-23,915.0,916.0,915.0,915.25,100.0,197903.0,2651.0
1978-02-24,915.25,916.0,915.25,916.0,122.0,197903.0,2681.0
1978-02-27,915.75,916.0,915.5,915.5,200.0,197903.0,2743.0
1978-02-28,915.0,915.5,914.75,915.25,106.0,197903.0,2770.0
1978-03-01,915.25,917.75,915.0,917.25,95.0,197903.0,2818.0
1978-03-02,917.25,919.25,916.75,917.5,240.0,197903.0,2936.0
1978-03-03,919.0,922.0,919.0,920.75,225.0,197903.0,2994.0
1978-03-06,922.25,924.75,921.75,924.0,266.0,197903.0,3093.0
1978-03-07,924.5,926.75,923.25,926.5,629.0,197903.0,3312.0
1978-03-08,927.75,929.5,926.25,927.25,817.0,197903.0,3637.0
1978-03-09,929.25,929.25,925.25,926.75,286.0,197903.0,3747.0
1978-03-10,925.25,925.75,923.25,925.25,270.0,197903.0,3891.0
1978-03-13,925.5,933.75,925.5,933.0,1062.0,197903.0,4231.0
1978-03-14,933.25,935.5,931.75,934.25,598.0,197903.0,4496.0
1978-03-15,934.0,941.75,933.25,938.0,1194.0,197903.0,5014.0
1978-03-16,936.75,938.0,935.0,937.75,440.0,197903.0,5055.0
1978-03-17,941.75,943.0,939.75,942.75,901.0,197903.0,5472.0
1978-03-20,941.75,941.75,936.75,938.5,1212.0,197903.0,5964.0
1978-03-21,939.25,939.75,936.75,937.5,409.0,197903.0,5999.0
1978-03-22,940.75,943.25,939.25,941.25,469.0,197903.0,6201.0
1978-03-23,941.5,943.25,941.0,943.25,306.0,197903.0,6177.0
1978-03-27,946.75,948.75,944.75,947.0,857.0,197903.0,6577.0
1978-03-28,944.75,947.0,944.25,945.0,779.0,197903.0,7039.0
1978-03-29,941.75,943.0,935.0,938.75,799.0,197903.0,7235.0
1978-03-30,939.25,944.75,937.75,941.75,952.0,197903.0,7197.0
1978-03-31,945.75,947.75,943.25,946.75,629.0,197903.0,7110.0
1978-04-03,946.75,947.25,941.25,942.25,551.0,197903.0,7199.0
1978-04-04,942.25,944.75,940.75,943.0,446.0,197903.0,7345.0
1978-04-05,944.25,945.25,941.75,942.75,660.0,197903.0,7405.0
1978-04-06,942.25,943.75,940.5,940.75,342.0,197903.0,7470.0
1978-04-07,941.75,943.75,939.75,943.5,516.0,197903.0,7643.0
1978-04-10,944.25,948.75,944.25,946.5,912.0,197903.0,8046.0
1978-04-11,947.25,947.75,944.5,946.75,829.0,197903.0,8346.0
1978-04-12,945.75,945.75,943.25,943.5,436.0,197903.0,8465.0
1978-04-13,942.75,942.75,937.75,937.75,980.0,197903.0,8584.0
1978-04-14,939.75,944.25,937.25,941.25,690.0,197903.0,8699.0
1978-04-17,942.25,943.75,941.25,941.25,500.0,197903.0,8941.0
1978-04-18,942.5,943.5,940.25,943.5,619.0,197903.0,9178.0
1978-04-19,944.75,945.75,943.25,943.75,921.0,197903.0,9178.0
