Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1988-10-03,85.63,85.68,85.62,85.65,912.0,198810.0,517.0
1988-10-04,85.65,85.65,85.64,85.64,525.0,198810.0,650.0
1988-10-05,85.67,85.67,85.66,85.66,378.0,198810.0,804.0
1988-10-06,85.65,85.66,85.62,85.62,1015.0,198810.0,1317.0
1988-10-07,85.63,85.65,85.63,85.65,1082.0,198810.0,1196.0
1988-10-10,85.64,85.65,85.64,85.64,56.0,198810.0,1177.0
1988-10-11,85.62,85.63,85.61,85.63,159.0,198810.0,1176.0
1988-10-12,85.6,85.6,85.6,85.6,502.0,198810.0,1363.0
1988-10-13,85.61,85.62,85.61,85.62,254.0,198810.0,1392.0
1988-10-14,85.63,85.64,85.63,85.64,322.0,198810.0,1490.0
1988-10-17,85.64,85.64,85.62,85.63,621.0,198810.0,1773.0
1988-10-18,85.62,85.62,85.61,85.62,280.0,198810.0,1856.0
1988-10-19,85.61,85.61,85.59,85.59,120.0,198810.0,1841.0
1988-10-20,85.57,85.59,85.56,85.59,562.0,198810.0,1906.0
1988-10-21,85.58,85.58,85.57,85.58,52.0,198810.0,1925.0
1988-10-24,85.58,85.59,85.58,85.58,272.0,198810.0,1962.0
1988-10-25,85.58,85.58,85.58,85.58,165.0,198810.0,1981.0
1988-10-26,85.59,85.59,85.59,85.59,285.0,198810.0,2035.0
1988-10-27,85.58,85.58,85.57,85.58,511.0,198810.0,2277.0
1988-10-28,85.58,85.58,85.57,85.57,288.0,198810.0,2313.0
1988-10-31,85.55,85.56,85.55,85.56,129.0,198811.0,2057.0
1988-11-01,85.59,85.59,85.56,85.57,233.0,198811.0,2126.0
1988-11-02,85.54,85.54,85.54,85.54,172.0,198811.0,2188.0
1988-11-03,85.53,85.53,85.51,85.51,294.0,198811.0,2320.0
1988-11-04,85.5,85.53,85.48,85.49,664.0,198811.0,2416.0
1988-11-07,85.48,85.48,85.45,85.45,489.0,198811.0,2255.0
1988-11-08,85.46,85.46,85.43,85.43,107.0,198811.0,2246.0
1988-11-09,85.42,85.43,85.41,85.43,270.0,198811.0,2213.0
1988-11-10,85.41,85.43,85.41,85.43,421.0,198811.0,2191.0
1988-11-11,85.41,85.43,85.41,85.43,221.0,198811.0,2075.0
1988-11-14,85.43,85.45,85.43,85.45,148.0,198811.0,1992.0
1988-11-15,85.45,85.45,85.38,85.38,471.0,198811.0,1947.0
1988-11-16,85.4,85.41,85.39,85.41,247.0,198811.0,1873.0
1988-11-17,85.41,85.47,85.41,85.46,310.0,198811.0,1858.0
1988-11-18,85.48,85.49,85.48,85.49,188.0,198811.0,1927.0
1988-11-21,85.49,85.49,85.49,85.49,28.0,198811.0,1929.0
1988-11-22,85.48,85.48,85.48,85.48,439.0,198811.0,2123.0
1988-11-23,85.49,85.49,85.49,85.49,333.0,198811.0,2182.0
1988-11-25,85.48,85.48,85.48,85.48,186.0,198811.0,2234.0
1988-11-28,85.48,85.48,85.48,85.48,213.0,198811.0,2347.0
1988-11-29,85.48,85.48,85.48,85.48,436.0,198811.0,2496.0
1988-11-30,85.55,85.63,85.54,85.61,211.0,198812.0,2561.0
1988-12-01,85.61,85.66,85.57,85.61,333.0,198812.0,2345.0
1988-12-02,85.61,85.61,85.5,85.5,338.0,198812.0,2497.0
1988-12-05,85.5,85.53,85.5,85.5,136.0,198812.0,2544.0
1988-12-06,85.51,85.59,85.51,85.59,173.0,198812.0,2571.0
1988-12-07,85.6,85.64,85.6,85.62,137.0,198812.0,2616.0
1988-12-08,85.64,85.64,85.64,85.64,223.0,198812.0,2644.0
1988-12-09,85.65,85.65,85.65,85.65,186.0,198812.0,2660.0
1988-12-12,85.65,85.65,85.63,85.65,252.0,198812.0,2675.0
1988-12-13,85.65,85.65,85.63,85.65,416.0,198812.0,2775.0
1988-12-14,85.65,85.68,85.63,85.68,527.0,198812.0,3003.0
1988-12-15,85.67,85.67,85.65,85.67,392.0,198812.0,3151.0
1988-12-16,85.66,85.66,85.6,85.64,170.0,198812.0,3224.0
1988-12-19,85.67,85.67,85.65,85.65,151.0,198812.0,3297.0
1988-12-20,85.67,85.67,85.63,85.63,361.0,198812.0,3487.0
