Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1986-08-20,390.5,400.5,390.5,396.5,189.0,198611.0,53.0
1986-08-21,397.0,401.0,397.0,400.0,158.0,198611.0,127.0
1986-08-22,400.0,404.0,399.5,403.5,68.0,198611.0,161.0
1986-08-25,404.5,409.5,404.0,407.5,48.0,198611.0,174.0
1986-08-26,408.0,411.0,408.0,411.0,67.0,198611.0,177.0
1986-08-27,413.0,416.5,412.0,416.0,55.0,198611.0,181.0
1986-08-28,416.0,417.5,414.5,415.5,24.0,198611.0,188.0
1986-08-29,416.5,421.0,416.0,421.0,53.0,198611.0,201.0
1986-09-02,419.5,419.5,418.0,418.5,8.0,198611.0,192.0
1986-09-03,418.5,418.5,418.0,418.0,13.0,198611.0,186.0
1986-09-04,417.5,417.5,415.0,415.0,22.0,198611.0,195.0
1986-09-05,414.5,414.5,414.0,414.5,9.0,198611.0,201.0
1986-09-08,414.5,414.5,411.0,411.0,46.0,198611.0,219.0
1986-09-09,411.0,413.0,411.0,411.5,22.0,198611.0,225.0
1986-09-10,406.0,408.0,403.5,407.5,46.0,198611.0,263.0
1986-09-11,408.0,409.0,407.0,407.0,62.0,198611.0,283.0
1986-09-12,407.0,408.5,406.5,407.0,28.0,198611.0,294.0
1986-09-15,403.5,403.5,403.5,403.5,5.0,198611.0,298.0
1986-09-16,403.5,403.5,402.5,402.5,25.0,198611.0,292.0
1986-09-17,403.5,406.5,403.5,406.5,28.0,198611.0,286.0
1986-09-18,408.0,413.0,408.0,413.0,24.0,198611.0,270.0
1986-09-19,412.0,414.0,410.0,414.0,39.0,198611.0,286.0
1986-09-22,413.0,415.0,412.5,415.0,14.0,198611.0,284.0
1986-09-23,415.5,416.0,413.0,415.0,36.0,198611.0,291.0
1986-09-24,415.5,416.0,414.0,416.0,38.0,198611.0,302.0
1986-09-25,415.0,415.5,414.0,415.5,11.0,198611.0,305.0
1986-09-26,416.0,417.0,416.0,417.0,22.0,198611.0,312.0
1986-09-29,415.5,416.0,414.0,414.0,5.0,198611.0,317.0
1986-09-30,413.5,413.5,410.5,411.0,21.0,198611.0,321.0
1986-10-01,414.0,414.5,414.0,414.0,14.0,198611.0,307.0
1986-10-02,416.5,416.5,415.0,416.5,26.0,198611.0,318.0
1986-10-03,415.5,416.0,415.0,415.5,33.0,198611.0,427.0
1986-10-06,414.5,415.0,413.0,414.5,4.0,198611.0,328.0
1986-10-07,413.0,413.5,410.5,410.5,17.0,198611.0,330.0
1986-10-08,408.0,411.0,407.5,411.0,41.0,198611.0,317.0
1986-10-09,411.0,413.0,411.0,411.5,10.0,198611.0,321.0
1986-10-10,410.5,410.5,409.5,410.0,40.0,198611.0,323.0
1986-10-13,409.0,409.5,406.5,408.5,13.0,198611.0,321.0
1986-10-14,408.0,410.0,408.0,409.0,4.0,198611.0,320.0
1986-10-15,410.0,415.5,408.0,415.5,29.0,198611.0,325.0
1986-10-16,414.0,416.0,412.0,416.0,25.0,198611.0,323.0
1986-10-17,413.5,417.0,413.0,414.5,12.0,198611.0,321.0
1986-10-20,411.5,412.5,409.5,412.5,18.0,198611.0,317.0
1986-10-21,410.0,410.5,409.5,410.0,13.0,198611.0,317.0
1986-10-22,411.5,413.0,411.0,412.5,34.0,198611.0,336.0
1986-10-23,413.0,413.0,412.0,412.5,35.0,198611.0,352.0
1986-10-24,412.5,415.0,411.5,415.0,118.0,198611.0,370.0
1986-10-27,414.5,418.5,414.0,418.5,50.0,198611.0,355.0
1986-10-28,418.0,418.5,417.0,418.5,63.0,198611.0,360.0
1986-10-29,417.0,418.0,416.5,417.5,40.0,198611.0,371.0
1986-10-30,416.5,421.5,416.5,418.0,56.0,198611.0,400.0
1986-10-31,431.5,435.0,431.0,432.5,36.0,198701.0,410.0
1986-11-03,432.5,436.0,431.5,432.0,4.0,198701.0,341.0
1986-11-04,431.5,432.5,431.5,432.5,25.0,198701.0,366.0
1986-11-05,432.5,434.0,432.0,433.5,46.0,198701.0,333.0
1986-11-06,433.5,433.5,432.0,433.5,2.0,198701.0,317.0
1986-11-07,432.0,434.5,431.5,434.5,9.0,198701.0,327.0
