Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1986-08-20,3932.0,3942.0,3932.0,3938.0,189.0,198611.0,53.0
1986-08-21,3938.5,3942.5,3938.5,3941.5,158.0,198611.0,127.0
1986-08-22,3941.5,3945.5,3941.0,3945.0,68.0,198611.0,161.0
1986-08-25,3946.0,3951.0,3945.5,3949.0,48.0,198611.0,174.0
1986-08-26,3949.5,3952.5,3949.5,3952.5,67.0,198611.0,177.0
1986-08-27,3954.5,3958.0,3953.5,3957.5,55.0,198611.0,181.0
1986-08-28,3957.5,3959.0,3956.0,3957.0,24.0,198611.0,188.0
1986-08-29,3958.0,3962.5,3957.5,3962.5,53.0,198611.0,201.0
1986-09-02,3961.0,3961.0,3959.5,3960.0,8.0,198611.0,192.0
1986-09-03,3960.0,3960.0,3959.5,3959.5,13.0,198611.0,186.0
1986-09-04,3959.0,3959.0,3956.5,3956.5,22.0,198611.0,195.0
1986-09-05,3956.0,3956.0,3955.5,3956.0,9.0,198611.0,201.0
1986-09-08,3956.0,3956.0,3952.5,3952.5,46.0,198611.0,219.0
1986-09-09,3952.5,3954.5,3952.5,3953.0,22.0,198611.0,225.0
1986-09-10,3947.5,3949.5,3945.0,3949.0,46.0,198611.0,263.0
1986-09-11,3949.5,3950.5,3948.5,3948.5,62.0,198611.0,283.0
1986-09-12,3948.5,3950.0,3948.0,3948.5,28.0,198611.0,294.0
1986-09-15,3945.0,3945.0,3945.0,3945.0,5.0,198611.0,298.0
1986-09-16,3945.0,3945.0,3944.0,3944.0,25.0,198611.0,292.0
1986-09-17,3945.0,3948.0,3945.0,3948.0,28.0,198611.0,286.0
1986-09-18,3949.5,3954.5,3949.5,3954.5,24.0,198611.0,270.0
1986-09-19,3953.5,3955.5,3951.5,3955.5,39.0,198611.0,286.0
1986-09-22,3954.5,3956.5,3954.0,3956.5,14.0,198611.0,284.0
1986-09-23,3957.0,3957.5,3954.5,3956.5,36.0,198611.0,291.0
1986-09-24,3957.0,3957.5,3955.5,3957.5,38.0,198611.0,302.0
1986-09-25,3956.5,3957.0,3955.5,3957.0,11.0,198611.0,305.0
1986-09-26,3957.5,3958.5,3957.5,3958.5,22.0,198611.0,312.0
1986-09-29,3957.0,3957.5,3955.5,3955.5,5.0,198611.0,317.0
1986-09-30,3955.0,3955.0,3952.0,3952.5,21.0,198611.0,321.0
1986-10-01,3955.5,3956.0,3955.5,3955.5,14.0,198611.0,307.0
1986-10-02,3958.0,3958.0,3956.5,3958.0,26.0,198611.0,318.0
1986-10-03,3957.0,3957.5,3956.5,3957.0,33.0,198611.0,427.0
1986-10-06,3956.0,3956.5,3954.5,3956.0,4.0,198611.0,328.0
1986-10-07,3954.5,3955.0,3952.0,3952.0,17.0,198611.0,330.0
1986-10-08,3949.5,3952.5,3949.0,3952.5,41.0,198611.0,317.0
1986-10-09,3952.5,3954.5,3952.5,3953.0,10.0,198611.0,321.0
1986-10-10,3952.0,3952.0,3951.0,3951.5,40.0,198611.0,323.0
1986-10-13,3950.5,3951.0,3948.0,3950.0,13.0,198611.0,321.0
1986-10-14,3949.5,3951.5,3949.5,3950.5,4.0,198611.0,320.0
1986-10-15,3951.5,3957.0,3949.5,3957.0,29.0,198611.0,325.0
