Date,Open,High,Low,Close
1990-01-02,0.8621,0.8643,0.8613,0.8621
1990-01-03,0.8621,0.863,0.8593,0.8621
1990-01-04,0.8613,0.8621,0.8586,0.8613
1990-01-05,0.8617,0.863,0.8609,0.8617
1990-01-08,0.8622,0.8628,0.8604,0.8622
1990-01-09,0.8618,0.8627,0.8607,0.8618
1990-01-10,0.8636,0.8639,0.8611,0.8636
1990-01-11,0.8653,0.8664,0.8636,0.8653
1990-01-12,0.8643,0.8659,0.8636,0.8643
1990-01-15,0.8591,0.8651,0.8576,0.8591
1990-01-16,0.8595,0.8617,0.8573,0.8595
1990-01-17,0.8582,0.8602,0.858,0.8582
1990-01-18,0.8536,0.8591,0.8518,0.8536
1990-01-19,0.8451,0.8543,0.8437,0.8451
1990-01-22,0.848,0.8486,0.8448,0.848
1990-01-23,0.8482,0.8498,0.8475,0.8482
1990-01-24,0.8439,0.8508,0.8423,0.8439
1990-01-25,0.8416,0.846,0.8389,0.8416
1990-01-26,0.8365,0.841,0.8353,0.8365
1990-01-29,0.8416,0.8435,0.8364,0.8416
1990-01-30,0.8421,0.8434,0.8381,0.8421
1990-01-31,0.8425,0.845,0.8398,0.8425
1990-02-01,0.8431,0.8442,0.8414,0.8431
1990-02-02,0.841,0.8435,0.8407,0.841
1990-02-05,0.8423,0.8432,0.8396,0.8423
1990-02-06,0.8423,0.8437,0.8409,0.8423
1990-02-07,0.8379,0.8425,0.8361,0.8379
1990-02-08,0.8363,0.8386,0.8334,0.8363
1990-02-09,0.8321,0.8393,0.8316,0.8321
1990-02-12,0.833,0.8344,0.8311,0.833
1990-02-13,0.8325,0.8344,0.8315,0.8325
1990-02-14,0.8278,0.8331,0.8271,0.8278
1990-02-15,0.8311,0.8323,0.8271,0.8311
1990-02-16,0.8329,0.8358,0.8306,0.8329
1990-02-19,0.8339,0.8354,0.833,0.8339
1990-02-20,0.834,0.8361,0.8316,0.834
1990-02-21,0.8347,0.8353,0.8316,0.8347
1990-02-22,0.8371,0.8386,0.8344,0.8371
1990-02-23,0.8345,0.8372,0.832,0.8345
1990-02-26,0.8359,0.8379,0.8338,0.8359
1990-02-27,0.8375,0.84,0.8361,0.8375
1990-02-28,0.8397,0.841,0.8373,0.8397
1990-03-01,0.84,0.8421,0.8391,0.84
1990-03-02,0.8388,0.8407,0.8368,0.8388
1990-03-05,0.8412,0.8414,0.8382,0.8412
1990-03-06,0.8432,0.8442,0.8405,0.8432
1990-03-07,0.8458,0.8461,0.8424,0.8458
1990-03-08,0.8472,0.8494,0.8452,0.8472
1990-03-09,0.8475,0.8508,0.8464,0.8475
1990-03-12,0.849,0.849,0.8464,0.849
1990-03-13,0.8508,0.8508,0.8475,0.8508
1990-03-14,0.8526,0.8539,0.8506,0.8526
1990-03-15,0.8471,0.8527,0.8453,0.8471
1990-03-16,0.8453,0.8503,0.8449,0.8453
1990-03-19,0.8464,0.8475,0.8432,0.8464
1990-03-20,0.8491,0.8498,0.8463,0.8491
1990-03-21,0.8485,0.8507,0.8479,0.8485
1990-03-22,0.8503,0.8514,0.8467,0.8503
1990-03-23,0.851,0.8516,0.8485,0.851
1990-03-26,0.85,0.8514,0.8494,0.85
1990-03-27,0.85,0.8511,0.8483,0.85
1990-03-28,0.8511,0.8512,0.8495,0.8511
1990-03-29,0.8536,0.854,0.8495,0.8536
1990-03-30,0.8551,0.8554,0.8529,0.8551
1990-04-02,0.857,0.8574,0.8546,0.857
1990-04-03,0.8568,0.8583,0.8558,0.8568
1990-04-04,0.8568,0.8581,0.8552,0.8568
1990-04-05,0.8551,0.8576,0.8536,0.8551
1990-04-06,0.8591,0.8602,0.8548,0.8591
1990-04-09,0.8612,0.8618,0.8587,0.8612
1990-04-10,0.8624,0.8631,0.8595,0.8624
1990-04-11,0.8595,0.8632,0.8581,0.8595
1990-04-12,0.8607,0.8618,0.8567,0.8607
1990-04-13,0.8591,0.8613,0.8582,0.8591
1990-04-16,0.8563,0.8591,0.8557,0.8563
1990-04-17,0.8587,0.8595,0.8542,0.8587
1990-04-18,0.8604,0.8617,0.8574,0.8604
1990-04-19,0.8606,0.8621,0.8587,0.8606
1990-04-20,0.8601,0.8611,0.8595,0.8601
1990-04-23,0.861,0.8627,0.8601,0.861
1990-04-24,0.8624,0.8635,0.8598,0.8624
1990-04-25,0.8617,0.863,0.8606,0.8617
1990-04-26,0.8618,0.8636,0.8607,0.8618
1990-04-27,0.8595,0.8621,0.8576,0.8595
1990-04-30,0.859,0.8597,0.8578,0.859
1990-05-01,0.8582,0.8605,0.8577,0.8582
1990-05-02,0.8567,0.8587,0.856,0.8567
1990-05-03,0.8573,0.8581,0.8565,0.8573
1990-05-04,0.8602,0.8606,0.8562,0.8602
1990-05-07,0.8594,0.8613,0.8589,0.8594
1990-05-08,0.8595,0.8607,0.8581,0.8595
1990-05-09,0.8577,0.8598,0.8569,0.8577
1990-05-10,0.853,0.8592,0.8528,0.853
1990-05-11,0.8505,0.8532,0.8478,0.8505
1990-05-14,0.8482,0.8531,0.8475,0.8482
1990-05-15,0.8485,0.8518,0.8452,0.8485
1990-05-16,0.8514,0.8518,0.8485,0.8514
1990-05-17,0.8514,0.8533,0.8501,0.8514
1990-05-18,0.8476,0.8525,0.8463,0.8476
1990-05-21,0.8494,0.8503,0.8458,0.8494
1990-05-22,0.8415,0.8515,0.838,0.8415
1990-05-23,0.8448,0.846,0.8418,0.8448
1990-05-24,0.8439,0.8478,0.843,0.8439
1990-05-25,0.8456,0.8462,0.8432,0.8456
1990-05-28,0.846,0.8482,0.844,0.846
1990-05-29,0.8475,0.8493,0.8457,0.8475
1990-05-30,0.8518,0.8525,0.8474,0.8518
1990-05-31,0.854,0.8543,0.8501,0.854
1990-06-01,0.8511,0.854,0.85,0.8511
1990-06-04,0.8513,0.8524,0.849,0.8513
1990-06-05,0.8502,0.8519,0.8493,0.8502
1990-06-06,0.8551,0.8559,0.8508,0.8551
1990-06-07,0.8546,0.857,0.8543,0.8546
1990-06-08,0.8522,0.8547,0.8503,0.8522
1990-06-11,0.8543,0.857,0.8532,0.8543
1990-06-12,0.8532,0.8547,0.8518,0.8532
1990-06-13,0.8533,0.854,0.8532,0.8533
1990-06-14,0.854,0.8556,0.8533,0.854
1990-06-15,0.8538,0.8554,0.8523,0.8538
1990-06-18,0.8513,0.8547,0.8509,0.8513
1990-06-19,0.8522,0.8527,0.8513,0.8522
1990-06-20,0.8534,0.8543,0.8519,0.8534
1990-06-21,0.8504,0.854,0.8498,0.8504
1990-06-22,0.8488,0.851,0.8458,0.8488
1990-06-25,0.8495,0.8505,0.8495,0.8495
1990-06-26,0.854,0.8541,0.8496,0.854
1990-06-27,0.8552,0.8621,0.8503,0.8552
1990-06-28,0.8553,0.8564,0.8525,0.8553
1990-06-29,0.8598,0.8604,0.8538,0.8598
1990-07-02,0.8607,0.8617,0.8586,0.8607
1990-07-03,0.8608,0.8613,0.8587,0.8608
1990-07-04,0.8607,0.8619,0.8598,0.8607
1990-07-05,0.8595,0.8613,0.8591,0.8595
1990-07-06,0.861,0.8612,0.8578,0.861
1990-07-09,0.8636,0.8643,0.8606,0.8636
1990-07-10,0.8647,0.8657,0.8629,0.8647
1990-07-11,0.8629,0.8651,0.8613,0.8629
1990-07-12,0.8648,0.8657,0.8597,0.8648
1990-07-13,0.8641,0.8654,0.8632,0.8641
1990-07-16,0.8633,0.8643,0.8615,0.8633
1990-07-17,0.8673,0.8678,0.8615,0.8673
1990-07-18,0.8665,0.8688,0.8634,0.8665
1990-07-19,0.8675,0.8687,0.8659,0.8675
1990-07-20,0.8656,0.8688,0.8641,0.8656
1990-07-23,0.8651,0.8663,0.8638,0.8651
1990-07-24,0.865,0.8655,0.8642,0.865
1990-07-25,0.8672,0.869,0.8642,0.8672
1990-07-26,0.8677,0.8696,0.8642,0.8677
1990-07-27,0.8678,0.8688,0.8663,0.8678
1990-07-30,0.8687,0.8689,0.8662,0.8687
1990-07-31,0.8685,0.8686,0.8658,0.8685
1990-08-01,0.8681,0.8692,0.8669,0.8681
1990-08-02,0.869,0.8692,0.8662,0.869
1990-08-03,0.8694,0.8696,0.8669,0.8694
