Date,Open,High,Low,Close
1991-01-02,0.1744,0.1744,0.1744,0.1744
1991-01-03,0.174,0.174,0.174,0.174
1991-01-04,0.1729,0.1729,0.1729,0.1729
1991-01-07,0.1693,0.1693,0.1693,0.1693
1991-01-08,0.1693,0.1693,0.1693,0.1693
1991-01-09,0.1711,0.1711,0.1711,0.1711
1991-01-10,0.1698,0.1698,0.1698,0.1698
1991-01-11,0.1693,0.1693,0.1693,0.1693
1991-01-14,0.1684,0.1684,0.1684,0.1684
1991-01-15,0.1681,0.1681,0.1681,0.1681
1991-01-16,0.168,0.168,0.168,0.168
1991-01-17,0.1708,0.1708,0.1708,0.1708
1991-01-18,0.1717,0.1717,0.1717,0.1717
1991-01-21,0.1734,0.1734,0.1734,0.1734
1991-01-22,0.1737,0.1737,0.1737,0.1737
1991-01-23,0.1738,0.1738,0.1738,0.1738
1991-01-24,0.1751,0.1751,0.1751,0.1751
1991-01-25,0.175,0.175,0.175,0.175
1991-01-28,0.1746,0.1746,0.1746,0.1746
1991-01-29,0.1751,0.1751,0.1751,0.1751
1991-01-30,0.1734,0.1734,0.1734,0.1734
1991-01-31,0.1749,0.1749,0.1749,0.1749
1991-02-01,0.1767,0.1767,0.1767,0.1767
1991-02-04,0.1768,0.1768,0.1768,0.1768
1991-02-05,0.1776,0.1776,0.1776,0.1776
1991-02-06,0.1783,0.1783,0.1783,0.1783
1991-02-07,0.1787,0.1787,0.1787,0.1787
1991-02-08,0.1781,0.1781,0.1781,0.1781
1991-02-11,0.1792,0.1792,0.1792,0.1792
1991-02-12,0.1786,0.1786,0.1786,0.1786
1991-02-13,0.1783,0.1783,0.1783,0.1783
1991-02-14,0.1777,0.1777,0.1777,0.1777
1991-02-15,0.1765,0.1765,0.1765,0.1765
1991-02-18,0.1756,0.1756,0.1756,0.1756
1991-02-19,0.175,0.175,0.175,0.175
1991-02-20,0.1744,0.1744,0.1744,0.1744
1991-02-21,0.1742,0.1742,0.1742,0.1742
1991-02-22,0.1742,0.1742,0.1742,0.1742
1991-02-25,0.1713,0.1713,0.1713,0.1713
1991-02-26,0.1704,0.1704,0.1704,0.1704
1991-02-27,0.1708,0.1708,0.1708,0.1708
1991-02-28,0.1706,0.1706,0.1706,0.1706
1991-03-01,0.1696,0.1696,0.1696,0.1696
1991-03-04,0.1692,0.1692,0.1692,0.1692
1991-03-05,0.1705,0.1705,0.1705,0.1705
1991-03-06,0.1689,0.1689,0.1689,0.1689
1991-03-07,0.1685,0.1685,0.1685,0.1685
1991-03-08,0.1672,0.1672,0.1672,0.1672
1991-03-11,0.1653,0.1653,0.1653,0.1653
1991-03-12,0.1659,0.1659,0.1659,0.1659
