Date,Open,High,Low,Close
1991-01-02,0.4919,0.4919,0.4919,0.4919
1991-01-03,0.4941,0.4941,0.4941,0.4941
1991-01-04,0.4931,0.4931,0.4931,0.4931
1991-01-07,0.4897,0.4897,0.4897,0.4897
1991-01-08,0.4888,0.4888,0.4888,0.4888
1991-01-09,0.4888,0.4888,0.4888,0.4888
1991-01-10,0.4912,0.4912,0.4912,0.4912
1991-01-11,0.4902,0.4902,0.4902,0.4902
1991-01-14,0.4883,0.4883,0.4883,0.4883
1991-01-15,0.4895,0.4895,0.4895,0.4895
1991-01-16,0.489,0.489,0.489,0.489
1991-01-17,0.4921,0.4921,0.4921,0.4921
1991-01-18,0.4931,0.4931,0.4931,0.4931
1991-01-21,0.4943,0.4943,0.4943,0.4943
1991-01-22,0.4955,0.4955,0.4955,0.4955
1991-01-23,0.4938,0.4938,0.4938,0.4938
1991-01-24,0.4973,0.4973,0.4973,0.4973
1991-01-25,0.4963,0.4963,0.4963,0.4963
1991-01-28,0.4973,0.4973,0.4973,0.4973
1991-01-29,0.4978,0.4978,0.4978,0.4978
1991-01-30,0.4965,0.4965,0.4965,0.4965
1991-01-31,0.497,0.497,0.497,0.497
1991-02-01,0.4985,0.4985,0.4985,0.4985
1991-02-04,0.4995,0.4995,0.4995,0.4995
1991-02-05,0.5005,0.5005,0.5005,0.5005
1991-02-06,0.5005,0.5005,0.5005,0.5005
1991-02-07,0.501,0.501,0.501,0.501
1991-02-08,0.5005,0.5005,0.5005,0.5005
1991-02-11,0.5015,0.5015,0.5015,0.5015
1991-02-12,0.5015,0.5015,0.5015,0.5015
1991-02-13,0.501,0.501,0.501,0.501
1991-02-14,0.5003,0.5003,0.5003,0.5003
1991-02-15,0.4995,0.4995,0.4995,0.4995
1991-02-18,0.4983,0.4983,0.4983,0.4983
1991-02-19,0.4965,0.4965,0.4965,0.4965
1991-02-20,0.4965,0.4965,0.4965,0.4965
1991-02-21,0.495,0.495,0.495,0.495
1991-02-22,0.4958,0.4958,0.4958,0.4958
1991-02-25,0.4936,0.4936,0.4936,0.4936
1991-02-26,0.4924,0.4924,0.4924,0.4924
1991-02-27,0.4916,0.4916,0.4916,0.4916
1991-03-01,0.4904,0.4904,0.4904,0.4904
1991-03-04,0.4888,0.4888,0.4888,0.4888
1991-03-05,0.4897,0.4897,0.4897,0.4897
1991-03-06,0.4871,0.4871,0.4871,0.4871
1991-03-07,0.4883,0.4883,0.4883,0.4883
1991-03-08,0.4866,0.4866,0.4866,0.4866
1991-03-11,0.4562,0.4562,0.4562,0.4562
1991-03-12,0.4583,0.4583,0.4583,0.4583
1991-03-13,0.4581,0.4581,0.4581,0.4581
1991-03-14,0.4581,0.4581,0.4581,0.4581
1991-03-15,0.4562,0.4562,0.4562,0.4562
1991-03-18,0.4539,0.4539,0.4539,0.4539
1991-03-19,0.4509,0.4509,0.4509,0.4509
1991-03-20,0.4492,0.4492,0.4492,0.4492
1991-03-21,0.4515,0.4515,0.4515,0.4515
1991-03-22,0.4513,0.4513,0.4513,0.4513
1991-03-25,0.4484,0.4484,0.4484,0.4484
1991-03-26,0.4446,0.4446,0.4446,0.4446
1991-03-27,0.4458,0.4458,0.4458,0.4458
1991-03-28,0.4423,0.4423,0.4423,0.4423
1991-04-02,0.4452,0.4452,0.4452,0.4452
1991-04-03,0.447,0.447,0.447,0.447
1991-04-04,0.446,0.446,0.446,0.446
1991-04-08,0.445,0.445,0.445,0.445
1991-04-09,0.4456,0.4456,0.4456,0.4456
1991-04-10,0.448,0.448,0.448,0.448
1991-04-11,0.4462,0.4462,0.4462,0.4462
1991-04-12,0.4476,0.4476,0.4476,0.4476
1991-04-15,0.4474,0.4474,0.4474,0.4474
1991-04-16,0.4488,0.4488,0.4488,0.4488
1991-04-17,0.4484,0.4484,0.4484,0.4484
1991-04-19,0.4419,0.4419,0.4419,0.4419
1991-04-22,0.438,0.438,0.438,0.438
1991-04-23,0.4354,0.4354,0.4354,0.4354
1991-04-24,0.4367,0.4367,0.4367,0.4367
1991-04-25,0.4355,0.4355,0.4355,0.4355
1991-04-26,0.4348,0.4348,0.4348,0.4348
1991-04-29,0.4307,0.4307,0.4307,0.4307
1991-04-30,0.4348,0.4348,0.4348,0.4348
1991-05-01,0.4399,0.4399,0.4399,0.4399
1991-05-02,0.4386,0.4386,0.4386,0.4386
1991-05-03,0.4369,0.4369,0.4369,0.4369
1991-05-06,0.432,0.432,0.432,0.432
1991-05-07,0.4307,0.4307,0.4307,0.4307
1991-05-08,0.4234,0.4234,0.4234,0.4234
1991-05-09,0.4274,0.4274,0.4274,0.4274
1991-05-10,0.4237,0.4237,0.4237,0.4237
1991-05-13,0.4237,0.4237,0.4237,0.4237
1991-05-14,0.4225,0.4225,0.4225,0.4225
1991-05-15,0.4237,0.4237,0.4237,0.4237
1991-05-16,0.423,0.423,0.423,0.423
1991-05-17,0.4203,0.4203,0.4203,0.4203
1991-05-20,0.4161,0.4161,0.4161,0.4161
1991-05-21,0.4155,0.4155,0.4155,0.4155
1991-05-22,0.4167,0.4167,0.4167,0.4167
1991-05-23,0.4141,0.4141,0.4141,0.4141
1991-05-24,0.4151,0.4151,0.4151,0.4151
1991-05-27,0.4174,0.4174,0.4174,0.4174
1991-05-28,0.4167,0.4167,0.4167,0.4167
1991-05-29,0.4193,0.4193,0.4193,0.4193
1991-05-30,0.4221,0.4221,0.4221,0.4221
1991-05-31,0.4191,0.4191,0.4191,0.4191
1991-06-03,0.4153,0.4153,0.4153,0.4153
1991-06-04,0.4148,0.4148,0.4148,0.4148
1991-06-05,0.4165,0.4165,0.4165,0.4165
1991-06-06,0.4165,0.4165,0.4165,0.4165
1991-06-07,0.4179,0.4179,0.4179,0.4179
1991-06-10,0.4165,0.4165,0.4165,0.4165
1991-06-11,0.4163,0.4163,0.4163,0.4163
1991-06-12,0.4156,0.4156,0.4156,0.4156
1991-06-13,0.4153,0.4153,0.4153,0.4153
1991-06-14,0.4179,0.4179,0.4179,0.4179
1991-06-17,0.4161,0.4161,0.4161,0.4161
1991-06-18,0.4146,0.4146,0.4146,0.4146
1991-06-19,0.417,0.417,0.417,0.417
1991-06-20,0.4191,0.4191,0.4191,0.4191
1991-06-21,0.417,0.417,0.417,0.417
1991-06-24,0.4179,0.4179,0.4179,0.4179
