Date,Open,High,Low,Close
1991-01-02,0.3698,0.3698,0.3698,0.3698
1991-01-03,0.3696,0.3696,0.3696,0.3696
1991-01-04,0.3692,0.3692,0.3692,0.3692
1991-01-07,0.3674,0.3674,0.3674,0.3674
1991-01-08,0.367,0.367,0.367,0.367
1991-01-09,0.3668,0.3668,0.3668,0.3668
1991-01-10,0.3671,0.3671,0.3671,0.3671
1991-01-11,0.3671,0.3671,0.3671,0.3671
1991-01-14,0.3672,0.3672,0.3672,0.3672
1991-01-15,0.3673,0.3673,0.3673,0.3673
1991-01-16,0.3661,0.3661,0.3661,0.3661
1991-01-17,0.367,0.367,0.367,0.367
1991-01-18,0.3673,0.3673,0.3673,0.3673
1991-01-21,0.3682,0.3682,0.3682,0.3682
1991-01-22,0.369,0.369,0.369,0.369
1991-01-23,0.3687,0.3687,0.3687,0.3687
1991-01-24,0.3703,0.3703,0.3703,0.3703
1991-01-25,0.3709,0.3709,0.3709,0.3709
1991-01-28,0.3709,0.3709,0.3709,0.3709
1991-01-29,0.371,0.371,0.371,0.371
1991-01-30,0.3705,0.3705,0.3705,0.3705
1991-01-31,0.3708,0.3708,0.3708,0.3708
1991-02-01,0.3713,0.3713,0.3713,0.3713
1991-02-04,0.3715,0.3715,0.3715,0.3715
1991-02-05,0.3716,0.3716,0.3716,0.3716
1991-02-06,0.3722,0.3722,0.3722,0.3722
1991-02-07,0.3719,0.3719,0.3719,0.3719
1991-02-08,0.3717,0.3717,0.3717,0.3717
1991-02-11,0.3723,0.3723,0.3723,0.3723
1991-02-12,0.3717,0.3717,0.3717,0.3717
1991-02-13,0.3722,0.3722,0.3722,0.3722
1991-02-14,0.3725,0.3725,0.3725,0.3725
1991-02-15,0.3717,0.3717,0.3717,0.3717
1991-02-18,0.3716,0.3716,0.3716,0.3716
1991-02-19,0.3709,0.3709,0.3709,0.3709
1991-02-20,0.3708,0.3708,0.3708,0.3708
1991-02-21,0.3708,0.3708,0.3708,0.3708
1991-02-22,0.3704,0.3704,0.3704,0.3704
1991-02-25,0.3692,0.3692,0.3692,0.3692
1991-02-26,0.369,0.369,0.369,0.369
1991-02-27,0.3681,0.3681,0.3681,0.3681
1991-02-28,0.3677,0.3677,0.3677,0.3677
1991-03-01,0.367,0.367,0.367,0.367
1991-03-04,0.3669,0.3669,0.3669,0.3669
1991-03-05,0.3668,0.3668,0.3668,0.3668
1991-03-06,0.3659,0.3659,0.3659,0.3659
1991-03-07,0.3664,0.3664,0.3664,0.3664
1991-03-08,0.3665,0.3665,0.3665,0.3665
1991-03-11,0.366,0.366,0.366,0.366
1991-03-12,0.3662,0.3662,0.3662,0.3662
1991-03-13,0.366,0.366,0.366,0.366
1991-03-14,0.366,0.366,0.366,0.366
1991-03-15,0.3654,0.3654,0.3654,0.3654
1991-03-18,0.3648,0.3648,0.3648,0.3648
1991-03-19,0.365,0.365,0.365,0.365
1991-03-20,0.3643,0.3643,0.3643,0.3643
1991-03-21,0.3644,0.3644,0.3644,0.3644
1991-03-22,0.3644,0.3644,0.3644,0.3644
1991-03-25,0.3632,0.3632,0.3632,0.3632
1991-03-26,0.3622,0.3622,0.3622,0.3622
1991-03-27,0.3617,0.3617,0.3617,0.3617
1991-03-28,0.361,0.361,0.361,0.361
1991-04-01,0.361,0.361,0.361,0.361
1991-04-02,0.3624,0.3624,0.3624,0.3624
