Date,Open,High,Low,Close
1991-01-02,0.5882,0.5928,0.5855,0.5911
1991-01-03,0.5911,0.5935,0.5895,0.5895
1991-01-04,0.5936,0.5942,0.5898,0.5899
1991-01-07,0.59,0.592,0.588,0.5913
1991-01-08,0.5913,0.5927,0.5899,0.592
1991-01-09,0.5914,0.5916,0.5892,0.5897
1991-01-10,0.5897,0.5923,0.589,0.592
1991-01-11,0.5919,0.5959,0.5918,0.5944
1991-01-14,0.5945,0.5947,0.5915,0.5943
1991-01-15,0.5934,0.5964,0.5916,0.5916
1991-01-16,0.5967,0.598,0.5945,0.597
1991-01-17,0.5953,0.5966,0.5925,0.5929
1991-01-18,0.593,0.595,0.5925,0.5935
1991-01-21,0.594,0.596,0.5934,0.595
1991-01-22,0.5948,0.598,0.5945,0.595
1991-01-23,0.5962,0.5981,0.5945,0.5981
1991-01-24,0.5981,0.5983,0.596,0.5964
1991-01-25,0.5962,0.5977,0.5955,0.5965
1991-01-28,0.596,0.5983,0.5949,0.5974
1991-01-29,0.5974,0.6007,0.5965,0.599
1991-01-30,0.5992,0.6011,0.5983,0.5991
1991-01-31,0.5994,0.5999,0.597,0.5991
1991-02-01,0.5988,0.5995,0.5975,0.5976
1991-02-04,0.599,0.6011,0.5985,0.6004
1991-02-05,0.6001,0.6016,0.5992,0.5997
1991-02-06,0.5994,0.6017,0.598,0.6013
1991-02-07,0.6019,0.6027,0.6004,0.6027
1991-02-08,0.6024,0.6036,0.5994,0.5994
1991-02-11,0.6,0.602,0.5988,0.602
1991-02-12,0.6007,0.6035,0.6007,0.6035
1991-02-13,0.6032,0.6075,0.6024,0.6068
1991-02-14,0.6068,0.608,0.6058,0.6064
1991-02-15,0.6062,0.607,0.6045,0.6053
1991-02-18,0.605,0.6061,0.6044,0.606
1991-02-19,0.6057,0.6066,0.6037,0.6039
1991-02-20,0.6042,0.6046,0.598,0.599
1991-02-21,0.5982,0.6001,0.5965,0.6001
1991-02-22,0.6002,0.6011,0.596,0.5968
1991-02-25,0.597,0.5985,0.5959,0.5968
1991-02-26,0.5972,0.6006,0.5964,0.5993
1991-02-27,0.5993,0.5995,0.5978,0.5987
1991-02-28,0.5992,0.6,0.5979,0.5994
1991-03-01,0.5995,0.601,0.5987,0.601
1991-03-04,0.6015,0.6024,0.597,0.5975
1991-03-05,0.5997,0.5998,0.5962,0.5965
1991-03-06,0.5935,0.5948,0.5919,0.5935
1991-03-07,0.5933,0.5948,0.5915,0.5925
1991-03-08,0.5935,0.5975,0.591,0.596
1991-03-11,0.5963,0.5985,0.5925,0.5985
1991-03-12,0.5983,0.5983,0.5965,0.5975
1991-03-13,0.5965,0.597,0.5935,0.594
1991-03-14,0.5943,0.597,0.594,0.5965
1991-03-15,0.5977,0.598,0.5945,0.5953
1991-03-18,0.5943,0.5943,0.5925,0.593
1991-03-19,0.5933,0.5952,0.5933,0.594
1991-03-20,0.595,0.5963,0.5948,0.596
1991-03-21,0.5963,0.5969,0.5945,0.596
1991-03-22,0.5965,0.5965,0.5945,0.595
1991-03-25,0.595,0.5953,0.5875,0.5875
1991-03-26,0.5888,0.5888,0.583,0.586
1991-03-27,0.588,0.5891,0.5855,0.5857
1991-03-28,0.587,0.5872,0.5855,0.586
1991-04-01,0.5875,0.588,0.5875,0.588
1991-04-02,0.5887,0.591,0.5883,0.591
1991-04-03,0.591,0.593,0.5902,0.592
1991-04-04,0.5929,0.593,0.592,0.593
1991-04-05,0.592,0.594,0.592,0.594
1991-04-08,0.5921,0.593,0.5915,0.592
1991-04-09,0.592,0.5923,0.589,0.5915
