Date,Open,High,Low,Close
1991-01-02,0.1776,0.1786,0.1776,0.1782
1991-01-03,0.1783,0.1785,0.1782,0.1785
1991-01-04,0.1783,0.1784,0.1772,0.1772
1991-01-07,0.1754,0.1754,0.1739,0.1748
1991-01-08,0.1744,0.1749,0.1742,0.1749
1991-01-09,0.1739,0.1766,0.1739,0.1766
1991-01-10,0.1758,0.1758,0.1751,0.1751
1991-01-11,0.1754,0.1754,0.1751,0.1754
1991-01-14,0.1742,0.1744,0.1741,0.1744
1991-01-15,0.1744,0.1745,0.174,0.1742
1991-01-16,0.1741,0.1741,0.174,0.1741
1991-01-17,0.176,0.177,0.176,0.177
1991-01-18,0.177,0.1779,0.1768,0.1779
1991-01-21,0.1777,0.1788,0.1777,0.1788
1991-01-22,0.179,0.1795,0.1789,0.1791
1991-01-23,0.1785,0.1794,0.1783,0.1794
1991-01-24,0.1797,0.1801,0.1797,0.1799
1991-01-25,0.1799,0.1799,0.1795,0.1795
1991-01-28,0.1795,0.1797,0.1795,0.1796
1991-01-29,0.1802,0.1803,0.18,0.18
1991-01-30,0.1794,0.1794,0.179,0.1794
1991-01-31,0.1797,0.1805,0.1797,0.1805
1991-02-01,0.1805,0.1815,0.1805,0.1815
1991-02-04,0.1815,0.1825,0.1814,0.182
1991-02-05,0.1821,0.1821,0.1819,0.1821
1991-02-06,0.1826,0.1831,0.1826,0.1831
1991-02-07,0.1831,0.1831,0.1828,0.1829
1991-02-08,0.1823,0.1823,0.1822,0.1823
1991-02-11,0.1827,0.1835,0.1827,0.1835
1991-02-12,0.1834,0.1834,0.1826,0.1829
1991-02-13,0.1823,0.1826,0.1822,0.1826
1991-02-14,0.1818,0.1821,0.1818,0.182
1991-02-15,0.1818,0.1818,0.1805,0.1812
1991-02-18,0.1808,0.1808,0.1801,0.1802
1991-02-19,0.1801,0.1801,0.1792,0.1792
1991-02-20,0.1795,0.1796,0.1791,0.1792
1991-02-21,0.1792,0.1798,0.1792,0.1796
1991-02-22,0.18,0.1803,0.1792,0.1796
1991-02-25,0.1778,0.1781,0.1768,0.1768
1991-02-26,0.177,0.1777,0.1761,0.1768
1991-02-27,0.1766,0.1768,0.1764,0.1768
1991-02-28,0.1768,0.1773,0.1763,0.1763
1991-03-01,0.1755,0.1757,0.1751,0.1754
1991-03-04,0.1749,0.1754,0.1748,0.1753
1991-03-05,0.1759,0.1761,0.1756,0.1756
1991-03-06,0.1746,0.175,0.1743,0.175
1991-03-07,0.175,0.175,0.1744,0.1744
1991-03-08,0.1739,0.1739,0.173,0.1736
1991-03-11,0.1717,0.1724,0.1714,0.1716
1991-03-12,0.1723,0.1726,0.1722,0.1722
1991-03-13,0.1722,0.1722,0.1717,0.1718
1991-03-14,0.1724,0.1724,0.1717,0.1717
1991-03-15,0.1711,0.1715,0.1701,0.1701
1991-03-18,0.1697,0.1698,0.1672,0.1672
1991-03-19,0.1675,0.1684,0.1651,0.1654
1991-03-20,0.1659,0.1665,0.1652,0.1662
1991-03-21,0.167,0.1681,0.167,0.167
1991-03-22,0.1681,0.1681,0.1663,0.1667
1991-03-25,0.1661,0.1661,0.1645,0.1647
1991-03-26,0.1639,0.1639,0.163,0.1637
1991-03-27,0.1643,0.1643,0.1621,0.1626
1991-03-28,0.1618,0.1622,0.1614,0.1622
1991-04-01,0.1622,0.1622,0.1622,0.1622
1991-04-02,0.1653,0.1653,0.1629,0.1645
1991-04-03,0.1649,0.1656,0.1646,0.1656
1991-04-04,0.1643,0.1655,0.1643,0.1655
1991-04-05,0.1655,0.1664,0.1651,0.1651
1991-04-08,0.1639,0.1644,0.1637,0.1643
1991-04-09,0.1639,0.1657,0.1639,0.1656
1991-04-10,0.166,0.1664,0.1651,0.1651
1991-04-11,0.165,0.1656,0.1645,0.1656
1991-04-12,0.1656,0.1658,0.165,0.165
1991-04-15,0.165,0.1661,0.165,0.1657
1991-04-16,0.1661,0.1664,0.1661,0.1661
1991-04-17,0.1662,0.1663,0.1657,0.166
1991-04-18,0.1656,0.1656,0.1646,0.1647
1991-04-19,0.1623,0.1625,0.1613,0.1613
1991-04-22,0.1604,0.1606,0.1594,0.1594
1991-04-23,0.1594,0.1608,0.1593,0.1608
1991-04-24,0.1608,0.1613,0.1603,0.1603
1991-04-25,0.1603,0.1603,0.1595,0.1601
1991-04-26,0.1606,0.1606,0.1599,0.16
1991-04-29,0.1587,0.1595,0.1585,0.1595
1991-04-30,0.1605,0.1629,0.1605,0.1629
1991-05-01,0.1637,0.1639,0.1632,0.1633
1991-05-02,0.1628,0.1628,0.1616,0.1618
1991-05-03,0.1625,0.1629,0.1603,0.1605
1991-05-06,0.1605,0.1605,0.1605,0.1605
1991-05-07,0.1616,0.1624,0.1616,0.1623
1991-05-08,0.1623,0.1625,0.1616,0.1617
1991-05-09,0.1612,0.1614,0.1607,0.1612
1991-05-10,0.1616,0.162,0.1616,0.162
1991-05-13,0.162,0.1629,0.1618,0.1629
1991-05-14,0.1627,0.1639,0.1623,0.1637
1991-05-15,0.1639,0.1646,0.1638,0.164
1991-05-16,0.1641,0.1644,0.1638,0.1641
1991-05-17,0.1634,0.1635,0.161,0.161
1991-05-20,0.1589,0.1617,0.1586,0.1615
1991-05-21,0.1611,0.1627,0.1611,0.1627
1991-05-22,0.1623,0.1626,0.1618,0.1618
1991-05-23,0.1617,0.1629,0.1611,0.1629
1991-05-24,0.1632,0.1636,0.1629,0.1631
1991-05-27,0.1631,0.1631,0.1631,0.1631
1991-05-28,0.1631,0.1639,0.1629,0.1639
1991-05-29,0.1644,0.1647,0.1636,0.1636
1991-05-30,0.1629,0.1631,0.162,0.1622
1991-05-31,0.1617,0.1618,0.1608,0.1608
1991-06-03,0.1601,0.1601,0.1589,0.1597
1991-06-04,0.1596,0.16,0.159,0.16
1991-06-05,0.159,0.1594,0.1588,0.1591
1991-06-06,0.159,0.159,0.1584,0.1587
1991-06-07,0.1583,0.1583,0.1571,0.1572
1991-06-10,0.1573,0.1574,0.1569,0.1571
1991-06-11,0.1576,0.1576,0.1567,0.1569
1991-06-12,0.1568,0.1569,0.1551,0.1551
1991-06-13,0.1548,0.1549,0.1537,0.1544
1991-06-14,0.1542,0.1548,0.1536,0.1546
1991-06-17,0.1537,0.1537,0.1535,0.1537
1991-06-18,0.1531,0.1531,0.1523,0.1525
1991-06-19,0.1524,0.1544,0.1524,0.1543
