Date,Open,High,Low,Close
1991-01-02,0.5769,0.5774,0.5693,0.5716
1991-01-03,0.5714,0.5771,0.5714,0.5757
1991-01-04,0.5754,0.576,0.5715,0.5739
1991-01-07,0.574,0.574,0.5673,0.5699
1991-01-08,0.57,0.5703,0.5676,0.5683
1991-01-09,0.5677,0.5715,0.5672,0.5712
1991-01-10,0.5718,0.572,0.5679,0.5709
1991-01-11,0.5708,0.5713,0.5676,0.5707
1991-01-14,0.5707,0.5712,0.566,0.5666
1991-01-15,0.5682,0.5696,0.5661,0.5667
1991-01-16,0.5688,0.5693,0.5646,0.565
1991-01-17,0.5675,0.5761,0.565,0.5759
1991-01-18,0.5759,0.5768,0.5705,0.5737
1991-01-21,0.5759,0.5769,0.5735,0.5769
1991-01-22,0.5767,0.5784,0.5759,0.5776
1991-01-23,0.5793,0.5797,0.5754,0.5791
1991-01-24,0.5792,0.5794,0.5766,0.5793
1991-01-25,0.5815,0.5821,0.5776,0.578
1991-01-28,0.5792,0.581,0.5785,0.581
1991-01-29,0.5809,0.5814,0.5785,0.5801
1991-01-30,0.5806,0.5809,0.5766,0.5796
1991-01-31,0.5798,0.5807,0.577,0.5807
1991-02-01,0.5803,0.5808,0.5775,0.5795
1991-02-04,0.5816,0.5845,0.579,0.5841
1991-02-05,0.5844,0.5862,0.5819,0.5859
1991-02-06,0.5858,0.5862,0.5828,0.5855
1991-02-07,0.5855,0.5864,0.5832,0.5862
1991-02-08,0.5862,0.5868,0.5821,0.5841
1991-02-11,0.5835,0.586,0.5834,0.5849
1991-02-12,0.5843,0.5874,0.5838,0.5841
1991-02-13,0.5853,0.5867,0.583,0.586
1991-02-14,0.5863,0.5867,0.5845,0.585
1991-02-15,0.5865,0.5881,0.5822,0.5863
1991-02-18,0.5863,0.5866,0.5824,0.5848
1991-02-19,0.5846,0.5851,0.5809,0.5829
1991-02-20,0.5827,0.5829,0.5804,0.5804
1991-02-21,0.5827,0.5832,0.5802,0.5825
1991-02-22,0.5822,0.5836,0.5806,0.5813
1991-02-25,0.5813,0.5817,0.5786,0.5802
1991-02-26,0.5796,0.5811,0.578,0.5806
1991-02-27,0.5806,0.581,0.578,0.5788
1991-02-28,0.5786,0.5818,0.5784,0.5802
1991-03-01,0.5797,0.5811,0.5768,0.5773
1991-03-04,0.5778,0.5783,0.5748,0.5769
1991-03-05,0.5785,0.5792,0.5759,0.5767
1991-03-06,0.5772,0.5793,0.5726,0.5741
1991-03-07,0.5735,0.5769,0.5734,0.5741
1991-03-08,0.576,0.5767,0.572,0.5735
1991-03-11,0.5716,0.5722,0.5683,0.5722
1991-03-12,0.5714,0.5745,0.5705,0.5735
1991-03-13,0.5722,0.5737,0.5709,0.5721
1991-03-14,0.5724,0.5729,0.5716,0.5719
1991-03-15,0.5723,0.5723,0.5692,0.5698
1991-03-18,0.5701,0.5701,0.5701,0.5701
1991-03-19,0.5667,0.5675,0.5647,0.5647
1991-03-20,0.565,0.565,0.5624,0.5626
1991-03-21,0.5655,0.5658,0.5645,0.5648
1991-03-22,0.5659,0.567,0.5653,0.5653
1991-03-25,0.5663,0.5663,0.5635,0.5635
1991-03-26,0.5624,0.5629,0.5601,0.5618
1991-03-27,0.5621,0.5621,0.5582,0.559
1991-03-28,0.5587,0.5587,0.5554,0.5573
1991-04-01,0.5596,0.5602,0.5596,0.5602
1991-04-02,0.5613,0.5613,0.5594,0.5607
1991-04-03,0.5638,0.5666,0.5638,0.5666
1991-04-04,0.5659,0.5673,0.5646,0.5673
1991-04-05,0.5664,0.5687,0.5664,0.5687
1991-04-08,0.5655,0.5656,0.5648,0.5651
1991-04-09,0.5651,0.5677,0.5651,0.5677
1991-04-10,0.5682,0.5704,0.5677,0.5682
1991-04-11,0.5675,0.5705,0.5675,0.5705
1991-04-12,0.57,0.57,0.569,0.5696
1991-04-15,0.5693,0.5714,0.5693,0.5714
1991-04-16,0.5716,0.5721,0.5716,0.5721
1991-04-17,0.5718,0.5727,0.5711,0.5711
1991-04-18,0.5711,0.5711,0.569,0.569
1991-04-19,0.5653,0.5653,0.5629,0.5642
1991-04-22,0.5618,0.5626,0.5609,0.5615
1991-04-23,0.5618,0.5647,0.5618,0.5647
1991-04-24,0.5645,0.5651,0.5634,0.5647
1991-04-25,0.5631,0.5635,0.5629,0.5635
1991-04-26,0.5634,0.5643,0.5634,0.5634
1991-04-29,0.5621,0.5621,0.561,0.562
1991-04-30,0.564,0.5675,0.564,0.5675
1991-05-01,0.5711,0.5711,0.5693,0.5693
1991-05-02,0.5682,0.5682,0.5663,0.5663
1991-05-03,0.5669,0.5669,0.5634,0.5634
1991-05-06,0.5632,0.5648,0.5632,0.5648
1991-05-07,0.5653,0.5666,0.5652,0.5666
1991-05-08,0.5666,0.5666,0.5643,0.5643
1991-05-09,0.5645,0.565,0.5634,0.564
1991-05-10,0.5658,0.5659,0.5647,0.5651
1991-05-13,0.565,0.5656,0.5645,0.5656
1991-05-14,0.5655,0.5655,0.5639,0.5639
1991-05-15,0.5669,0.5678,0.5666,0.5676
1991-05-16,0.5682,0.5682,0.5671,0.5671
1991-05-17,0.5663,0.5663,0.5648,0.5648
1991-05-20,0.5629,0.5661,0.5629,0.5661
1991-05-21,0.5659,0.5659,0.565,0.5657
1991-05-22,0.5658,0.5658,0.5642,0.5642
1991-05-23,0.5647,0.5663,0.5647,0.5663
1991-05-24,0.5659,0.5667,0.5656,0.5667
1991-05-28,0.5667,0.5667,0.5663,0.5663
1991-05-29,0.5663,0.5682,0.5663,0.5682
1991-05-30,0.5667,0.5672,0.5667,0.5672
1991-05-31,0.5669,0.5669,0.5661,0.5661
1991-06-03,0.5665,0.5665,0.5641,0.5655
1991-06-04,0.5648,0.5655,0.564,0.5655
