Date,Open,High,Low,Close
1991-01-02,0.03689,0.03689,0.03689,0.03689
1991-01-03,0.0369,0.0369,0.0369,0.0369
1991-01-04,0.0369,0.0369,0.0369,0.0369
1991-01-07,0.03689,0.03689,0.03689,0.03689
1991-01-08,0.03686,0.03686,0.03686,0.03686
1991-01-09,0.03686,0.03686,0.03686,0.03686
1991-01-10,0.03686,0.03686,0.03686,0.03686
1991-01-11,0.03681,0.03681,0.03681,0.03681
1991-01-14,0.0367,0.0367,0.0367,0.0367
1991-01-15,0.03655,0.03655,0.03655,0.03655
1991-01-16,0.03655,0.03655,0.03655,0.03655
1991-01-17,0.03668,0.03668,0.03668,0.03668
1991-01-18,0.03674,0.03674,0.03674,0.03674
1991-01-21,0.03671,0.03671,0.03671,0.03671
1991-01-22,0.03672,0.03672,0.03672,0.03672
1991-01-23,0.03675,0.03675,0.03675,0.03675
1991-01-24,0.03685,0.03685,0.03685,0.03685
1991-01-25,0.0369,0.0369,0.0369,0.0369
1991-01-28,0.03687,0.03687,0.03687,0.03687
1991-01-29,0.0369,0.0369,0.0369,0.0369
1991-01-30,0.03693,0.03693,0.03693,0.03693
1991-01-31,0.03691,0.03691,0.03691,0.03691
1991-02-01,0.0369,0.0369,0.0369,0.0369
1991-02-04,0.03697,0.03697,0.03697,0.03697
1991-02-05,0.0369,0.0369,0.0369,0.0369
1991-02-06,0.0369,0.0369,0.0369,0.0369
1991-02-07,0.0369,0.0369,0.0369,0.0369
1991-02-08,0.03691,0.03691,0.03691,0.03691
1991-02-11,0.0369,0.0369,0.0369,0.0369
1991-02-12,0.03686,0.03686,0.03686,0.03686
1991-02-13,0.0369,0.0369,0.0369,0.0369
1991-02-14,0.0369,0.0369,0.0369,0.0369
1991-02-15,0.0369,0.0369,0.0369,0.0369
1991-02-18,0.0369,0.0369,0.0369,0.0369
1991-02-19,0.03689,0.03689,0.03689,0.03689
1991-02-20,0.0369,0.0369,0.0369,0.0369
1991-02-21,0.0369,0.0369,0.0369,0.0369
1991-02-22,0.0369,0.0369,0.0369,0.0369
1991-02-25,0.03682,0.03682,0.03682,0.03682
1991-02-26,0.03678,0.03678,0.03678,0.03678
1991-02-27,0.03682,0.03682,0.03682,0.03682
1991-02-28,0.03682,0.03682,0.03682,0.03682
1991-03-01,0.03679,0.03679,0.03679,0.03679
1991-03-04,0.03678,0.03678,0.03678,0.03678
1991-03-05,0.03679,0.03679,0.03679,0.03679
1991-03-06,0.03671,0.03671,0.03671,0.03671
1991-03-07,0.03672,0.03672,0.03672,0.03672
1991-03-08,0.0367,0.0367,0.0367,0.0367
1991-03-11,0.03666,0.03666,0.03666,0.03666
1991-03-12,0.03668,0.03668,0.03668,0.03668
1991-03-13,0.03667,0.03667,0.03667,0.03667
1991-03-14,0.0367,0.0367,0.0367,0.0367
1991-03-15,0.03674,0.03674,0.03674,0.03674
1991-03-18,0.0367,0.0367,0.0367,0.0367
1991-03-19,0.03668,0.03668,0.03668,0.03668
1991-03-20,0.03664,0.03664,0.03664,0.03664
1991-03-21,0.03667,0.03667,0.03667,0.03667
1991-03-22,0.03674,0.03674,0.03674,0.03674
1991-03-25,0.03662,0.03662,0.03662,0.03662
1991-03-26,0.03655,0.03655,0.03655,0.03655
1991-03-27,0.03654,0.03654,0.03654,0.03654
1991-03-28,0.0364,0.0364,0.0364,0.0364
1991-04-01,0.03646,0.03646,0.03646,0.03646
1991-04-02,0.03647,0.03647,0.03647,0.03647
1991-04-03,0.03648,0.03648,0.03648,0.03648
1991-04-04,0.03648,0.03648,0.03648,0.03648
1991-04-05,0.03648,0.03648,0.03648,0.03648
1991-04-08,0.03656,0.03656,0.03656,0.03656
1991-04-09,0.03675,0.03675,0.03675,0.03675
1991-04-10,0.03683,0.03683,0.03683,0.03683
1991-04-11,0.0367,0.0367,0.0367,0.0367
1991-04-12,0.03666,0.03666,0.03666,0.03666
1991-04-15,0.03671,0.03671,0.03671,0.03671
1991-04-16,0.03668,0.03668,0.03668,0.03668
1991-04-17,0.03668,0.03668,0.03668,0.03668
1991-04-18,0.03676,0.03676,0.03676,0.03676
1991-04-19,0.03652,0.03652,0.03652,0.03652
1991-04-22,0.03647,0.03647,0.03647,0.03647
1991-04-23,0.03655,0.03655,0.03655,0.03655
1991-04-24,0.03664,0.03664,0.03664,0.03664
1991-04-25,0.03656,0.03656,0.03656,0.03656
1991-04-26,0.03656,0.03656,0.03656,0.03656
1991-04-29,0.03652,0.03652,0.03652,0.03652
1991-04-30,0.03658,0.03658,0.03658,0.03658
1991-05-01,0.03667,0.03667,0.03667,0.03667
1991-05-02,0.03662,0.03662,0.03662,0.03662
1991-05-03,0.03663,0.03663,0.03663,0.03663
1991-05-06,0.03662,0.03662,0.03662,0.03662
1991-05-07,0.03666,0.03666,0.03666,0.03666
1991-05-08,0.03659,0.03659,0.03659,0.03659
1991-05-09,0.03659,0.03659,0.03659,0.03659
1991-05-10,0.0366,0.0366,0.0366,0.0366
1991-05-13,0.0366,0.0366,0.0366,0.0366
1991-05-14,0.03663,0.03663,0.03663,0.03663
1991-05-15,0.03662,0.03662,0.03662,0.03662
1991-05-16,0.03666,0.03666,0.03666,0.03666
1991-05-17,0.03668,0.03668,0.03668,0.03668
1991-05-20,0.03666,0.03666,0.03666,0.03666
1991-05-21,0.03676,0.03676,0.03676,0.03676
1991-05-22,0.03668,0.03668,0.03668,0.03668
1991-05-23,0.03667,0.03667,0.03667,0.03667
1991-05-24,0.03671,0.03671,0.03671,0.03671
1991-05-27,0.03676,0.03676,0.03676,0.03676
1991-05-28,0.03671,0.03671,0.03671,0.03671
1991-05-29,0.03674,0.03674,0.03674,0.03674
1991-05-30,0.03683,0.03683,0.03683,0.03683
1991-05-31,0.03679,0.03679,0.03679,0.03679
1991-06-03,0.03676,0.03676,0.03676,0.03676
1991-06-04,0.03682,0.03682,0.03682,0.03682
1991-06-05,0.03682,0.03682,0.03682,0.03682
1991-06-06,0.03683,0.03683,0.03683,0.03683
1991-06-07,0.03682,0.03682,0.03682,0.03682
1991-06-10,0.03679,0.03679,0.03679,0.03679
1991-06-11,0.03679,0.03679,0.03679,0.03679
1991-06-12,0.03679,0.03679,0.03679,0.03679
1991-06-13,0.03679,0.03679,0.03679,0.03679
1991-06-14,0.03679,0.03679,0.03679,0.03679
1991-06-17,0.03679,0.03679,0.03679,0.03679
1991-06-18,0.03682,0.03682,0.03682,0.03682
1991-06-19,0.03687,0.03687,0.03687,0.03687
1991-06-20,0.03681,0.03681,0.03681,0.03681
1991-06-21,0.03682,0.03682,0.03682,0.03682
1991-06-24,0.03683,0.03683,0.03683,0.03683
1991-06-25,0.03686,0.03686,0.03686,0.03686
1991-06-26,0.03694,0.03694,0.03694,0.03694
1991-06-27,0.03689,0.03689,0.03689,0.03689
1991-06-28,0.03687,0.03687,0.03687,0.03687
1991-07-01,0.03687,0.03687,0.03687,0.03687
1991-07-02,0.03723,0.03723,0.03723,0.03723
1991-07-03,0.03704,0.03704,0.03704,0.03704
1991-07-04,0.03701,0.03701,0.03701,0.03701
1991-07-05,0.03701,0.03701,0.03701,0.03701
1991-07-08,0.037,0.037,0.037,0.037
1991-07-09,0.03698,0.03698,0.03698,0.03698
1991-07-10,0.03697,0.03697,0.03697,0.03697
1991-07-11,0.03704,0.03704,0.03704,0.03704
1991-07-12,0.03697,0.03697,0.03697,0.03697
1991-07-15,0.03698,0.03698,0.03698,0.03698
1991-07-16,0.03701,0.03701,0.03701,0.03701
1991-07-17,0.03702,0.03702,0.03702,0.03702
1991-07-18,0.03709,0.03709,0.03709,0.03709
1991-07-19,0.03711,0.03711,0.03711,0.03711
1991-07-22,0.03713,0.03713,0.03713,0.03713
1991-07-23,0.03711,0.03711,0.03711,0.03711
1991-07-24,0.03712,0.03712,0.03712,0.03712
1991-07-25,0.03715,0.03715,0.03715,0.03715
1991-07-26,0.03717,0.03717,0.03717,0.03717
1991-07-29,0.03717,0.03717,0.03717,0.03717
1991-07-30,0.03722,0.03722,0.03722,0.03722
1991-07-31,0.0372,0.0372,0.0372,0.0372
1991-08-01,0.03726,0.03726,0.03726,0.03726
1991-08-02,0.03731,0.03731,0.03731,0.03731
1991-08-05,0.0374,0.0374,0.0374,0.0374
1991-08-06,0.03741,0.03741,0.03741,0.03741
1991-08-07,0.03738,0.03738,0.03738,0.03738
1991-08-08,0.03737,0.03737,0.03737,0.03737
1991-08-09,0.03743,0.03743,0.03743,0.03743
1991-08-12,0.03743,0.03743,0.03743,0.03743
1991-08-13,0.03745,0.03745,0.03745,0.03745
1991-08-14,0.03747,0.03747,0.03747,0.03747
1991-08-15,0.03744,0.03744,0.03744,0.03744
1991-08-16,0.03745,0.03745,0.03745,0.03745
1991-08-19,0.03741,0.03741,0.03741,0.03741
1991-08-20,0.03741,0.03741,0.03741,0.03741
1991-08-21,0.03745,0.03745,0.03745,0.03745
1991-08-22,0.03748,0.03748,0.03748,0.03748
1991-08-23,0.0375,0.0375,0.0375,0.0375
1991-08-26,0.03747,0.03747,0.03747,0.03747
1991-08-27,0.03748,0.03748,0.03748,0.03748
1991-08-28,0.03745,0.03745,0.03745,0.03745
1991-08-29,0.03748,0.03748,0.03748,0.03748
1991-08-30,0.03747,0.03747,0.03747,0.03747
1991-09-02,0.03747,0.03747,0.03747,0.03747
1991-09-03,0.03747,0.03747,0.03747,0.03747
1991-09-04,0.03759,0.03759,0.03759,0.03759
1991-09-05,0.03769,0.03769,0.03769,0.03769
1991-09-06,0.03786,0.03786,0.03786,0.03786
1991-09-09,0.03765,0.03765,0.03765,0.03765
1991-09-10,0.03766,0.03766,0.03766,0.03766
1991-09-11,0.03765,0.03765,0.03765,0.03765
1991-09-12,0.03768,0.03768,0.03768,0.03768
1991-09-13,0.03768,0.03768,0.03768,0.03768
1991-09-16,0.03779,0.03779,0.03779,0.03779
1991-09-17,0.03779,0.03779,0.03779,0.03779
1991-09-18,0.03776,0.03776,0.03776,0.03776
1991-09-19,0.03764,0.03764,0.03764,0.03764
1991-09-20,0.03774,0.03774,0.03774,0.03774
1991-09-23,0.03755,0.03755,0.03755,0.03755
1991-09-24,0.03766,0.03766,0.03766,0.03766
1991-09-25,0.03766,0.03766,0.03766,0.03766
1991-09-26,0.03766,0.03766,0.03766,0.03766
1991-09-27,0.03776,0.03776,0.03776,0.03776
1991-09-30,0.03779,0.03779,0.03779,0.03779
1991-10-01,0.03775,0.03775,0.03775,0.03775
1991-10-02,0.03782,0.03782,0.03782,0.03782
