Date,Open,High,Low,Close
1991-01-02,1.2937,1.2953,1.2903,1.2903
1991-01-03,1.292,1.292,1.2804,1.2837
1991-01-04,1.2837,1.2853,1.2788,1.2853
1991-01-07,1.2853,1.292,1.2821,1.2853
1991-01-08,1.287,1.2887,1.2821,1.287
1991-01-09,1.2853,1.2987,1.2837,1.292
1991-01-10,1.292,1.2937,1.2903,1.2903
1991-01-11,1.2903,1.2953,1.2887,1.2903
1991-01-14,1.2903,1.2953,1.2821,1.2853
1991-01-15,1.2853,1.287,1.2755,1.2771
1991-01-16,1.2771,1.2788,1.2642,1.269
1991-01-17,1.269,1.287,1.2626,1.2837
1991-01-18,1.2837,1.2853,1.2739,1.2837
1991-01-21,1.2821,1.2821,1.2755,1.2804
1991-01-22,1.2804,1.2821,1.2739,1.2788
1991-01-23,1.2788,1.2788,1.2723,1.2739
1991-01-24,1.2755,1.2853,1.2739,1.2837
1991-01-25,1.2837,1.2903,1.2706,1.287
1991-01-28,1.2837,1.2837,1.2739,1.2771
1991-01-29,1.2771,1.2788,1.2723,1.2755
1991-01-30,1.2755,1.2771,1.2674,1.2723
1991-01-31,1.2739,1.2821,1.2706,1.2771
1991-02-01,1.2788,1.2821,1.2755,1.2755
1991-02-04,1.2755,1.2804,1.2739,1.2771
1991-02-05,1.2771,1.2887,1.2739,1.287
1991-02-06,1.2853,1.287,1.2788,1.2804
1991-02-07,1.2788,1.2821,1.2755,1.2788
1991-02-08,1.2788,1.2853,1.2788,1.2821
1991-02-11,1.2821,1.2837,1.2788,1.2804
1991-02-12,1.2804,1.2821,1.2771,1.2788
1991-02-13,1.2788,1.2804,1.2658,1.2706
1991-02-14,1.269,1.2723,1.2674,1.2706
1991-02-15,1.2706,1.2723,1.2658,1.2658
1991-02-18,1.2658,1.269,1.2658,1.2674
1991-02-19,1.2674,1.269,1.2642,1.269
1991-02-20,1.269,1.2723,1.2674,1.269
1991-02-21,1.269,1.2706,1.2658,1.2674
1991-02-22,1.2674,1.2755,1.2674,1.2739
1991-02-25,1.2739,1.2771,1.2739,1.2771
1991-02-26,1.2771,1.2788,1.2723,1.2739
1991-02-27,1.2739,1.2771,1.2723,1.2723
1991-02-28,1.2723,1.2755,1.2706,1.2723
1991-03-01,1.2723,1.2755,1.269,1.2739
1991-03-04,1.2739,1.2887,1.2739,1.2853
1991-03-05,1.287,1.297,1.2853,1.2937
1991-03-06,1.292,1.3021,1.292,1.2953
1991-03-07,1.2953,1.3055,1.292,1.3038
1991-03-08,1.3038,1.3089,1.297,1.3055
1991-03-11,1.3038,1.3072,1.2987,1.3021
1991-03-12,1.3021,1.3038,1.297,1.3021
1991-03-13,1.3021,1.3072,1.2987,1.3021
1991-03-14,1.3021,1.3038,1.297,1.2987
1991-03-15,1.3004,1.3021,1.2937,1.3021
1991-03-18,1.3004,1.3021,1.297,1.3004
1991-03-19,1.3021,1.3038,1.2937,1.2987
1991-03-20,1.2987,1.3004,1.2953,1.297
1991-03-21,1.297,1.2987,1.2937,1.2953
1991-03-22,1.2953,1.297,1.2903,1.2937
1991-03-25,1.2937,1.3004,1.2937,1.3004
1991-03-26,1.3004,1.3021,1.2903,1.2903
1991-03-27,1.2887,1.2937,1.2887,1.292
1991-03-28,1.292,1.292,1.287,1.2903
1991-04-01,1.2987,1.2987,1.2903,1.2903
1991-04-02,1.2903,1.292,1.2903,1.2903
1991-04-03,1.2903,1.2903,1.2821,1.2821
1991-04-04,1.2821,1.2821,1.2739,1.2739
1991-04-05,1.2755,1.2755,1.2706,1.2739
1991-04-08,1.2755,1.2755,1.2723,1.2739
1991-04-09,1.2755,1.2755,1.2706,1.2739
1991-04-10,1.2723,1.2723,1.2674,1.2723
1991-04-11,1.2739,1.2804,1.2706,1.2788
1991-04-12,1.2804,1.2804,1.2755,1.2755
1991-04-15,1.2771,1.2837,1.2771,1.2837
1991-04-16,1.2837,1.2837,1.2821,1.2821
1991-04-17,1.2821,1.2837,1.2804,1.2837
1991-04-18,1.2837,1.287,1.2821,1.287
1991-04-19,1.2887,1.297,1.2887,1.2953
1991-04-22,1.297,1.3004,1.297,1.3004
1991-04-23,1.3004,1.3004,1.2903,1.292
1991-04-24,1.2887,1.292,1.287,1.2887
1991-04-25,1.2903,1.2903,1.287,1.2887
1991-04-26,1.287,1.2887,1.2821,1.2837
1991-04-29,1.2837,1.2853,1.2821,1.2853
1991-04-30,1.2853,1.2853,1.2771,1.2771
1991-05-01,1.2788,1.2853,1.2771,1.2837
1991-05-02,1.2853,1.2887,1.2837,1.287
1991-05-03,1.2853,1.287,1.2837,1.287
1991-05-06,1.287,1.287,1.2804,1.2821
1991-05-07,1.2821,1.2821,1.2804,1.2804
1991-05-08,1.2804,1.2804,1.2755,1.2755
1991-05-09,1.2755,1.2771,1.2739,1.2755
1991-05-10,1.2755,1.2804,1.2755,1.2755
1991-05-13,1.2771,1.2837,1.2755,1.2821
1991-05-14,1.287,1.287,1.2821,1.2821
1991-05-15,1.2821,1.2821,1.2771,1.2771
1991-05-16,1.2771,1.2771,1.2739,1.2771
1991-05-17,1.2771,1.2788,1.2771,1.2788
1991-05-20,1.2804,1.2821,1.2771,1.2804
1991-05-21,1.2804,1.2903,1.2771,1.2903
1991-05-22,1.2903,1.3106,1.2887,1.3089
1991-05-23,1.3089,1.328,1.3072,1.3175
1991-05-24,1.3245,1.3245,1.3141,1.3158
1991-05-27,1.3175,1.321,1.3089,1.3141
1991-05-28,1.3228,1.3245,1.3141,1.3141
1991-05-29,1.3141,1.3158,1.3106,1.3141
1991-05-30,1.3123,1.3228,1.3072,1.3228
1991-05-31,1.3193,1.3193,1.3141,1.3141
1991-06-03,1.3193,1.3228,1.3158,1.321
1991-06-04,1.321,1.321,1.3141,1.3141
1991-06-05,1.3123,1.321,1.3123,1.3175
1991-06-06,1.3175,1.3333,1.3141,1.3316
1991-06-07,1.3298,1.3298,1.3263,1.3298
1991-06-10,1.3298,1.3298,1.328,1.328
1991-06-11,1.3298,1.3298,1.3228,1.3245
1991-06-12,1.3245,1.3263,1.321,1.3245
1991-06-13,1.3245,1.3298,1.3245,1.3263
1991-06-14,1.3263,1.3263,1.3228,1.3245
1991-06-17,1.3245,1.3245,1.3123,1.3123
1991-06-18,1.3123,1.3141,1.3089,1.3106
1991-06-19,1.3123,1.3141,1.3106,1.3123
1991-06-20,1.3123,1.3123,1.3038,1.3106
1991-06-21,1.3072,1.3089,1.3055,1.3089
1991-06-24,1.3089,1.3106,1.3055,1.3106
1991-06-25,1.3072,1.3072,1.3038,1.3038
1991-06-26,1.3055,1.3055,1.3038,1.3055
1991-06-27,1.3055,1.3055,1.3004,1.3038
1991-06-28,1.3021,1.3055,1.3004,1.3038
1991-07-01,1.3055,1.3055,1.3021,1.3055
1991-07-02,1.3072,1.3106,1.3055,1.3089
1991-07-03,1.3106,1.3106,1.3089,1.3106
1991-07-04,1.3123,1.3123,1.3106,1.3106
1991-07-05,1.3106,1.3123,1.3055,1.3072
1991-07-08,1.3055,1.3055,1.3038,1.3055
1991-07-09,1.3072,1.3072,1.3055,1.3072
1991-07-10,1.3072,1.3072,1.3055,1.3055
1991-07-11,1.3038,1.3055,1.3004,1.3038
1991-07-12,1.3038,1.3038,1.297,1.297
1991-07-15,1.297,1.297,1.2903,1.292
1991-07-16,1.292,1.292,1.2887,1.2903
1991-07-17,1.2903,1.2903,1.2887,1.2903
1991-07-18,1.2903,1.2953,1.2903,1.2953
1991-07-19,1.2953,1.297,1.2837,1.2853
1991-07-22,1.2853,1.2903,1.2853,1.2887
1991-07-23,1.2887,1.2937,1.287,1.2887
1991-07-24,1.2887,1.2903,1.287,1.2903
1991-07-25,1.2903,1.3021,1.2887,1.2987
1991-07-26,1.3004,1.3004,1.2853,1.2887
1991-07-29,1.2887,1.2903,1.2853,1.2887
1991-07-30,1.2887,1.2887,1.2804,1.2821
1991-07-31,1.2837,1.2887,1.2837,1.2853
1991-08-01,1.287,1.2887,1.2821,1.287
1991-08-02,1.2887,1.2887,1.2821,1.2837
1991-08-05,1.2837,1.2837,1.2821,1.2821
1991-08-06,1.2821,1.2821,1.2771,1.2771
1991-08-07,1.2788,1.2804,1.2755,1.2755
1991-08-08,1.2771,1.2788,1.2755,1.2771
1991-08-09,1.2771,1.2788,1.2755,1.2755
1991-08-12,1.2771,1.2771,1.2755,1.2755
1991-08-13,1.2755,1.2771,1.2755,1.2771
1991-08-14,1.2771,1.2804,1.2771,1.2788
1991-08-15,1.2804,1.2853,1.2804,1.2853
1991-08-16,1.2837,1.287,1.2821,1.2853
1991-08-19,1.2853,1.2903,1.2821,1.2853
1991-08-20,1.2837,1.2837,1.2771,1.2788
1991-08-21,1.2788,1.2788,1.2739,1.2788
1991-08-22,1.2739,1.2755,1.269,1.2706
1991-08-23,1.2723,1.2739,1.2706,1.2723
1991-08-26,1.2723,1.2755,1.2706,1.2739
1991-08-27,1.2739,1.2771,1.2723,1.2739
1991-08-28,1.2739,1.2755,1.2723,1.2739
1991-08-29,1.2739,1.2755,1.2739,1.2755
1991-08-30,1.2755,1.2755,1.2739,1.2755
1991-09-02,1.2739,1.2755,1.2739,1.2755
1991-09-03,1.2755,1.2887,1.2755,1.2804
1991-09-04,1.2804,1.2804,1.2723,1.2739
1991-09-05,1.2723,1.2739,1.2706,1.2739
1991-09-06,1.2739,1.2788,1.2674,1.269
1991-09-09,1.269,1.269,1.2626,1.2626
1991-09-10,1.2642,1.269,1.2626,1.269
1991-09-11,1.269,1.269,1.2642,1.2658
1991-09-12,1.2642,1.2642,1.2547,1.2563
1991-09-13,1.2563,1.261,1.2531,1.2563
