Date,Open,High,Low,Close
1991-01-01,27.73,27.73,27.73,27.73
1991-01-03,27.4,27.4,27.4,27.4
1991-01-04,27.42,27.42,27.42,27.42
1991-01-07,27.43,27.43,27.43,27.43
1991-01-08,27.91,27.91,27.91,27.91
1991-01-09,27.96,27.96,27.96,27.96
1991-01-10,27.99,27.99,27.99,27.99
1991-01-11,27.82,27.82,27.82,27.82
1991-01-14,27.91,27.91,27.91,27.91
1991-01-15,28.09,28.09,28.09,28.09
1991-01-16,28.0,28.0,28.0,28.0
1991-01-17,28.01,28.01,28.01,28.01
1991-01-18,27.77,27.77,27.77,27.77
1991-01-21,27.73,27.73,27.73,27.73
1991-01-22,27.48,27.48,27.48,27.48
1991-01-23,27.35,27.35,27.35,27.35
1991-01-24,27.48,27.48,27.48,27.48
1991-01-25,27.33,27.33,27.33,27.33
1991-01-28,27.31,27.31,27.31,27.31
1991-01-29,27.35,27.35,27.35,27.35
1991-01-30,27.32,27.32,27.32,27.32
1991-01-31,27.44,27.44,27.44,27.44
1991-02-01,27.37,27.37,27.37,27.37
1991-02-04,27.25,27.25,27.25,27.25
1991-02-05,27.08,27.08,27.08,27.08
1991-02-06,27.05,27.05,27.05,27.05
1991-02-07,26.94,26.94,26.94,26.94
1991-02-08,26.9,26.9,26.9,26.9
1991-02-11,27.03,27.03,27.03,27.03
1991-02-12,26.96,26.96,26.96,26.96
1991-02-13,26.85,26.85,26.85,26.85
1991-02-14,26.99,26.99,26.99,26.99
1991-02-15,27.07,27.07,27.07,27.07
1991-02-18,27.13,27.13,27.13,27.13
1991-02-19,27.28,27.28,27.28,27.28
1991-02-20,27.43,27.43,27.43,27.43
1991-02-21,27.42,27.42,27.42,27.42
1991-02-22,27.43,27.43,27.43,27.43
1991-02-25,27.38,27.38,27.38,27.38
1991-02-26,27.69,27.69,27.69,27.69
1991-02-27,27.79,27.79,27.79,27.79
1991-02-28,27.84,27.84,27.84,27.84
1991-03-01,27.78,27.78,27.78,27.78
1991-03-04,27.99,27.99,27.99,27.99
1991-03-05,28.03,28.03,28.03,28.03
1991-03-06,27.91,27.91,27.91,27.91
1991-03-07,28.11,28.11,28.11,28.11
1991-03-08,28.06,28.06,28.06,28.06
1991-03-11,28.24,28.24,28.24,28.24
1991-03-12,28.47,28.47,28.47,28.47
1991-03-13,28.39,28.39,28.39,28.39
1991-03-14,28.45,28.45,28.45,28.45
1991-03-15,28.46,28.46,28.46,28.46
1991-03-18,28.63,28.63,28.63,28.63
1991-03-19,28.88,28.88,28.88,28.88
1991-03-20,29.04,29.04,29.04,29.04
1991-03-21,29.39,29.39,29.39,29.39
1991-03-22,29.13,29.13,29.13,29.13
1991-03-25,29.24,29.24,29.24,29.24
1991-03-26,29.58,29.58,29.58,29.58
1991-03-27,29.82,29.82,29.82,29.82
1991-03-28,29.79,29.79,29.79,29.79
1991-03-29,30.15,30.15,30.15,30.15
1991-04-02,30.15,30.15,30.15,30.15
1991-04-03,29.77,29.77,29.77,29.77
1991-04-04,29.62,29.62,29.62,29.62
1991-04-05,29.68,29.68,29.68,29.68
1991-04-08,29.52,29.52,29.52,29.52
1991-04-09,29.81,29.81,29.81,29.81
1991-04-10,29.66,29.66,29.66,29.66
1991-04-11,29.54,29.54,29.54,29.54
1991-04-12,29.7,29.7,29.7,29.7
1991-04-15,29.6,29.6,29.6,29.6
1991-04-16,29.68,29.68,29.68,29.68
1991-04-17,29.47,29.47,29.47,29.47
1991-04-18,29.58,29.58,29.58,29.58
1991-04-19,29.69,29.69,29.69,29.69
1991-04-22,30.15,30.15,30.15,30.15
1991-04-23,30.46,30.46,30.46,30.46
1991-04-24,30.64,30.64,30.64,30.64
