Date,Open,High,Low,Close
1991-01-02,5.7345,5.7345,5.7345,5.7345
1991-01-03,5.7465,5.7465,5.7465,5.7465
1991-01-04,5.783,5.783,5.783,5.783
1991-01-07,5.9075,5.9075,5.9075,5.9075
1991-01-08,5.9075,5.9075,5.9075,5.9075
1991-01-09,5.8445,5.8445,5.8445,5.8445
1991-01-10,5.8895,5.8895,5.8895,5.8895
1991-01-11,5.906,5.906,5.906,5.906
1991-01-14,5.94,5.94,5.94,5.94
1991-01-15,5.95,5.95,5.95,5.95
1991-01-16,5.9525,5.9525,5.9525,5.9525
1991-01-17,5.855,5.855,5.855,5.855
1991-01-18,5.8225,5.8225,5.8225,5.8225
1991-01-21,5.7665,5.7665,5.7665,5.7665
1991-01-22,5.7555,5.7555,5.7555,5.7555
1991-01-23,5.755,5.755,5.755,5.755
1991-01-24,5.7125,5.7125,5.7125,5.7125
1991-01-25,5.714,5.714,5.714,5.714
1991-01-28,5.726,5.726,5.726,5.726
1991-01-29,5.711,5.711,5.711,5.711
1991-01-30,5.767,5.767,5.767,5.767
1991-01-31,5.718,5.718,5.718,5.718
1991-02-01,5.66,5.66,5.66,5.66
1991-02-04,5.656,5.656,5.656,5.656
1991-02-05,5.632,5.632,5.632,5.632
1991-02-06,5.6085,5.6085,5.6085,5.6085
1991-02-07,5.596,5.596,5.596,5.596
1991-02-08,5.615,5.615,5.615,5.615
1991-02-11,5.5795,5.5795,5.5795,5.5795
1991-02-12,5.6,5.6,5.6,5.6
1991-02-13,5.609,5.609,5.609,5.609
1991-02-14,5.626,5.626,5.626,5.626
1991-02-15,5.665,5.665,5.665,5.665
1991-02-18,5.694,5.694,5.694,5.694
1991-02-19,5.7155,5.7155,5.7155,5.7155
1991-02-20,5.734,5.734,5.734,5.734
1991-02-21,5.7415,5.7415,5.7415,5.7415
1991-02-22,5.742,5.742,5.742,5.742
1991-02-25,5.8375,5.8375,5.8375,5.8375
1991-02-26,5.868,5.868,5.868,5.868
1991-02-27,5.855,5.855,5.855,5.855
1991-02-28,5.86,5.86,5.86,5.86
1991-03-01,5.896,5.896,5.896,5.896
1991-03-04,5.9115,5.9115,5.9115,5.9115
1991-03-05,5.865,5.865,5.865,5.865
1991-03-06,5.9195,5.9195,5.9195,5.9195
1991-03-07,5.935,5.935,5.935,5.935
1991-03-08,5.98,5.98,5.98,5.98
1991-03-11,6.05,6.05,6.05,6.05
1991-03-12,6.027,6.027,6.027,6.027
1991-03-13,6.05,6.05,6.05,6.05
1991-03-14,6.051,6.051,6.051,6.051
1991-03-15,6.103,6.103,6.103,6.103
1991-03-18,6.213,6.213,6.213,6.213
1991-03-19,6.317,6.317,6.317,6.317
1991-03-20,6.349,6.349,6.349,6.349
1991-03-21,6.26,6.26,6.26,6.26
1991-03-22,6.3085,6.3085,6.3085,6.3085
1991-03-25,6.4,6.4,6.4,6.4
1991-03-26,6.51,6.51,6.51,6.51
1991-03-27,6.5575,6.5575,6.5575,6.5575
1991-03-28,6.566,6.566,6.566,6.566
1991-04-01,6.566,6.566,6.566,6.566
1991-04-02,6.4645,6.4645,6.4645,6.4645
1991-04-03,6.4085,6.4085,6.4085,6.4085
1991-04-04,6.444,6.444,6.444,6.444
1991-04-05,6.39,6.39,6.39,6.39
1991-04-08,6.475,6.475,6.475,6.475
1991-04-09,6.422,6.422,6.422,6.422
1991-04-10,6.4085,6.4085,6.4085,6.4085
1991-04-11,6.4425,6.4425,6.4425,6.4425
1991-04-12,6.4175,6.4175,6.4175,6.4175
1991-04-15,6.4065,6.4065,6.4065,6.4065
1991-04-16,6.365,6.365,6.365,6.365
1991-04-17,6.369,6.369,6.369,6.369
1991-04-18,6.431,6.431,6.431,6.431
1991-04-19,6.57,6.57,6.57,6.57
1991-04-22,6.701,6.701,6.701,6.701
1991-04-23,6.694,6.694,6.694,6.694
1991-04-24,6.6275,6.6275,6.6275,6.6275
1991-04-25,6.6975,6.6975,6.6975,6.6975
1991-04-26,6.659,6.659,6.659,6.659
1991-04-29,6.782,6.782,6.782,6.782
1991-04-30,6.5725,6.5725,6.5725,6.5725
1991-05-01,6.51,6.51,6.51,6.51
1991-05-02,6.5975,6.5975,6.5975,6.5975
1991-05-03,6.5515,6.5515,6.5515,6.5515
1991-05-06,6.674,6.674,6.674,6.674
1991-05-07,6.585,6.585,6.585,6.585
1991-05-08,6.6125,6.6125,6.6125,6.6125
1991-05-09,6.6205,6.6205,6.6205,6.6205
1991-05-10,6.5915,6.5915,6.5915,6.5915
1991-05-13,6.565,6.565,6.565,6.565
1991-05-14,6.5365,6.5365,6.5365,6.5365
1991-05-15,6.4805,6.4805,6.4805,6.4805
1991-05-16,6.465,6.465,6.465,6.465
1991-05-17,6.505,6.505,6.505,6.505
1991-05-20,6.505,6.505,6.505,6.505
1991-05-21,6.55,6.55,6.55,6.55
1991-05-22,6.57,6.57,6.57,6.57
1991-05-23,6.6125,6.6125,6.6125,6.6125
1991-05-24,6.557,6.557,6.557,6.557
1991-05-27,6.5225,6.5225,6.5225,6.5225
1991-05-28,6.55,6.55,6.55,6.55
1991-05-29,6.5025,6.5025,6.5025,6.5025
1991-05-30,6.589,6.589,6.589,6.589
1991-05-31,6.65,6.65,6.65,6.65
1991-06-03,6.7105,6.7105,6.7105,6.7105
1991-06-04,6.6995,6.6995,6.6995,6.6995
1991-06-05,6.712,6.712,6.712,6.712
1991-06-06,6.725,6.725,6.725,6.725
1991-06-07,6.792,6.792,6.792,6.792
1991-06-10,6.7955,6.7955,6.7955,6.7955
1991-06-11,6.8215,6.8215,6.8215,6.8215
1991-06-12,6.9,6.9,6.9,6.9
1991-06-13,6.9055,6.9055,6.9055,6.9055
1991-06-14,6.9265,6.9265,6.9265,6.9265
1991-06-17,6.9225,6.9225,6.9225,6.9225
1991-06-18,7.007,7.007,7.007,7.007
1991-06-19,6.91,6.91,6.91,6.91
1991-06-20,6.912,6.912,6.912,6.912
1991-06-21,6.953,6.953,6.953,6.953
1991-06-24,6.874,6.874,6.874,6.874
1991-06-25,6.924,6.924,6.924,6.924
1991-06-26,6.907,6.907,6.907,6.907
1991-06-27,6.938,6.938,6.938,6.938
1991-06-28,6.9865,6.9865,6.9865,6.9865
1991-07-01,7.058,7.058,7.058,7.058
1991-07-02,7.0875,7.0875,7.0875,7.0875
1991-07-03,7.061,7.061,7.061,7.061
1991-07-04,7.084,7.084,7.084,7.084
1991-07-05,7.0575,7.0575,7.0575,7.0575
1991-07-08,6.9855,6.9855,6.9855,6.9855
1991-07-09,7.031,7.031,7.031,7.031
1991-07-10,7.0155,7.0155,7.0155,7.0155
1991-07-11,7.0935,7.0935,7.0935,7.0935
1991-07-12,6.918,6.918,6.918,6.918
1991-07-15,6.9125,6.9125,6.9125,6.9125
1991-07-16,6.9585,6.9585,6.9585,6.9585
1991-07-17,6.93,6.93,6.93,6.93
1991-07-18,6.858,6.858,6.858,6.858
1991-07-19,6.756,6.756,6.756,6.756
1991-07-22,6.819,6.819,6.819,6.819
1991-07-23,6.7915,6.7915,6.7915,6.7915
1991-07-24,6.708,6.708,6.708,6.708
1991-07-25,6.7825,6.7825,6.7825,6.7825
1991-07-26,6.7825,6.7825,6.7825,6.7825
1991-07-29,6.7705,6.7705,6.7705,6.7705
1991-07-30,6.7885,6.7885,6.7885,6.7885
1991-07-31,6.7495,6.7495,6.7495,6.7495
1991-08-01,6.794,6.794,6.794,6.794
1991-08-02,6.7335,6.7335,6.7335,6.7335
1991-08-05,6.6605,6.6605,6.6605,6.6605
1991-08-06,6.644,6.644,6.644,6.644
1991-08-07,6.618,6.618,6.618,6.618
1991-08-08,6.642,6.642,6.642,6.642
1991-08-09,6.6835,6.6835,6.6835,6.6835
1991-08-12,6.68,6.68,6.68,6.68
1991-08-13,6.705,6.705,6.705,6.705
1991-08-14,6.7275,6.7275,6.7275,6.7275
1991-08-15,6.703,6.703,6.703,6.703
1991-08-16,6.786,6.786,6.786,6.786
1991-08-19,6.992,6.992,6.992,6.992
1991-08-20,6.937,6.937,6.937,6.937
1991-08-21,6.714,6.714,6.714,6.714
1991-08-22,6.689,6.689,6.689,6.689
1991-08-23,6.76,6.76,6.76,6.76
1991-08-26,6.7475,6.7475,6.7475,6.7475
1991-08-27,6.746,6.746,6.746,6.746
1991-08-28,6.705,6.705,6.705,6.705
1991-08-29,6.7305,6.7305,6.7305,6.7305
1991-08-30,6.743,6.743,6.743,6.743
1991-09-02,6.735,6.735,6.735,6.735
1991-09-03,6.697,6.697,6.697,6.697
1991-09-04,6.6995,6.6995,6.6995,6.6995
1991-09-05,6.706,6.706,6.706,6.706
1991-09-06,6.612,6.612,6.612,6.612
1991-09-09,6.5355,6.5355,6.5355,6.5355
1991-09-10,6.5435,6.5435,6.5435,6.5435
1991-09-11,6.5345,6.5345,6.5345,6.5345
1991-09-12,6.4865,6.4865,6.4865,6.4865
1991-09-13,6.5225,6.5225,6.5225,6.5225
1991-09-16,6.4605,6.4605,6.4605,6.4605
1991-09-17,6.4545,6.4545,6.4545,6.4545
1991-09-18,6.503,6.503,6.503,6.503
1991-09-19,6.522,6.522,6.522,6.522
1991-09-20,6.5405,6.5405,6.5405,6.5405
1991-09-23,6.4605,6.4605,6.4605,6.4605
1991-09-24,6.4275,6.4275,6.4275,6.4275
1991-09-25,6.485,6.485,6.485,6.485
1991-09-26,6.475,6.475,6.475,6.475
1991-09-27,6.4405,6.4405,6.4405,6.4405
1991-09-30,6.425,6.425,6.425,6.425
1991-10-01,6.4325,6.4325,6.4325,6.4325
1991-10-02,6.4295,6.4295,6.4295,6.4295
1991-10-03,6.418,6.418,6.418,6.418
1991-10-04,6.473,6.473,6.473,6.473
1991-10-07,6.4785,6.4785,6.4785,6.4785
1991-10-08,6.5385,6.5385,6.5385,6.5385
1991-10-09,6.514,6.514,6.514,6.514
1991-10-10,6.5305,6.5305,6.5305,6.5305
1991-10-11,6.507,6.507,6.507,6.507
1991-10-14,6.5315,6.5315,6.5315,6.5315
1991-10-15,6.596,6.596,6.596,6.596
1991-10-16,6.5655,6.5655,6.5655,6.5655
