Date,Open,High,Low,Close
1999-01-04,0.8516,0.8516,0.8412,0.8457
1999-01-05,0.8455,0.8508,0.8452,0.8493
1999-01-06,0.8493,0.8645,0.8485,0.8604
1999-01-07,0.8607,0.861,0.8525,0.8543
1999-01-08,0.8545,0.8666,0.8534,0.8638
1999-01-11,0.8619,0.8702,0.8615,0.8697
1999-01-12,0.8697,0.8741,0.8645,0.8648
1999-01-13,0.8649,0.8653,0.8484,0.8574
1999-01-14,0.857,0.861,0.8529,0.8547
1999-01-15,0.8548,0.8656,0.8513,0.8656
1999-01-18,0.8641,0.865,0.8607,0.8621
1999-01-19,0.8613,0.8647,0.8591,0.8617
1999-01-20,0.8617,0.8666,0.8612,0.8653
1999-01-21,0.8648,0.8662,0.861,0.8627
1999-01-22,0.8626,0.8649,0.8602,0.8632
1999-01-25,0.8632,0.8659,0.8614,0.8659
1999-01-26,0.8657,0.8657,0.863,0.8651
1999-01-27,0.865,0.8763,0.865,0.8754
1999-01-28,0.874,0.8785,0.872,0.8763
1999-01-29,0.8762,0.8816,0.8749,0.8805
1999-02-01,0.8794,0.8854,0.8776,0.8851
1999-02-02,0.8852,0.8857,0.8799,0.8819
1999-02-03,0.8818,0.885,0.8802,0.885
1999-02-04,0.8847,0.8886,0.882,0.8828
1999-02-05,0.8824,0.8885,0.8797,0.8882
1999-02-08,0.8884,0.8913,0.8824,0.8831
1999-02-09,0.8832,0.8862,0.8816,0.8847
1999-02-10,0.8847,0.887,0.8804,0.8829
1999-02-11,0.8826,0.8902,0.8824,0.8902
1999-02-12,0.891,0.8914,0.8856,0.8869
1999-02-15,0.8862,0.891,0.8852,0.891
1999-02-16,0.8913,0.8959,0.8898,0.8925
1999-02-17,0.8926,0.8926,0.8877,0.8893
1999-02-18,0.8894,0.8938,0.8868,0.8929
1999-02-19,0.8933,0.9043,0.8921,0.9029
1999-02-22,0.9033,0.9116,0.9033,0.9066
1999-02-23,0.9066,0.9141,0.9033,0.9083
1999-02-24,0.9083,0.9149,0.905,0.9091
1999-02-25,0.9091,0.9099,0.9033,0.9058
1999-02-26,0.9065,0.9126,0.9056,0.9069
1999-03-01,0.9071,0.9187,0.9063,0.9187
1999-03-02,0.9183,0.9206,0.9143,0.9147
1999-03-03,0.9147,0.9188,0.9139,0.9184
1999-03-04,0.919,0.9265,0.919,0.9253
1999-03-05,0.9257,0.927,0.9206,0.9238
1999-03-08,0.9234,0.9255,0.9155,0.9189
1999-03-09,0.9189,0.9207,0.9163,0.9187
1999-03-10,0.9189,0.919,0.9112,0.9136
1999-03-11,0.9138,0.9258,0.9051,0.9066
1999-03-12,0.9065,0.9178,0.9056,0.9168
1999-03-15,0.9168,0.9183,0.9126,0.9147
1999-03-16,0.9147,0.9246,0.9087,0.9094
1999-03-17,0.9097,0.914,0.9059,0.9096
1999-03-18,0.9094,0.9119,0.9038,0.9119
1999-03-19,0.9115,0.9191,0.9093,0.918
1999-03-22,0.918,0.9212,0.9162,0.9165
1999-03-23,0.9163,0.9203,0.9153,0.9165
1999-03-24,0.9161,0.9189,0.9124,0.9184
1999-03-25,0.9188,0.9234,0.9169,0.9224
1999-03-26,0.9232,0.9331,0.9203,0.9289
1999-03-29,0.9289,0.9359,0.927,0.932
1999-03-30,0.932,0.9346,0.9279,0.9334
1999-03-31,0.9328,0.9352,0.924,0.9289
1999-04-01,0.9282,0.9321,0.924,0.9276
1999-04-05,0.9275,0.9337,0.9265,0.9334
1999-04-06,0.9345,0.9345,0.9216,0.9229
1999-04-07,0.9225,0.9287,0.9221,0.9282
1999-04-08,0.9281,0.9321,0.919,0.9308
1999-04-09,0.9311,0.9318,0.925,0.9267
1999-04-12,0.9261,0.9261,0.9193,0.9248
1999-04-13,0.9242,0.9304,0.9234,0.9286
1999-04-14,0.9284,0.9288,0.9246,0.9259
1999-04-15,0.9264,0.935,0.9246,0.9343
1999-04-16,0.9343,0.9405,0.9333,0.9346
1999-04-19,0.9342,0.9438,0.9342,0.9383
1999-04-20,0.9381,0.9421,0.9359,0.9406
1999-04-21,0.9407,0.9452,0.9405,0.9425
1999-04-22,0.9429,0.9465,0.9385,0.9397
1999-04-23,0.9422,0.9434,0.9361,0.9422
1999-04-26,0.9428,0.9452,0.9411,0.9447
1999-04-27,0.9448,0.9448,0.9376,0.9377
1999-04-28,0.9373,0.9428,0.935,0.9405
1999-04-29,0.9403,0.9454,0.94,0.9446
1999-04-30,0.9436,0.9479,0.9406,0.9452
1999-05-03,0.9443,0.9475,0.9433,0.946
1999-05-04,0.9467,0.9467,0.9405,0.9414
1999-05-05,0.9413,0.9415,0.9289,0.9298
1999-05-06,0.9294,0.9309,0.9239,0.926
1999-05-07,0.9262,0.9308,0.9249,0.9297
1999-05-10,0.9293,0.9337,0.9236,0.9272
1999-05-11,0.927,0.934,0.9259,0.9334
1999-05-12,0.9334,0.9398,0.932,0.939
1999-05-13,0.9386,0.9429,0.9373,0.938
1999-05-14,0.9376,0.9397,0.931,0.938
1999-05-17,0.9386,0.9393,0.9358,0.9373
1999-05-18,0.9373,0.938,0.9339,0.937
1999-05-19,0.9368,0.9413,0.9357,0.938
1999-05-20,0.9386,0.9419,0.9341,0.9414
1999-05-21,0.9414,0.948,0.9407,0.9456
1999-05-24,0.945,0.9477,0.943,0.9439
1999-05-25,0.9439,0.9466,0.9394,0.9431
1999-05-26,0.9425,0.9579,0.9412,0.9579
1999-05-27,0.9564,0.9605,0.9536,0.9586
1999-05-28,0.9583,0.9613,0.9517,0.9606
1999-05-31,0.9612,0.9612,0.954,0.9603
1999-06-01,0.9594,0.9599,0.9548,0.9568
1999-06-02,0.9571,0.9682,0.9556,0.9657
1999-06-03,0.9657,0.9701,0.9602,0.9686
1999-06-04,0.9682,0.9723,0.9637,0.9641
1999-06-07,0.9642,0.9734,0.9642,0.972
1999-06-08,0.9719,0.9741,0.9557,0.956
1999-06-09,0.956,0.959,0.9537,0.9551
1999-06-10,0.9549,0.9579,0.9505,0.9543
1999-06-11,0.9537,0.9549,0.9472,0.9492
1999-06-14,0.9491,0.9605,0.9491,0.9596
1999-06-15,0.9597,0.9631,0.9582,0.9591
1999-06-16,0.9593,0.9716,0.958,0.9711
1999-06-17,0.9706,0.9715,0.9656,0.9676
1999-06-18,0.9674,0.9713,0.9596,0.9626
1999-06-21,0.9616,0.9698,0.9601,0.9664
1999-06-22,0.9664,0.9713,0.9657,0.9687
1999-06-23,0.9688,0.9732,0.9664,0.9681
1999-06-24,0.9681,0.97,0.9594,0.9596
1999-06-25,0.9606,0.9615,0.9545,0.9588
1999-06-28,0.9585,0.9667,0.9581,0.9663
1999-06-29,0.9663,0.9692,0.9645,0.9682
1999-06-30,0.9682,0.9715,0.9655,0.9673
1999-07-01,0.9669,0.9796,0.9626,0.9772
1999-07-02,0.9772,0.9791,0.9751,0.9751
1999-07-05,0.9768,0.979,0.975,0.979
1999-07-06,0.9785,0.9815,0.9748,0.9769
1999-07-07,0.977,0.9803,0.9738,0.979
1999-07-08,0.9785,0.9851,0.978,0.9788
1999-07-09,0.979,0.9838,0.9764,0.9827
1999-07-12,0.9827,0.9886,0.9806,0.9857
1999-07-13,0.9854,0.9889,0.9796,0.9838
1999-07-14,0.984,0.9873,0.9782,0.98
1999-07-15,0.9802,0.9816,0.9755,0.9813
1999-07-16,0.9814,0.9816,0.9775,0.9808
1999-07-19,0.9793,0.9877,0.969,0.9713
1999-07-20,0.9709,0.9724,0.9583,0.9608
1999-07-21,0.9606,0.9618,0.9482,0.949
1999-07-22,0.95,0.9544,0.9463,0.9511
1999-07-23,0.9512,0.9561,0.9484,0.9528
1999-07-26,0.9504,0.951,0.9328,0.939
1999-07-27,0.939,0.9424,0.9345,0.9415
1999-07-28,0.9418,0.944,0.9357,0.9376
1999-07-29,0.9377,0.9386,0.9312,0.9325
1999-07-30,0.9322,0.9363,0.9308,0.9348
1999-08-02,0.9346,0.9407,0.9341,0.9352
1999-08-03,0.9348,0.9406,0.9346,0.9362
1999-08-04,0.9363,0.9369,0.9265,0.9283
1999-08-05,0.9282,0.9304,0.9238,0.9299
1999-08-06,0.9299,0.9323,0.9268,0.9307
1999-08-09,0.9313,0.9361,0.9311,0.9333
1999-08-10,0.9334,0.9344,0.929,0.934
1999-08-11,0.9343,0.9394,0.9324,0.9388
1999-08-12,0.9385,0.9411,0.937,0.9374
1999-08-13,0.9373,0.9467,0.9349,0.9463
1999-08-16,0.9461,0.9479,0.9435,0.9452
1999-08-17,0.9456,0.953,0.9449,0.9513
1999-08-18,0.9509,0.9522,0.9471,0.9507
1999-08-19,0.9503,0.9556,0.9395,0.94
1999-08-20,0.9398,0.9407,0.9355,0.9376
1999-08-23,0.9373,0.9549,0.9367,0.953
1999-08-24,0.953,0.9601,0.9482,0.9496
1999-08-25,0.9494,0.9606,0.948,0.9601
1999-08-26,0.9602,0.9602,0.955,0.9583
1999-08-27,0.9582,0.9587,0.9537,0.9563
1999-08-30,0.9561,0.958,0.953,0.9555
1999-08-31,0.9556,0.9556,0.943,0.9458
1999-09-01,0.9458,0.947,0.94,0.9446
1999-09-02,0.945,0.9471,0.9322,0.9364
1999-09-03,0.9362,0.9441,0.9329,0.9422
