Date,Open,High,Low,Close
1991-01-02,0.5165,0.5188,0.5137,0.5141
1991-01-03,0.5143,0.5153,0.5126,0.5139
1991-01-04,0.5139,0.5177,0.5124,0.5167
1991-01-07,0.5191,0.5288,0.5189,0.5249
1991-01-08,0.5248,0.5277,0.524,0.5273
1991-01-09,0.5274,0.5288,0.5181,0.5263
1991-01-10,0.5263,0.5265,0.5202,0.5222
1991-01-11,0.5222,0.526,0.5218,0.5241
1991-01-14,0.5238,0.5304,0.5233,0.5251
1991-01-15,0.5252,0.5266,0.5233,0.5236
1991-01-16,0.5236,0.527,0.5234,0.5247
1991-01-17,0.5249,0.5266,0.5164,0.5175
1991-01-18,0.5179,0.5207,0.5101,0.5131
1991-01-21,0.5132,0.5169,0.5096,0.5109
1991-01-22,0.5118,0.5147,0.5103,0.5141
1991-01-23,0.5141,0.5157,0.5099,0.5099
1991-01-24,0.5099,0.5116,0.5081,0.5106
1991-01-25,0.5105,0.5122,0.508,0.511
1991-01-28,0.5111,0.5114,0.5081,0.5088
1991-01-29,0.5089,0.5111,0.5054,0.5102
1991-01-30,0.5102,0.5131,0.5084,0.5092
1991-01-31,0.5092,0.5107,0.508,0.5086
1991-02-01,0.5084,0.5097,0.5051,0.5063
1991-02-04,0.5058,0.5074,0.5035,0.5045
1991-02-05,0.5048,0.5053,0.5018,0.502
1991-02-06,0.502,0.5028,0.4988,0.499
1991-02-07,0.499,0.5025,0.499,0.5025
1991-02-08,0.5025,0.5043,0.502,0.503
1991-02-11,0.5028,0.503,0.4995,0.5003
1991-02-12,0.5005,0.5033,0.5003,0.5025
1991-02-13,0.5025,0.5051,0.5008,0.5035
1991-02-14,0.5038,0.5061,0.5035,0.5045
1991-02-15,0.5045,0.5084,0.504,0.5076
1991-02-18,0.5079,0.5105,0.5068,0.5092
1991-02-19,0.5092,0.5131,0.5089,0.5123
1991-02-20,0.5123,0.5147,0.5107,0.5126
1991-02-21,0.5126,0.5141,0.5097,0.511
1991-02-22,0.511,0.5152,0.5089,0.5149
1991-02-25,0.5157,0.5203,0.5144,0.5192
1991-02-26,0.5181,0.5227,0.5157,0.5208
1991-02-27,0.5203,0.5233,0.5195,0.5214
1991-02-28,0.5214,0.5241,0.5192,0.5227
1991-03-01,0.5227,0.5277,0.5227,0.5277
1991-03-04,0.5274,0.5291,0.5258,0.5263
1991-03-05,0.5263,0.5288,0.523,0.5283
