Date,Open,High,Low,Close
1991-01-02,7.8026,7.8111,7.795,7.8024
1991-01-03,7.8054,7.8116,7.7929,7.795
1991-01-04,7.792,7.8123,7.788,7.7961
1991-01-07,7.7951,7.8111,7.7891,7.7966
1991-01-08,7.7956,7.8111,7.7915,7.7999
1991-01-09,7.8028,7.8137,7.7967,7.8018
1991-01-10,7.7978,7.8162,7.7957,7.7966
1991-01-11,7.7986,7.8113,7.7925,7.8007
1991-01-14,7.7997,7.8139,7.7967,7.8022
1991-01-15,7.8011,7.8123,7.7971,7.8012
1991-01-16,7.8002,7.8145,7.7962,7.8
1991-01-17,7.7968,7.8128,7.7939,7.8032
1991-01-18,7.8042,7.8109,7.7932,7.7975
1991-01-21,7.8007,7.8133,7.7949,7.7967
1991-01-22,7.7987,7.8058,7.7925,7.7935
1991-01-23,7.8,7.8064,7.7871,7.795
1991-01-24,7.794,7.8052,7.7869,7.7912
1991-01-25,7.7932,7.8106,7.7863,7.793
1991-01-28,7.796,7.7985,7.7924,7.7935
1991-01-29,7.7964,7.807,7.7875,7.7902
1991-01-30,7.7932,7.805,7.7862,7.7951
1991-01-31,7.7931,7.8059,7.788,7.7952
1991-02-01,7.7962,7.8092,7.7901,7.795
1991-02-04,7.8,7.81,7.7884,7.7987
1991-02-05,7.7946,7.8116,7.7896,7.7947
1991-02-06,7.7977,7.8116,7.7907,7.8003
1991-02-07,7.8004,7.8135,7.7983,7.7984
1991-02-08,7.8014,7.8101,7.7944,7.797
1991-02-11,7.7926,7.8065,7.7917,7.796
1991-02-12,7.7995,7.8034,7.7915,7.793
1991-02-13,7.7894,7.7907,7.7876,7.7907
1991-02-14,7.7897,7.8013,7.7868,7.7886
1991-02-15,7.7906,7.8012,7.7837,7.7889
1991-02-18,7.7899,7.8062,7.7849,7.7933
1991-02-19,7.7933,7.8022,7.7863,7.7923
1991-02-20,7.7922,7.801,7.7873,7.7912
1991-02-21,7.7832,7.8008,7.7832,7.7923
1991-02-22,7.7953,7.8008,7.7873,7.7922
1991-02-25,7.7952,7.8025,7.7881,7.7932
1991-02-26,7.8012,7.8042,7.7849,7.7932
1991-02-27,7.7931,7.802,7.7882,7.7918
1991-02-28,7.7938,7.8044,7.7849,7.7914
1991-03-01,7.7874,7.7996,7.7845,7.795
1991-03-04,7.7889,7.8022,7.7881,7.792
1991-03-05,7.7943,7.803,7.7873,7.7915
1991-03-06,7.789,7.803,7.7859,7.7945
1991-03-07,7.7925,7.8021,7.7827,7.797
1991-03-08,7.7882,7.8058,7.7842,7.794
1991-03-11,7.7957,7.805,7.7947,7.805
1991-03-12,7.7955,7.8,7.7945,7.7953
1991-03-13,7.795,7.7966,7.7912,7.7915
1991-03-14,7.7935,7.7935,7.7926,7.793
1991-03-15,7.7928,7.793,7.792,7.793
1991-03-18,7.7927,7.794,7.7923,7.7923
1991-03-19,7.7927,7.7928,7.789,7.789
1991-03-20,7.79,7.79,7.7835,7.7835
1991-03-21,7.7845,7.7848,7.7835,7.7845
1991-03-22,7.784,7.7848,7.7832,7.7843
1991-03-25,7.784,7.787,7.7837,7.7865
1991-03-26,7.7872,7.792,7.7863,7.789
1991-03-27,7.792,7.7958,7.791,7.7935
1991-03-28,7.794,7.7965,7.794,7.795
1991-04-01,7.794,7.794,7.794,7.794
1991-04-02,7.7935,7.7935,7.791,7.7925
1991-04-03,7.7935,7.7975,7.7935,7.7965
1991-04-04,7.7965,7.7978,7.7965,7.797
1991-04-05,7.7955,7.7955,7.7955,7.7955
1991-04-08,7.7965,7.7975,7.794,7.794
1991-04-09,7.795,7.7953,7.794,7.7942
1991-04-10,7.7945,7.7945,7.7915,7.7915
1991-04-11,7.7915,7.7915,7.7907,7.7907
1991-04-12,7.7922,7.7922,7.7898,7.7898
1991-04-15,7.7905,7.7911,7.7895,7.7895
1991-04-16,7.79,7.7903,7.788,7.7885
1991-04-17,7.789,7.79,7.789,7.79
1991-04-18,7.79,7.7905,7.7895,7.7895
1991-04-19,7.7895,7.792,7.7895,7.792
1991-04-22,7.792,7.7935,7.792,7.7935
1991-04-23,7.793,7.7946,7.793,7.7946
1991-04-24,7.794,7.7942,7.7938,7.7938
1991-04-25,7.7943,7.7954,7.7943,7.795
1991-04-26,7.795,7.7958,7.795,7.795
1991-04-29,7.796,7.796,7.7945,7.7945
1991-04-30,7.795,7.795,7.7925,7.7925
1991-05-01,7.793,7.7933,7.7925,7.7925
1991-05-02,7.793,7.7939,7.793,7.7935
1991-05-03,7.794,7.7949,7.7929,7.7929
1991-05-06,7.7945,7.7945,7.7935,7.7935
1991-05-07,7.793,7.793,7.7919,7.7919
1991-05-08,7.7925,7.7925,7.7906,7.7906
1991-05-09,7.7905,7.7919,7.7905,7.7919
1991-05-10,7.7915,7.7924,7.7912,7.7912
1991-05-13,7.7925,7.7925,7.7915,7.7917
1991-05-14,7.792,7.792,7.791,7.791
1991-05-15,7.7915,7.7915,7.7903,7.7903
1991-05-16,7.7905,7.7908,7.7875,7.7885
1991-05-17,7.789,7.79,7.7888,7.7889
1991-05-20,7.789,7.79,7.789,7.79
1991-05-21,7.79,7.79,7.7885,7.7885
1991-05-22,7.789,7.789,7.7859,7.7859
1991-05-23,7.786,7.7885,7.7845,7.7845
1991-05-24,7.786,7.786,7.7545,7.7545
1991-05-27,7.759,7.759,7.739,7.743
1991-05-28,7.743,7.745,7.7395,7.7395
1991-05-29,7.7445,7.7445,7.726,7.727
1991-05-30,7.729,7.7335,7.7275,7.728
1991-05-31,7.728,7.736,7.728,7.736
1991-06-03,7.736,7.742,7.736,7.742
1991-06-04,7.741,7.747,7.741,7.7426
1991-06-05,7.743,7.743,7.739,7.739
1991-06-06,7.74,7.741,7.738,7.738
1991-06-07,7.7405,7.7405,7.7335,7.7335
1991-06-10,7.734,7.734,7.7265,7.7265
1991-06-11,7.727,7.727,7.721,7.725
1991-06-12,7.724,7.731,7.724,7.729
1991-06-13,7.7295,7.734,7.7295,7.73
1991-06-14,7.73,7.73,7.7245,7.7245
1991-06-17,7.724,7.724,7.7215,7.7215
1991-06-18,7.722,7.722,7.722,7.722
1991-06-19,7.725,7.725,7.7215,7.7215
1991-06-20,7.7225,7.7225,7.715,7.715
1991-06-21,7.716,7.7215,7.714,7.714
1991-06-24,7.716,7.726,7.716,7.7225
1991-06-25,7.726,7.75,7.7248,7.7415
1991-06-26,7.743,7.7445,7.7385,7.7385
1991-06-27,7.7425,7.7465,7.742,7.743
1991-06-28,7.7435,7.762,7.7435,7.762
1991-07-01,7.7665,7.768,7.765,7.765
1991-07-02,7.765,7.7735,7.765,7.771
1991-07-03,7.771,7.7735,7.7703,7.7703
1991-07-04,7.7705,7.7721,7.7661,7.7661
1991-07-05,7.766,7.7675,7.7635,7.7635
1991-07-08,7.765,7.7655,7.758,7.758
1991-07-09,7.7585,7.7585,7.7535,7.7535
1991-07-10,7.754,7.7611,7.754,7.7611
1991-07-11,7.7615,7.7655,7.7615,7.7655
1991-07-12,7.766,7.7668,7.7646,7.7646
1991-07-15,7.7635,7.765,7.7615,7.762
1991-07-16,7.7615,7.7625,7.757,7.7575
1991-07-17,7.757,7.769,7.7565,7.769
1991-07-18,7.7685,7.7685,7.7607,7.7607
1991-07-19,7.761,7.7616,7.757,7.757
1991-07-22,7.757,7.7595,7.7563,7.757
1991-07-23,7.7555,7.7565,7.7495,7.75
1991-07-24,7.75,7.7518,7.75,7.751
1991-07-25,7.7515,7.7525,7.7508,7.7508
1991-07-26,7.7518,7.752,7.7505,7.7505
1991-07-29,7.7515,7.7515,7.7492,7.7492
1991-07-30,7.75,7.756,7.75,7.7546
1991-07-31,7.754,7.761,7.754,7.7595
1991-08-01,7.759,7.7645,7.759,7.7635
1991-08-02,7.7645,7.767,7.76,7.7614
1991-08-05,7.761,7.7625,7.761,7.761
1991-08-06,7.7625,7.7625,7.7616,7.7616
1991-08-07,7.7618,7.7618,7.7612,7.7612
1991-08-08,7.7625,7.7649,7.7619,7.7619
1991-08-09,7.763,7.7635,7.7575,7.7625
1991-08-12,7.7619,7.7687,7.7619,7.7686
1991-08-13,7.767,7.769,7.7634,7.7634
1991-08-14,7.763,7.764,7.7606,7.7606
1991-08-15,7.7615,7.7616,7.7595,7.7595
1991-08-16,7.76,7.7653,7.76,7.764
1991-08-19,7.765,7.7697,7.765,7.767
1991-08-20,7.768,7.7683,7.7675,7.7675
1991-08-21,7.766,7.7679,7.7657,7.7657
