Date,Open,High,Low,Close
1993-06-15,89.88,90.02,89.72,89.88
1993-06-16,90.4,90.4,90.15,90.17
1993-06-17,90.6,90.6,90.37,90.54
1993-06-18,90.5,90.66,90.5,90.58
1993-06-21,91.33,91.51,91.3,91.3
1993-06-22,91.35,91.35,91.18,91.23
1993-06-23,91.78,91.78,91.63,91.71
1993-06-24,92.0,92.0,92.0,92.0
1993-06-25,91.85,92.28,91.28,92.28
1993-06-28,92.28,92.4,92.28,92.4
1993-06-29,91.95,91.95,91.7,91.75
1993-06-30,91.7,91.7,91.7,91.7
1993-07-01,92.03,92.1,92.03,92.07
1993-07-02,91.8,91.85,91.75,91.75
1993-07-05,91.75,91.9,90.8,91.7
1993-07-06,92.0,92.05,92.0,92.04
1993-07-07,91.9,92.02,91.9,91.95
1993-07-08,92.1,92.2,92.0,92.2
1993-07-09,94.85,95.05,94.7,95.03
1993-07-12,95.45,95.63,95.44,95.57
1993-07-13,95.65,95.65,95.22,95.22
1993-07-14,95.4,95.4,95.27,95.27
1993-07-15,95.12,95.16,95.12,95.16
1993-07-16,95.5,95.56,95.45,95.5
1993-07-19,95.3,95.3,95.15,95.2
1993-07-20,94.97,95.06,94.92,94.92
1993-07-21,94.92,95.95,94.75,94.75
1993-07-22,95.0,95.2,95.0,95.01
1993-07-23,95.35,95.45,95.27,95.3
1993-07-26,95.52,95.55,95.51,95.54
1993-07-27,95.45,95.53,95.31,95.31
1993-07-28,95.73,95.73,95.37,95.37
1993-07-29,95.45,95.6,95.45,95.51
1993-07-30,96.56,97.0,96.48,96.9
1993-08-02,96.15,96.35,96.15,96.35
1993-08-03,95.6,95.91,95.6,95.82
1993-08-04,95.73,95.75,95.45,95.45
1993-08-05,95.6,95.62,95.6,95.62
1993-08-06,95.65,95.65,95.65,95.65
1993-08-09,95.25,95.3,95.2,95.2
1993-08-10,95.4,95.45,95.23,95.25
1993-08-11,95.62,95.73,95.62,95.7
1993-08-12,95.68,96.0,95.68,95.93
1993-08-13,95.65,95.7,95.65,95.7
1993-08-16,95.68,95.68,95.35,95.5
1993-08-17,95.1,95.14,94.99,94.99
1993-08-18,95.14,95.35,95.12,95.35
1993-08-19,95.03,95.13,95.03,95.05
1993-08-20,95.05,95.05,95.05,95.05
1993-08-23,95.0,95.94,94.75,94.75
1993-08-24,95.1,95.21,94.85,95.06
1993-08-25,95.06,95.15,94.72,94.72
1993-08-26,95.05,95.21,94.8,94.8
1993-08-27,94.6,94.6,94.45,94.6
1993-08-30,94.35,94.6,94.35,94.6
1993-08-31,94.65,94.75,94.55,94.75
1993-09-01,94.45,94.45,94.45,94.45
1993-09-02,94.07,94.2,94.0,94.2
1993-09-03,94.02,94.05,93.9,93.9
1993-09-06,93.05,93.05,92.93,92.95
1993-09-07,93.05,93.05,92.83,92.83
1993-09-08,93.05,93.05,92.7,92.7
1993-09-09,92.86,93.05,92.6,92.6
1993-09-10,92.6,92.6,92.6,92.6
1993-09-13,92.4,92.45,92.4,92.4
1993-09-14,92.85,92.85,92.8,92.8
1993-09-15,92.15,92.15,92.15,92.15
1993-09-16,92.8,92.8,92.8,92.8
1993-09-17,92.7,92.88,92.57,92.86
1993-09-20,92.59,92.59,92.59,92.59
1993-09-21,92.6,93.81,92.34,93.48
1993-09-22,93.51,93.71,92.2,93.28
1993-09-23,93.28,94.09,93.16,93.98
1993-09-24,93.97,94.96,93.51,93.62
1993-09-27,93.36,93.52,92.43,93.33
1993-09-28,93.34,97.49,93.25,97.04
1993-09-29,97.05,97.11,96.6,96.88
1993-09-30,96.98,97.53,96.92,97.46
1993-10-01,97.47,97.91,97.29,97.42
1993-10-04,97.68,97.89,97.04,97.08
1993-10-05,97.07,97.22,96.84,97.2
1993-10-06,97.65,97.65,96.9,97.13
1993-10-07,97.1,97.2,96.88,97.11
1993-10-08,97.13,97.13,96.44,96.54
1993-10-11,96.52,96.66,96.33,96.62
1993-10-12,96.62,96.62,96.18,96.34
1993-10-13,96.32,96.61,96.28,96.51
1993-10-14,96.52,96.93,96.42,96.86
1993-10-15,96.84,97.14,96.83,97.0
1993-10-18,97.0,97.72,96.99,97.6
1993-10-19,97.62,97.78,97.55,97.73
1993-10-20,97.76,97.9,96.58,97.54
1993-10-21,97.53,98.56,97.49,98.52
1993-10-22,98.53,98.79,98.38,98.76
1993-10-25,98.79,99.05,98.42,99.02
1993-10-26,99.02,99.09,98.74,98.79
1993-10-27,98.79,98.87,98.64,98.83
1993-10-28,98.86,99.3,98.61,98.73
1993-10-29,98.75,99.08,98.6,99.08
1993-11-01,99.1,99.41,99.01,99.32
1993-11-02,99.35,99.6,99.13,99.5
1993-11-03,99.51,99.68,99.4,99.4
1993-11-04,99.43,99.65,99.31,99.56
1993-11-05,99.57,99.74,99.15,99.3
1993-11-08,99.25,99.41,98.96,99.04
1993-11-09,99.06,99.45,98.93,99.29
1993-11-10,99.29,99.35,99.05,99.05
1993-11-11,99.06,99.46,99.0,99.41
1993-11-12,99.41,99.83,99.14,99.24
1993-11-15,99.29,99.34,99.0,99.24
1993-11-16,99.27,99.75,99.26,99.64
1993-11-17,99.65,100.01,99.59,99.59
1993-11-18,99.6,100.08,99.6,99.99
1993-11-19,99.99,100.27,99.95,100.14
1993-11-22,100.15,100.26,99.78,99.91
1993-11-23,99.91,100.28,99.68,99.89
1993-11-24,99.88,99.94,99.71,99.84
1993-11-25,99.85,100.06,99.74,99.89
1993-11-26,99.89,100.21,99.88,100.18
1993-11-29,100.2,100.43,100.13,100.14
1993-11-30,100.15,100.17,100.09,100.09
1993-12-01,100.3,100.3,100.27,100.27
1993-12-02,100.48,100.48,100.4,100.4
1993-12-03,100.48,100.65,100.28,100.4
1993-12-06,100.34,100.34,99.78,99.84
1993-12-07,99.86,99.86,99.64,99.75
1993-12-08,99.76,99.95,99.52,99.71
1993-12-09,99.72,100.17,99.68,99.98
1993-12-10,99.93,99.95,99.64,99.75
1993-12-13,99.76,100.01,99.57,99.99
1993-12-14,99.99,100.18,99.91,100.14
1993-12-15,100.13,100.26,99.75,99.96
1993-12-16,99.97,100.14,99.9,99.97
1993-12-17,99.96,100.09,99.61,99.77
1993-12-20,99.78,100.32,99.76,100.16
1993-12-21,100.16,100.17,99.77,100.0
1993-12-24,99.62,99.62,99.62,99.62
1993-12-27,99.5,99.93,99.5,99.81
1993-12-28,99.8,99.86,99.68,99.76
1993-12-29,99.78,100.66,99.74,100.6
1993-12-30,100.6,100.61,100.46,100.57
1993-12-31,100.65,100.81,100.62,100.75
1994-01-03,100.78,101.78,100.78,101.46
1994-01-04,101.47,101.5,101.23,101.23
1994-01-05,101.22,101.5,101.16,101.35
1994-01-06,101.38,101.66,101.36,101.56
1994-01-07,101.56,101.67,101.11,101.15
1994-01-10,101.14,101.66,101.13,101.61
1994-01-11,101.6,101.97,101.58,101.92
1994-01-12,101.92,102.02,101.69,101.69
1994-01-13,101.71,102.06,101.65,101.91
1994-01-14,101.85,102.15,101.69,101.73
1994-01-17,101.84,102.05,101.75,101.87
1994-01-18,101.85,101.9,101.51,101.55
1994-01-19,101.55,101.67,101.44,101.55
1994-01-20,101.55,101.57,101.1,101.46
1994-01-21,101.48,101.76,101.32,101.64
1994-01-24,101.64,102.0,101.64,101.82
1994-01-25,102.22,102.22,101.7,101.7
1994-01-26,101.69,102.02,101.56,101.85
1994-01-27,101.82,103.35,101.28,102.33
1994-01-28,101.99,102.95,101.56,102.18
1994-01-31,102.25,102.9,101.88,102.03
1994-02-01,101.8,102.96,101.69,101.69
1994-02-02,101.75,101.79,101.55,101.55
1994-02-03,101.55,101.9,101.55,101.85
1994-02-04,101.89,102.15,101.14,101.93
1994-02-07,102.6,103.04,102.52,102.67
1994-02-08,102.6,102.8,102.59,102.7
1994-02-09,102.67,102.71,102.57,102.64
1994-02-10,102.65,102.98,101.8,102.85
1994-02-11,102.73,102.75,102.55,102.68
1994-02-14,102.85,102.85,102.32,102.42
1994-02-15,102.65,104.0,101.9,103.65
1994-02-16,103.66,103.8,103.48,103.5
1994-02-17,103.59,103.9,103.53,103.57
1994-02-18,103.53,103.74,101.69,101.69
1994-02-21,101.69,103.98,101.46,103.64
1994-02-22,103.58,103.9,103.58,103.8
1994-02-23,103.57,103.8,103.57,103.7
1994-02-24,103.8,104.01,103.8,103.87
1994-02-25,103.42,103.92,103.42,103.8
1994-02-28,103.8,103.84,103.24,103.72
1994-03-01,103.52,103.57,103.32,103.5
1994-03-02,103.45,103.65,103.1,103.23
1994-03-03,103.6,103.65,103.49,103.65
1994-03-04,103.67,103.83,103.47,103.55
1994-03-07,103.69,103.87,103.65,103.65
1994-03-08,103.63,103.75,103.5,103.55
1994-03-09,103.34,103.49,103.25,103.35
1994-03-10,102.81,103.31,102.36,103.25
1994-03-11,103.03,103.27,102.87,103.26
1994-03-14,103.41,103.41,103.35,103.35
1994-03-15,103.35,103.35,103.35,103.35
1994-03-16,103.54,103.66,103.41,103.48
1994-03-17,103.47,103.51,103.13,103.15
1994-03-18,103.18,103.64,103.18,103.64
1994-03-21,103.6,103.8,103.6,103.73
1994-03-22,103.4,103.51,103.25,103.39
1994-03-23,103.24,103.4,103.17,103.28
1994-03-24,103.14,103.29,102.86,102.86
1994-03-25,101.98,102.86,101.98,102.3
