Date,Open,High,Low,Close
1991-01-02,2.033,2.033,2.033,2.033
1991-01-03,2.024,2.024,2.024,2.024
1991-01-04,2.028,2.028,2.028,2.028
1991-01-07,2.042,2.042,2.042,2.042
1991-01-08,2.046,2.046,2.046,2.046
1991-01-09,2.046,2.046,2.046,2.046
1991-01-10,2.036,2.036,2.036,2.036
1991-01-11,2.04,2.04,2.04,2.04
1991-01-14,2.048,2.048,2.048,2.048
1991-01-15,2.043,2.043,2.043,2.043
1991-01-16,2.045,2.045,2.045,2.045
1991-01-17,2.032,2.032,2.032,2.032
1991-01-18,2.028,2.028,2.028,2.028
1991-01-21,2.023,2.023,2.023,2.023
1991-01-22,2.018,2.018,2.018,2.018
1991-01-23,2.025,2.025,2.025,2.025
1991-01-24,2.011,2.011,2.011,2.011
1991-01-25,2.015,2.015,2.015,2.015
1991-01-28,2.011,2.011,2.011,2.011
1991-01-29,2.009,2.009,2.009,2.009
1991-01-30,2.014,2.014,2.014,2.014
1991-01-31,2.012,2.012,2.012,2.012
1991-02-01,2.006,2.006,2.006,2.006
1991-02-04,2.002,2.002,2.002,2.002
1991-02-05,1.998,1.998,1.998,1.998
1991-02-06,1.998,1.998,1.998,1.998
1991-02-07,1.996,1.996,1.996,1.996
1991-02-08,1.998,1.998,1.998,1.998
1991-02-11,1.994,1.994,1.994,1.994
1991-02-12,1.994,1.994,1.994,1.994
1991-02-13,1.996,1.996,1.996,1.996
1991-02-14,1.999,1.999,1.999,1.999
1991-02-15,2.002,2.002,2.002,2.002
1991-02-18,2.007,2.007,2.007,2.007
1991-02-19,2.014,2.014,2.014,2.014
1991-02-20,2.014,2.014,2.014,2.014
1991-02-21,2.02,2.02,2.02,2.02
1991-02-22,2.017,2.017,2.017,2.017
1991-02-25,2.026,2.026,2.026,2.026
1991-02-26,2.031,2.031,2.031,2.031
1991-02-27,2.034,2.034,2.034,2.034
1991-03-01,2.039,2.039,2.039,2.039
1991-03-04,2.046,2.046,2.046,2.046
1991-03-05,2.042,2.042,2.042,2.042
1991-03-06,2.053,2.053,2.053,2.053
1991-03-07,2.048,2.048,2.048,2.048
1991-03-08,2.055,2.055,2.055,2.055
1991-03-11,2.192,2.192,2.192,2.192
1991-03-12,2.182,2.182,2.182,2.182
1991-03-13,2.183,2.183,2.183,2.183
1991-03-14,2.183,2.183,2.183,2.183
1991-03-15,2.192,2.192,2.192,2.192
1991-03-18,2.203,2.203,2.203,2.203
1991-03-19,2.218,2.218,2.218,2.218
1991-03-20,2.226,2.226,2.226,2.226
1991-03-21,2.215,2.215,2.215,2.215
1991-03-22,2.216,2.216,2.216,2.216
1991-03-25,2.23,2.23,2.23,2.23
1991-03-26,2.249,2.249,2.249,2.249
1991-03-27,2.243,2.243,2.243,2.243
1991-03-28,2.261,2.261,2.261,2.261
1991-04-02,2.246,2.246,2.246,2.246
1991-04-03,2.237,2.237,2.237,2.237
1991-04-04,2.242,2.242,2.242,2.242
1991-04-08,2.247,2.247,2.247,2.247
1991-04-09,2.244,2.244,2.244,2.244
1991-04-10,2.232,2.232,2.232,2.232
1991-04-11,2.241,2.241,2.241,2.241
1991-04-12,2.234,2.234,2.234,2.234
1991-04-15,2.235,2.235,2.235,2.235
1991-04-16,2.228,2.228,2.228,2.228
1991-04-17,2.23,2.23,2.23,2.23
1991-04-19,2.263,2.263,2.263,2.263
1991-04-22,2.283,2.283,2.283,2.283
1991-04-23,2.297,2.297,2.297,2.297
1991-04-24,2.29,2.29,2.29,2.29
1991-04-25,2.296,2.296,2.296,2.296
1991-04-26,2.3,2.3,2.3,2.3
1991-04-29,2.322,2.322,2.322,2.322
1991-04-30,2.3,2.3,2.3,2.3
1991-05-01,2.273,2.273,2.273,2.273
1991-05-02,2.28,2.28,2.28,2.28
1991-05-03,2.289,2.289,2.289,2.289
1991-05-06,2.315,2.315,2.315,2.315
