Date,Open,High,Low,Close
1991-01-02,18.077,18.077,18.077,18.077
1991-01-03,18.132,18.132,18.132,18.132
1991-01-04,18.105,18.105,18.105,18.105
1991-01-07,18.172,18.172,18.172,18.172
1991-01-08,18.212,18.212,18.212,18.212
1991-01-09,18.215,18.215,18.215,18.215
1991-01-10,18.282,18.282,18.282,18.282
1991-01-11,18.323,18.323,18.323,18.323
1991-01-14,18.382,18.382,18.382,18.382
1991-01-15,18.387,18.387,18.387,18.387
1991-01-16,18.394,18.394,18.394,18.394
1991-01-17,18.406,18.406,18.406,18.406
1991-01-18,18.44,18.44,18.44,18.44
1991-01-21,18.399,18.399,18.399,18.399
1991-01-22,18.426,18.426,18.426,18.426
1991-01-23,18.43,18.43,18.43,18.43
1991-01-24,18.426,18.426,18.426,18.426
1991-01-25,18.409,18.409,18.409,18.409
1991-01-28,18.46,18.46,18.46,18.46
1991-01-29,18.508,18.508,18.508,18.508
1991-01-30,18.634,18.634,18.634,18.634
1991-01-31,18.65,18.65,18.65,18.65
1991-02-01,18.615,18.615,18.615,18.615
1991-02-04,18.615,18.615,18.615,18.615
1991-02-05,18.61,18.61,18.61,18.61
1991-02-06,18.596,18.596,18.596,18.596
1991-02-07,18.664,18.664,18.664,18.664
1991-02-08,18.741,18.741,18.741,18.741
1991-02-11,18.709,18.709,18.709,18.709
1991-02-12,18.713,18.713,18.713,18.713
1991-02-13,18.756,18.756,18.756,18.756
1991-02-14,18.832,18.832,18.832,18.832
1991-02-15,18.875,18.875,18.875,18.875
1991-02-18,19.02,19.02,19.02,19.02
1991-02-19,19.139,19.139,19.139,19.139
1991-02-20,19.106,19.106,19.106,19.106
1991-02-21,19.08,19.08,19.08,19.08
1991-02-22,19.033,19.033,19.033,19.033
1991-02-25,19.059,19.059,19.059,19.059
1991-02-26,19.073,19.073,19.073,19.073
1991-02-27,19.08,19.08,19.08,19.08
1991-02-28,19.069,19.069,19.069,19.069
1991-03-01,19.088,19.088,19.088,19.088
1991-03-04,19.055,19.055,19.055,19.055
1991-03-05,19.044,19.044,19.044,19.044
1991-03-06,19.022,19.022,19.022,19.022
1991-03-07,19.059,19.059,19.059,19.059
1991-03-08,19.102,19.102,19.102,19.102
1991-03-11,19.115,19.115,19.115,19.115
1991-03-12,19.117,19.117,19.117,19.117
1991-03-13,19.148,19.148,19.148,19.148
1991-03-14,19.139,19.139,19.139,19.139
1991-03-15,19.146,19.146,19.146,19.146
1991-03-18,19.235,19.235,19.235,19.235
1991-03-19,19.314,19.314,19.314,19.314
1991-03-20,19.399,19.399,19.399,19.399
1991-03-21,19.299,19.299,19.299,19.299
1991-03-22,19.29,19.29,19.29,19.29
1991-03-25,19.391,19.391,19.391,19.391
1991-03-26,19.589,19.589,19.589,19.589
1991-03-27,19.589,19.589,19.589,19.589
1991-03-28,19.608,19.608,19.608,19.608
1991-04-01,19.604,19.604,19.604,19.604
1991-04-02,19.685,19.685,19.685,19.685
1991-04-03,19.656,19.656,19.656,19.656
1991-04-04,19.741,19.741,19.741,19.741
1991-04-05,19.732,19.732,19.732,19.732
1991-04-08,19.839,19.839,19.839,19.839
1991-04-09,19.743,19.743,19.743,19.743
1991-04-10,19.689,19.689,19.689,19.689
1991-04-11,19.861,19.861,19.861,19.861
1991-04-12,19.804,19.804,19.804,19.804
1991-04-15,19.79,19.79,19.79,19.79
1991-04-16,19.751,19.751,19.751,19.751
1991-04-17,19.751,19.751,19.751,19.751
1991-04-18,19.908,19.908,19.908,19.908
1991-04-19,20.101,20.101,20.101,20.101
1991-04-22,20.278,20.278,20.278,20.278
1991-04-23,20.263,20.263,20.263,20.263
1991-04-24,20.184,20.184,20.184,20.184
1991-04-25,20.247,20.247,20.247,20.247
1991-04-26,20.231,20.231,20.231,20.231
1991-04-29,20.28,20.28,20.28,20.28
1991-04-30,20.206,20.206,20.206,20.206
1991-05-01,20.218,20.218,20.218,20.218
1991-05-02,20.21,20.21,20.21,20.21
1991-05-03,20.196,20.196,20.196,20.196
1991-05-06,20.429,20.429,20.429,20.429
1991-05-07,20.383,20.383,20.383,20.383
1991-05-08,20.383,20.383,20.383,20.383
1991-05-09,20.488,20.488,20.488,20.488
1991-05-10,20.45,20.45,20.45,20.45
1991-05-13,20.488,20.488,20.488,20.488
1991-05-14,20.498,20.498,20.498,20.498
1991-05-15,20.471,20.471,20.471,20.471
1991-05-16,20.454,20.454,20.454,20.454
1991-05-17,20.528,20.528,20.528,20.528
1991-05-20,20.695,20.695,20.695,20.695
1991-05-21,20.704,20.704,20.704,20.704
1991-05-22,20.704,20.704,20.704,20.704
1991-05-23,20.794,20.794,20.794,20.794
1991-05-24,20.747,20.747,20.747,20.747
1991-05-27,20.747,20.747,20.747,20.747
1991-05-28,20.738,20.738,20.738,20.738
1991-05-29,20.683,20.683,20.683,20.683
1991-05-30,20.768,20.768,20.768,20.768
1991-05-31,20.903,20.903,20.903,20.903
1991-06-03,21.035,21.035,21.035,21.035
1991-06-04,21.037,21.037,21.037,21.037
1991-06-05,21.039,21.039,21.039,21.039
1991-06-06,21.035,21.035,21.035,21.035
1991-06-07,21.053,21.053,21.053,21.053
1991-06-10,21.031,21.031,21.031,21.031
1991-06-11,21.004,21.004,21.004,21.004
1991-06-12,20.907,20.907,20.907,20.907
1991-06-13,21.017,21.017,21.017,21.017
1991-06-14,21.079,21.079,21.079,21.079
1991-06-17,21.164,21.164,21.164,21.164
1991-06-18,21.186,21.186,21.186,21.186
1991-06-19,21.151,21.151,21.151,21.151
1991-06-20,21.11,21.11,21.11,21.11
1991-06-21,21.077,21.077,21.077,21.077
1991-06-24,21.173,21.173,21.173,21.173
1991-06-25,21.16,21.16,21.16,21.16
1991-06-26,21.119,21.119,21.119,21.119
1991-06-27,21.113,21.113,21.113,21.113
1991-06-28,21.195,21.195,21.195,21.195
1991-07-01,23.148,23.148,23.148,23.148
1991-07-02,23.156,23.156,23.156,23.156
1991-07-03,26.49,26.49,26.49,26.49
1991-07-04,26.079,26.079,26.079,26.079
1991-07-05,26.089,26.089,26.089,26.089
1991-07-08,25.88,25.88,25.88,25.88
1991-07-09,25.847,25.847,25.847,25.847
1991-07-10,25.873,25.873,25.873,25.873
1991-07-11,25.873,25.873,25.873,25.873
1991-07-12,25.907,25.907,25.907,25.907
1991-07-15,25.9,25.9,25.9,25.9
1991-07-16,25.971,25.971,25.971,25.971
1991-07-17,25.957,25.957,25.957,25.957
1991-07-18,25.857,25.857,25.857,25.857
1991-07-19,25.91,25.91,25.91,25.91
1991-07-22,25.747,25.747,25.747,25.747
1991-07-23,25.747,25.747,25.747,25.747
1991-07-24,25.773,25.773,25.773,25.773
1991-07-25,25.687,25.687,25.687,25.687
1991-07-26,25.74,25.74,25.74,25.74
1991-07-29,25.807,25.807,25.807,25.807
1991-07-30,25.753,25.753,25.753,25.753
1991-07-31,25.867,25.867,25.867,25.867
1991-08-01,25.787,25.787,25.787,25.787
1991-08-02,26.028,26.028,26.028,26.028
1991-08-05,25.78,25.78,25.78,25.78
1991-08-06,25.628,25.628,25.628,25.628
1991-08-07,25.641,25.641,25.641,25.641
1991-08-08,25.53,25.53,25.53,25.53
1991-08-09,25.75,25.75,25.75,25.75
1991-08-12,25.863,25.863,25.863,25.863
1991-08-13,25.86,25.86,25.86,25.86
1991-08-14,26.018,26.018,26.018,26.018
1991-08-15,26.018,26.018,26.018,26.018
1991-08-16,25.94,25.94,25.94,25.94
1991-08-19,26.062,26.062,26.062,26.062
1991-08-20,25.967,25.967,25.967,25.967
1991-08-21,25.984,25.984,25.984,25.984
1991-08-22,25.954,25.954,25.954,25.954
1991-08-23,25.94,25.94,25.94,25.94
1991-08-26,25.947,25.947,25.947,25.947
1991-08-27,25.934,25.934,25.934,25.934
1991-08-28,25.857,25.857,25.857,25.857
1991-08-29,25.74,25.74,25.74,25.74
1991-08-30,25.79,25.79,25.79,25.79
1991-09-02,25.873,25.873,25.873,25.873
1991-09-03,25.823,25.823,25.823,25.823
1991-09-04,25.823,25.823,25.823,25.823
1991-09-05,25.807,25.807,25.807,25.807
1991-09-06,25.84,25.84,25.84,25.84
1991-09-09,25.813,25.813,25.813,25.813
1991-09-10,25.773,25.773,25.773,25.773
1991-09-11,25.8,25.8,25.8,25.8
1991-09-12,25.813,25.813,25.813,25.813
1991-09-13,25.82,25.82,25.82,25.82
1991-09-16,25.877,25.877,25.877,25.877
1991-09-17,25.954,25.954,25.954,25.954
1991-09-18,25.92,25.92,25.92,25.92
1991-09-19,25.86,25.86,25.86,25.86
1991-09-20,25.947,25.947,25.947,25.947
1991-09-23,25.927,25.927,25.927,25.927
1991-09-24,25.853,25.853,25.853,25.853
1991-09-25,25.753,25.753,25.753,25.753
1991-09-26,25.84,25.84,25.84,25.84
1991-09-27,25.787,25.787,25.787,25.787
1991-09-30,25.787,25.787,25.787,25.787
1991-10-01,25.773,25.773,25.773,25.773
1991-10-02,25.773,25.773,25.773,25.773
1991-10-03,25.724,25.724,25.724,25.724
1991-10-04,25.75,25.75,25.75,25.75
1991-10-07,25.75,25.75,25.75,25.75
1991-10-08,25.813,25.813,25.813,25.813
1991-10-09,25.823,25.823,25.823,25.823
1991-10-10,25.807,25.807,25.807,25.807
1991-10-11,25.803,25.803,25.803,25.803
1991-10-14,25.8,25.8,25.8,25.8
1991-10-15,25.8,25.8,25.8,25.8
1991-10-16,25.847,25.847,25.847,25.847
1991-10-17,25.803,25.803,25.803,25.803
1991-10-18,25.84,25.84,25.84,25.84
1991-10-21,25.82,25.82,25.82,25.82
1991-10-22,25.816,25.816,25.816,25.816
1991-10-23,25.807,25.807,25.807,25.807
1991-10-24,25.82,25.82,25.82,25.82
1991-10-25,25.807,25.807,25.807,25.807
1991-10-28,25.81,25.81,25.81,25.81
1991-10-29,25.843,25.843,25.843,25.843
1991-10-30,25.913,25.913,25.913,25.913
1991-10-31,25.79,25.79,25.79,25.79
1991-11-01,25.81,25.81,25.81,25.81
