Date,Open,High,Low,Close
1991-01-02,714.5,714.5,714.5,714.5
1991-01-03,714.5,714.5,714.5,714.5
1991-01-04,714.5,714.5,714.5,714.5
1991-01-07,714.5,714.5,714.5,714.5
1991-01-08,714.5,714.5,714.5,714.5
1991-01-09,714.5,714.5,714.5,714.5
1991-01-10,714.5,714.5,714.5,714.5
1991-01-11,714.5,714.5,714.5,714.5
1991-01-14,717.0,717.0,717.0,717.0
1991-01-15,717.0,717.0,717.0,717.0
1991-01-16,717.0,717.0,717.0,717.0
1991-01-17,717.0,717.0,717.0,717.0
1991-01-18,717.0,717.0,717.0,717.0
1991-01-21,717.0,717.0,717.0,717.0
1991-01-22,717.0,717.0,717.0,717.0
1991-01-23,717.0,717.0,717.0,717.0
1991-01-24,717.0,717.0,717.0,717.0
1991-01-25,717.0,717.0,717.0,717.0
1991-01-28,717.0,717.0,717.0,717.0
1991-01-29,717.0,717.0,717.0,717.0
1991-01-30,717.0,717.0,717.0,717.0
1991-01-31,717.0,717.0,717.0,717.0
1991-02-01,717.0,717.0,717.0,717.0
1991-02-04,717.0,717.0,717.0,717.0
1991-02-05,717.0,717.0,717.0,717.0
1991-02-06,717.0,717.0,717.0,717.0
1991-02-07,717.0,717.0,717.0,717.0
1991-02-08,717.0,717.0,717.0,717.0
1991-02-11,717.0,717.0,717.0,717.0
1991-02-12,717.0,717.0,717.0,717.0
1991-02-13,717.0,717.0,717.0,717.0
1991-02-14,717.0,717.0,717.0,717.0
1991-02-15,717.0,717.0,717.0,717.0
1991-02-18,717.0,717.0,717.0,717.0
1991-02-19,717.0,717.0,717.0,717.0
1991-02-20,717.0,717.0,717.0,717.0
1991-02-21,717.0,717.0,717.0,717.0
1991-02-22,717.0,717.0,717.0,717.0
1991-02-25,717.0,717.0,717.0,717.0
1991-02-26,717.0,717.0,717.0,717.0
1991-02-27,717.0,717.0,717.0,717.0
1991-02-28,717.0,717.0,717.0,717.0
1991-03-01,717.0,717.0,717.0,717.0
1991-03-04,717.0,717.0,717.0,717.0
1991-03-05,717.0,717.0,717.0,717.0
1991-03-06,717.0,717.0,717.0,717.0
1991-03-07,717.0,717.0,717.0,717.0
1991-03-08,717.0,717.0,717.0,717.0
1991-03-11,717.0,717.0,717.0,717.0
1991-03-12,717.0,717.0,717.0,717.0
1991-03-13,717.0,717.0,717.0,717.0
1991-03-14,717.0,717.0,717.0,717.0
1991-03-15,717.0,717.0,717.0,717.0
1991-03-18,725.8,725.8,725.8,725.8
1991-03-19,717.0,717.0,717.0,717.0
1991-03-20,717.0,717.0,717.0,717.0
1991-03-21,717.0,717.0,717.0,717.0
1991-03-22,717.0,717.0,717.0,717.0
1991-03-25,725.8,725.8,725.8,725.8
1991-03-26,725.8,725.8,725.8,725.8
1991-03-27,725.8,725.8,725.8,725.8
1991-03-28,725.8,725.8,725.8,725.8
1991-04-01,725.8,725.8,725.8,725.8
1991-04-02,725.8,725.8,725.8,725.8
1991-04-03,725.8,725.8,725.8,725.8
1991-04-04,725.8,725.8,725.8,725.8
1991-04-05,725.8,725.8,725.8,725.8
1991-04-08,711.7,711.7,711.7,711.7
1991-04-09,711.7,711.7,711.7,711.7
1991-04-10,711.7,711.7,711.7,711.7
1991-04-11,711.7,711.7,711.7,711.7
1991-04-12,711.7,711.7,711.7,711.7
1991-04-15,725.8,725.8,725.8,725.8
1991-04-16,725.8,725.8,725.8,725.8
1991-04-17,725.8,725.8,725.8,725.8
1991-04-18,725.8,725.8,725.8,725.8
1991-04-19,725.8,725.8,725.8,725.8
1991-04-22,725.8,725.8,725.8,725.8
1991-04-23,725.8,725.8,725.8,725.8
1991-04-24,725.8,725.8,725.8,725.8
1991-04-25,725.8,725.8,725.8,725.8
1991-04-26,725.8,725.8,725.8,725.8
1991-04-29,725.8,725.8,725.8,725.8
1991-04-30,725.8,725.8,725.8,725.8
1991-05-01,725.8,725.8,725.8,725.8
1991-05-02,725.8,725.8,725.8,725.8
1991-05-03,725.8,725.8,725.8,725.8
1991-05-06,724.4,724.4,724.4,724.4
1991-05-07,724.4,724.4,724.4,724.4
1991-05-08,724.4,724.4,724.4,724.4
1991-05-09,724.4,724.4,724.4,724.4
1991-05-10,724.4,724.4,724.4,724.4
1991-05-13,724.4,724.4,724.4,724.4
1991-05-14,724.4,724.4,724.4,724.4
1991-05-15,724.4,724.4,724.4,724.4
1991-05-16,724.4,724.4,724.4,724.4
1991-05-17,724.4,724.4,724.4,724.4
1991-05-20,724.4,724.4,724.4,724.4
1991-05-21,724.4,724.4,724.4,724.4
1991-05-22,724.4,724.4,724.4,724.4
1991-05-23,724.4,724.4,724.4,724.4
1991-05-24,724.4,724.4,724.4,724.4
1991-05-27,724.4,724.4,724.4,724.4
1991-05-28,724.4,724.4,724.4,724.4
1991-05-29,724.4,724.4,724.4,724.4
1991-05-30,724.4,724.4,724.4,724.4
1991-05-31,724.4,724.4,724.4,724.4
1991-06-03,724.3,724.3,724.3,724.3
1991-06-04,724.3,724.3,724.3,724.3
1991-06-05,724.3,724.3,724.3,724.3
1991-06-06,724.3,724.3,724.3,724.3
1991-06-07,724.3,724.3,724.3,724.3
1991-06-10,724.4,724.4,724.4,724.4
1991-06-11,724.4,724.4,724.4,724.4
1991-06-12,724.4,724.4,724.4,724.4
1991-06-13,724.4,724.4,724.4,724.4
1991-06-14,724.4,724.4,724.4,724.4
1991-06-17,724.4,724.4,724.4,724.4
1991-06-18,724.4,724.4,724.4,724.4
1991-06-19,724.4,724.4,724.4,724.4
1991-06-20,724.4,724.4,724.4,724.4
1991-06-21,724.4,724.4,724.4,724.4
1991-06-24,724.3,724.3,724.3,724.3
1991-06-25,724.3,724.3,724.3,724.3
1991-06-26,724.3,724.3,724.3,724.3
1991-06-27,724.3,724.3,724.3,724.3
1991-06-28,724.3,724.3,724.3,724.3
1991-07-01,724.4,724.4,724.4,724.4
1991-07-02,724.4,724.4,724.4,724.4
1991-07-03,724.4,724.4,724.4,724.4
1991-07-04,724.4,724.4,724.4,724.4
1991-07-05,724.4,724.4,724.4,724.4
1991-07-08,724.4,724.4,724.4,724.4
1991-07-09,724.4,724.4,724.4,724.4
1991-07-10,724.4,724.4,724.4,724.4
1991-07-11,724.4,724.4,724.4,724.4
1991-07-12,724.4,724.4,724.4,724.4
1991-07-15,731.7,731.7,731.7,731.7
1991-07-16,731.7,731.7,731.7,731.7
1991-07-17,731.7,731.7,731.7,731.7
1991-07-18,731.7,731.7,731.7,731.7
1991-07-19,731.7,731.7,731.7,731.7
1991-07-22,731.7,731.7,731.7,731.7
1991-07-23,731.7,731.7,731.7,731.7
1991-07-24,731.7,731.7,731.7,731.7
1991-07-25,731.7,731.7,731.7,731.7
1991-07-26,731.7,731.7,731.7,731.7
1991-07-29,731.7,731.7,731.7,731.7
1991-07-30,731.7,731.7,731.7,731.7
1991-07-31,731.7,731.7,731.7,731.7
1991-08-01,731.7,731.7,731.7,731.7
1991-08-02,731.7,731.7,731.7,731.7
1991-08-05,727.9,727.9,727.9,727.9
