Date,Open,High,Low,Close
1991-01-02,5.875,5.876,5.826,5.8395
1991-01-03,5.854,5.862,5.8385,5.8515
1991-01-04,5.855,5.9055,5.8365,5.885
1991-01-07,5.963,6.0275,5.957,5.9995
1991-01-08,6.003,6.034,5.987,6.03
1991-01-09,6.032,6.045,5.9125,6.014
1991-01-10,5.965,5.9965,5.9625,5.9665
1991-01-11,5.9655,6.015,5.9655,5.973
1991-01-14,6.058,6.058,6.006,6.0265
1991-01-15,6.0355,6.04,6.0145,6.02
1991-01-16,6.0215,6.0375,6.012,6.0355
1991-01-17,6.0335,6.0335,5.8775,5.8865
1991-01-18,5.8875,5.9325,5.8385,5.855
1991-01-21,5.897,5.897,5.83,5.845
1991-01-22,5.8325,5.861,5.809,5.8515
1991-01-23,5.8575,5.88,5.795,5.7985
1991-01-24,5.8005,5.8215,5.7905,5.814
1991-01-25,5.825,5.843,5.806,5.8325
1991-01-28,5.829,5.832,5.814,5.824
1991-01-29,5.8,5.853,5.7965,5.845
1991-01-30,5.834,5.865,5.8125,5.8165
1991-01-31,5.8185,5.83,5.77,5.78
1991-02-01,5.798,5.798,5.7355,5.7435
1991-02-04,5.75,5.7625,5.708,5.7295
1991-02-05,5.739,5.74,5.7055,5.7075
1991-02-06,5.708,5.714,5.665,5.669
1991-02-07,5.69,5.701,5.666,5.697
1991-02-08,5.702,5.7275,5.7005,5.702
1991-02-11,5.7075,5.7075,5.6595,5.675
1991-02-12,5.673,5.7105,5.67,5.7005
1991-02-13,5.6985,5.743,5.696,5.729
1991-02-14,5.731,5.757,5.7225,5.7425
1991-02-15,5.74,5.7905,5.7375,5.7825
1991-02-18,5.778,5.806,5.775,5.805
1991-02-19,5.804,5.85,5.804,5.842
1991-02-20,5.841,5.8655,5.82,5.852
1991-02-21,5.86,5.86,5.813,5.833
1991-02-22,5.8075,5.897,5.805,5.891
1991-02-25,5.905,5.9575,5.895,5.942
1991-02-26,5.942,5.976,5.895,5.957
1991-02-27,5.959,5.971,5.928,5.948
1991-02-28,5.941,5.975,5.925,5.9635
1991-03-01,5.996,6.0275,5.985,6.0255
1991-03-04,6.035,6.035,5.9905,5.9965
1991-03-05,5.995,6.0395,5.9625,6.031
1991-03-06,6.041,6.059,6.0065,6.0085
1991-03-07,6.015,6.061,6.0125,6.0475
1991-03-08,6.0725,6.13,6.0625,6.1285
1991-03-11,6.192,6.192,6.135,6.18
1991-03-12,6.175,6.175,6.12,6.1465
1991-03-13,6.161,6.1775,6.142,6.152
1991-03-14,6.154,6.206,6.1375,6.198
1991-03-15,6.195,6.2955,6.191,6.288
1991-03-18,6.265,6.3975,6.26,6.374
1991-03-19,6.371,6.5175,6.328,6.4295
1991-03-20,6.4315,6.491,6.399,6.4065
1991-03-21,6.385,6.3965,6.345,6.377
1991-03-22,6.3735,6.4385,6.358,6.4385
1991-03-25,6.446,6.5785,6.446,6.57
1991-03-26,6.5715,6.6125,6.559,6.559
