Date,Open,High,Low,Close
1991-01-02,1.7002,1.7078,1.6869,1.6917
1991-01-03,1.6917,1.6963,1.6849,1.6963
1991-01-04,1.6845,1.6956,1.6828,1.6953
1991-01-07,1.6948,1.7007,1.6892,1.6913
1991-01-08,1.6911,1.6951,1.6872,1.6892
1991-01-09,1.6908,1.6973,1.6904,1.6959
1991-01-10,1.6957,1.6978,1.6882,1.6893
1991-01-11,1.6894,1.6898,1.678,1.6823
1991-01-14,1.6821,1.6906,1.6816,1.6827
1991-01-15,1.6851,1.6903,1.6767,1.6903
1991-01-16,1.676,1.6821,1.6722,1.675
1991-01-17,1.6797,1.6878,1.6762,1.6866
1991-01-18,1.6862,1.6879,1.6807,1.6849
1991-01-21,1.6836,1.6851,1.6779,1.6807
1991-01-22,1.6812,1.6821,1.6722,1.6807
1991-01-23,1.6773,1.6821,1.6721,1.6721
1991-01-24,1.6719,1.6779,1.6715,1.6767
1991-01-25,1.6772,1.6793,1.6732,1.6764
1991-01-28,1.6779,1.6809,1.6714,1.674
1991-01-29,1.6739,1.6765,1.6647,1.6694
1991-01-30,1.6688,1.6715,1.6636,1.6691
1991-01-31,1.6684,1.675,1.6669,1.6693
1991-02-01,1.6701,1.6736,1.6681,1.6734
1991-02-04,1.6695,1.6708,1.6636,1.6656
1991-02-05,1.6663,1.6689,1.6622,1.6676
1991-02-06,1.6682,1.6722,1.662,1.663
1991-02-07,1.6615,1.6656,1.6592,1.6593
1991-02-08,1.6599,1.6683,1.6568,1.6683
1991-02-11,1.6667,1.67,1.6611,1.6611
1991-02-12,1.6647,1.6647,1.657,1.657
1991-02-13,1.6577,1.6599,1.6461,1.6481
1991-02-14,1.6479,1.6507,1.6448,1.6492
1991-02-15,1.6495,1.6543,1.6474,1.6521
1991-02-18,1.653,1.6545,1.65,1.6503
1991-02-19,1.651,1.6565,1.6486,1.656
1991-02-20,1.6552,1.6722,1.6541,1.6694
1991-02-21,1.6717,1.6764,1.6665,1.6665
1991-02-22,1.6662,1.6779,1.6637,1.6757
1991-02-25,1.6751,1.6781,1.6708,1.6757
1991-02-26,1.6746,1.6767,1.6651,1.6687
1991-02-27,1.6687,1.6727,1.668,1.6704
1991-02-28,1.669,1.6724,1.6668,1.6682
1991-03-01,1.6681,1.6704,1.6639,1.6639
1991-03-04,1.6626,1.675,1.6601,1.6736
1991-03-05,1.6676,1.6772,1.6673,1.6764
1991-03-06,1.685,1.6896,1.6811,1.6849
1991-03-07,1.6856,1.6906,1.6812,1.6878
1991-03-08,1.685,1.692,1.6736,1.6779
1991-03-11,1.677,1.6878,1.6708,1.6708
1991-03-12,1.6714,1.6764,1.6714,1.6736
1991-03-13,1.6764,1.6849,1.675,1.6835
1991-03-14,1.6827,1.6835,1.675,1.6764
1991-03-15,1.6731,1.6821,1.6722,1.6798
1991-03-18,1.6827,1.6878,1.6827,1.6863
1991-03-19,1.6855,1.6855,1.6801,1.6835
1991-03-20,1.6807,1.6812,1.677,1.6779
1991-03-21,1.677,1.6821,1.6753,1.6779
1991-03-22,1.6764,1.6821,1.6764,1.6807
1991-03-25,1.6807,1.7021,1.6798,1.7021
1991-03-26,1.6984,1.7153,1.6984,1.7065
1991-03-27,1.7007,1.7079,1.6975,1.7074
1991-03-28,1.7036,1.7079,1.703,1.7065
1991-04-01,1.7021,1.7021,1.7007,1.7007
1991-04-02,1.6987,1.6998,1.692,1.692
1991-04-03,1.692,1.6943,1.6863,1.6892
1991-04-04,1.6866,1.6892,1.6863,1.6863
1991-04-05,1.6892,1.6892,1.6835,1.6835
1991-04-08,1.6889,1.6906,1.6863,1.6892
1991-04-09,1.6892,1.6978,1.6883,1.6906
1991-04-10,1.6915,1.6972,1.69,1.6941
1991-04-11,1.6958,1.6978,1.692,1.6935
1991-04-12,1.6949,1.7007,1.6941,1.6975
1991-04-15,1.6987,1.6992,1.6966,1.6969
1991-04-16,1.6952,1.6952,1.6883,1.6883
1991-04-17,1.692,1.6949,1.6915,1.6929
1991-04-18,1.6915,1.6978,1.6915,1.6978
1991-04-19,1.6961,1.7021,1.6961,1.7007
1991-04-22,1.7042,1.7109,1.703,1.7109
1991-04-23,1.7071,1.7074,1.6987,1.6992
1991-04-24,1.6978,1.7197,1.6978,1.7191
1991-04-25,1.7191,1.7191,1.7059,1.7109
1991-04-26,1.7062,1.7138,1.705,1.7094
1991-04-29,1.7065,1.7138,1.7065,1.7123
1991-04-30,1.7036,1.7037,1.6964,1.6964
1991-05-01,1.6949,1.6987,1.6949,1.6987
1991-05-02,1.6978,1.7109,1.6978,1.7109
1991-05-03,1.7094,1.7094,1.7065,1.7065
1991-05-06,1.705,1.705,1.6978,1.6978
1991-05-07,1.6972,1.7003,1.6972,1.6978
1991-05-08,1.6987,1.6987,1.6949,1.6949
1991-05-09,1.6955,1.6978,1.6926,1.6943
1991-05-10,1.6949,1.6969,1.6949,1.6949
1991-05-13,1.6955,1.7007,1.6955,1.7007
1991-05-14,1.6998,1.7022,1.6978,1.6978
1991-05-15,1.6978,1.698,1.6955,1.6955
1991-05-16,1.692,1.6926,1.6906,1.6906
1991-05-17,1.6912,1.6923,1.6906,1.6906
1991-05-20,1.6935,1.6993,1.6935,1.6978
1991-05-21,1.6978,1.703,1.6969,1.7001
1991-05-22,1.6987,1.7079,1.6987,1.7079
1991-05-23,1.7071,1.7242,1.7071,1.7212
1991-05-24,1.7191,1.7227,1.7179,1.7182
1991-05-27,1.7153,1.7188,1.7135,1.7167
1991-05-28,1.7138,1.7138,1.7109,1.7109
1991-05-29,1.7109,1.7141,1.71,1.7109
1991-05-30,1.7109,1.7159,1.7109,1.7159
1991-05-31,1.7156,1.7156,1.7109,1.7109
1991-06-03,1.7159,1.7195,1.7159,1.7182
1991-06-04,1.7176,1.7176,1.7123,1.7123
1991-06-05,1.712,1.717,1.712,1.7147
1991-06-06,1.7141,1.7171,1.7141,1.7167
1991-06-07,1.7203,1.7227,1.7197,1.7218
1991-06-10,1.7247,1.7325,1.7247,1.7322
1991-06-11,1.7325,1.7376,1.7325,1.7361
1991-06-12,1.7406,1.7452,1.7406,1.7452
1991-06-13,1.7449,1.7486,1.7449,1.7467
1991-06-14,1.7479,1.7495,1.7422,1.7452
1991-06-17,1.7422,1.7422,1.7346,1.7346
1991-06-18,1.7334,1.7385,1.7334,1.7385
1991-06-19,1.7391,1.7397,1.7361,1.7361
1991-06-20,1.7331,1.7346,1.7331,1.7346
1991-06-21,1.7328,1.7355,1.7328,1.7346
1991-06-24,1.7358,1.7401,1.7358,1.7361
1991-06-25,1.7358,1.7373,1.7358,1.7361
1991-06-26,1.7346,1.7346,1.7325,1.7325
