Date,Open,High,Low,Close
1991-01-02,27.11,27.11,27.11,27.11
1991-01-03,27.1,27.1,27.1,27.1
1991-01-04,27.1,27.1,27.1,27.1
1991-01-07,27.11,27.11,27.11,27.11
1991-01-08,27.13,27.13,27.13,27.13
1991-01-09,27.13,27.13,27.13,27.13
1991-01-10,27.13,27.13,27.13,27.13
1991-01-11,27.17,27.17,27.17,27.17
1991-01-14,27.25,27.25,27.25,27.25
1991-01-15,27.36,27.36,27.36,27.36
1991-01-16,27.36,27.36,27.36,27.36
1991-01-17,27.26,27.26,27.26,27.26
1991-01-18,27.22,27.22,27.22,27.22
1991-01-21,27.24,27.24,27.24,27.24
1991-01-22,27.23,27.23,27.23,27.23
1991-01-23,27.21,27.21,27.21,27.21
1991-01-24,27.14,27.14,27.14,27.14
1991-01-25,27.1,27.1,27.1,27.1
1991-01-28,27.12,27.12,27.12,27.12
1991-01-29,27.1,27.1,27.1,27.1
1991-01-30,27.08,27.08,27.08,27.08
1991-01-31,27.09,27.09,27.09,27.09
1991-02-01,27.1,27.1,27.1,27.1
1991-02-04,27.05,27.05,27.05,27.05
1991-02-05,27.1,27.1,27.1,27.1
1991-02-06,27.1,27.1,27.1,27.1
1991-02-07,27.1,27.1,27.1,27.1
1991-02-08,27.09,27.09,27.09,27.09
1991-02-11,27.1,27.1,27.1,27.1
1991-02-12,27.13,27.13,27.13,27.13
1991-02-13,27.1,27.1,27.1,27.1
1991-02-14,27.1,27.1,27.1,27.1
1991-02-15,27.1,27.1,27.1,27.1
1991-02-18,27.1,27.1,27.1,27.1
1991-02-19,27.11,27.11,27.11,27.11
1991-02-20,27.1,27.1,27.1,27.1
1991-02-21,27.1,27.1,27.1,27.1
1991-02-22,27.1,27.1,27.1,27.1
1991-02-25,27.16,27.16,27.16,27.16
1991-02-26,27.19,27.19,27.19,27.19
1991-02-27,27.16,27.16,27.16,27.16
1991-02-28,27.16,27.16,27.16,27.16
1991-03-01,27.18,27.18,27.18,27.18
1991-03-04,27.19,27.19,27.19,27.19
1991-03-05,27.18,27.18,27.18,27.18
1991-03-06,27.24,27.24,27.24,27.24
1991-03-07,27.23,27.23,27.23,27.23
1991-03-08,27.25,27.25,27.25,27.25
1991-03-11,27.28,27.28,27.28,27.28
1991-03-12,27.26,27.26,27.26,27.26
1991-03-13,27.27,27.27,27.27,27.27
1991-03-14,27.25,27.25,27.25,27.25
1991-03-15,27.22,27.22,27.22,27.22
1991-03-18,27.25,27.25,27.25,27.25
1991-03-19,27.26,27.26,27.26,27.26
1991-03-20,27.29,27.29,27.29,27.29
1991-03-21,27.27,27.27,27.27,27.27
1991-03-22,27.22,27.22,27.22,27.22
1991-03-25,27.31,27.31,27.31,27.31
1991-03-26,27.36,27.36,27.36,27.36
1991-03-27,27.37,27.37,27.37,27.37
1991-03-28,27.47,27.47,27.47,27.47
1991-04-01,27.43,27.43,27.43,27.43
1991-04-02,27.42,27.42,27.42,27.42
1991-04-03,27.41,27.41,27.41,27.41
1991-04-04,27.41,27.41,27.41,27.41
1991-04-05,27.41,27.41,27.41,27.41
1991-04-08,27.35,27.35,27.35,27.35
1991-04-09,27.21,27.21,27.21,27.21
1991-04-10,27.15,27.15,27.15,27.15
1991-04-11,27.25,27.25,27.25,27.25
1991-04-12,27.28,27.28,27.28,27.28
1991-04-15,27.24,27.24,27.24,27.24
1991-04-16,27.26,27.26,27.26,27.26
1991-04-17,27.26,27.26,27.26,27.26
1991-04-18,27.2,27.2,27.2,27.2
1991-04-19,27.38,27.38,27.38,27.38
1991-04-22,27.42,27.42,27.42,27.42
1991-04-23,27.36,27.36,27.36,27.36
1991-04-24,27.29,27.29,27.29,27.29
1991-04-25,27.35,27.35,27.35,27.35
1991-04-26,27.35,27.35,27.35,27.35
1991-04-29,27.38,27.38,27.38,27.38
1991-04-30,27.34,27.34,27.34,27.34
1991-05-01,27.27,27.27,27.27,27.27
1991-05-02,27.31,27.31,27.31,27.31
1991-05-03,27.3,27.3,27.3,27.3
1991-05-06,27.31,27.31,27.31,27.31
1991-05-07,27.28,27.28,27.28,27.28
1991-05-08,27.33,27.33,27.33,27.33
1991-05-09,27.33,27.33,27.33,27.33
1991-05-10,27.32,27.32,27.32,27.32
1991-05-13,27.32,27.32,27.32,27.32
1991-05-14,27.3,27.3,27.3,27.3
1991-05-15,27.31,27.31,27.31,27.31
1991-05-16,27.28,27.28,27.28,27.28
1991-05-17,27.26,27.26,27.26,27.26
1991-05-20,27.28,27.28,27.28,27.28
1991-05-21,27.2,27.2,27.2,27.2
1991-05-22,27.26,27.26,27.26,27.26
1991-05-23,27.27,27.27,27.27,27.27
1991-05-24,27.24,27.24,27.24,27.24
1991-05-27,27.2,27.2,27.2,27.2
1991-05-28,27.24,27.24,27.24,27.24
1991-05-29,27.22,27.22,27.22,27.22
1991-05-30,27.15,27.15,27.15,27.15
1991-05-31,27.18,27.18,27.18,27.18
1991-06-03,27.2,27.2,27.2,27.2
1991-06-04,27.16,27.16,27.16,27.16
1991-06-05,27.16,27.16,27.16,27.16
1991-06-06,27.15,27.15,27.15,27.15
1991-06-07,27.16,27.16,27.16,27.16
1991-06-10,27.18,27.18,27.18,27.18
1991-06-11,27.18,27.18,27.18,27.18
