Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
2012-04-19,84.94,85.02,83.91,84.24,14661.0,201206.0,12656.0
2012-04-20,84.25,84.45,83.3,84.22,24270.0,201206.0,58718.0
2012-04-24,84.41,85.04,84.16,84.71,16719.0,201206.0,30208.0
2012-04-25,84.93,85.51,84.79,85.27,15080.0,201206.0,32625.0
2012-04-26,85.31,85.57,84.99,85.46,10911.0,201206.0,34971.0
2012-04-27,85.27,85.6,85.01,85.38,7213.0,201206.0,36262.0
2012-04-30,85.21,85.93,85.21,85.79,6497.0,201206.0,36524.0
2012-05-02,85.73,85.9,85.44,85.78,11299.0,201206.0,37614.0
2012-05-03,85.7,86.56,85.68,86.39,25681.0,201206.0,42514.0
2012-05-04,86.46,87.47,86.46,87.04,14704.0,201206.0,43722.0
2012-05-07,86.83,87.62,86.39,87.43,8068.0,201206.0,45468.0
2012-05-08,87.11,87.91,87.11,87.26,16504.0,201206.0,49368.0
2012-05-09,87.3,87.44,86.51,86.81,20268.0,201206.0,51271.0
2012-05-10,86.86,87.38,86.65,87.21,24096.0,201206.0,54483.0
2012-05-11,87.06,87.42,87.01,87.37,10739.0,201206.0,54151.0
2012-05-14,87.3,87.41,86.76,87.08,16066.0,201206.0,59210.0
2012-05-15,87.16,87.2,86.35,86.45,11006.0,201206.0,59324.0
2012-05-16,86.35,86.85,85.92,86.59,23332.0,201206.0,60286.0
2012-05-17,86.62,86.91,86.33,86.84,7983.0,201206.0,61279.0
2012-05-18,86.85,87.35,86.76,87.04,9559.0,201206.0,61685.0
2012-05-21,86.95,87.16,86.69,87.04,10768.0,201206.0,62370.0
2012-05-22,87.11,87.74,87.1,87.68,20413.0,201206.0,63726.0
2012-05-23,87.56,88.36,87.4,88.29,18943.0,201206.0,65862.0
2012-05-24,88.13,90.51,88.09,90.08,28177.0,201206.0,71579.0
2012-05-25,90.18,91.41,90.18,90.46,35369.0,201206.0,68502.0
2012-05-28,90.66,90.66,90.16,90.24,8006.0,201206.0,68463.0
2012-05-29,90.31,90.69,90.27,90.48,11855.0,201206.0,68786.0
2012-05-30,90.51,90.95,89.61,90.55,21303.0,201206.0,70501.0
2012-05-31,90.85,92.53,90.85,92.31,43871.0,201206.0,72100.0
2012-06-01,92.25,95.44,92.09,93.55,51490.0,201206.0,65617.0
2012-06-04,93.45,93.51,92.68,93.05,15349.0,201206.0,63360.0
2012-06-05,92.94,93.06,92.58,92.67,28275.0,201206.0,60349.0
2012-06-06,92.36,92.73,91.68,91.94,57703.0,201206.0,47795.0
2012-06-07,91.78,91.89,89.8,90.41,41747.0,201209.0,41044.0
2012-06-08,90.52,90.97,90.16,90.78,12776.0,201209.0,40670.0
2012-06-11,90.91,90.91,89.88,90.41,9563.0,201209.0,41767.0
2012-06-12,90.38,90.41,88.74,88.98,17939.0,201209.0,42559.0
2012-06-13,88.75,89.12,88.4,88.87,18542.0,201209.0,44642.0
2012-06-14,89.13,89.62,88.63,89.28,14474.0,201209.0,44837.0
2012-06-15,89.18,90.37,89.18,90.26,13693.0,201209.0,46268.0
2012-06-18,90.06,90.26,89.78,89.98,10134.0,201209.0,45309.0
2012-06-19,89.73,90.03,89.38,89.55,13588.0,201209.0,49437.0
2012-06-20,89.58,89.68,89.19,89.36,15029.0,201209.0,50884.0
2012-06-21,89.16,90.18,89.16,89.62,22228.0,201209.0,50140.0
2012-06-22,89.53,90.34,89.53,90.12,13093.0,201209.0,54581.0
2012-06-25,90.07,90.54,89.92,90.26,13800.0,201209.0,56963.0
2012-06-26,90.23,90.38,89.75,89.92,13650.0,201209.0,58315.0
2012-06-27,89.92,90.14,89.51,89.77,12283.0,201209.0,59940.0
2012-06-28,89.74,90.02,89.44,89.48,15163.0,201209.0,62762.0
2012-06-29,89.58,89.58,88.94,89.38,14670.0,201209.0,63857.0
2012-07-02,88.99,90.58,88.99,90.37,10903.0,201209.0,61982.0
2012-07-03,90.38,90.89,90.38,90.77,13142.0,201209.0,64314.0
2012-07-04,90.95,91.19,90.64,90.86,13592.0,201209.0,64112.0
2012-07-05,90.86,91.43,90.64,91.26,22518.0,201209.0,61471.0
2012-07-06,91.36,92.79,91.27,92.57,21211.0,201209.0,64867.0
