Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
2008-10-06,92.08,92.345,92.08,92.27,1040359.0,200812.0,3292879.0
2008-10-07,92.285,92.465,92.285,92.4,1146130.0,200812.0,3237911.0
2008-10-08,92.405,92.8,92.24,92.445,1228381.0,200812.0,3234980.0
2008-10-09,92.435,92.46,92.185,92.375,812625.0,200812.0,3235981.0
2008-10-10,92.4,92.68,92.35,92.645,868403.0,200812.0,3229053.0
2008-10-13,92.68,92.875,92.68,92.85,811919.0,200812.0,3289743.0
2008-10-14,92.855,92.9,92.64,92.755,862723.0,200812.0,3104040.0
2008-10-15,92.75,92.795,92.57,92.735,887472.0,200812.0,3123209.0
2008-10-16,92.74,92.845,92.735,92.775,794233.0,200812.0,3136484.0
2008-10-17,92.795,92.985,92.765,92.965,596757.0,200812.0,3178824.0
2008-10-20,92.965,93.025,92.89,92.925,557011.0,200812.0,3204192.0
2008-10-21,92.945,92.955,92.845,92.93,615379.0,200812.0,3237672.0
2008-10-22,92.95,92.965,92.875,92.88,635254.0,200812.0,3254904.0
2008-10-23,92.88,92.895,92.795,92.83,689811.0,200812.0,3276996.0
2008-10-24,92.83,92.94,92.795,92.925,565870.0,200812.0,3293222.0
2008-10-27,92.93,93.04,92.92,93.035,507156.0,200812.0,3321479.0
2008-10-28,93.03,93.055,92.96,93.01,536280.0,200812.0,3345457.0
2008-10-29,93.02,93.09,93.005,93.075,584524.0,200812.0,3334255.0
2008-10-30,93.065,93.135,93.045,93.125,589140.0,200812.0,3396747.0
2008-10-31,93.13,93.19,93.125,93.14,638050.0,200812.0,3347108.0
2008-11-03,93.145,93.155,93.055,93.125,509857.0,200812.0,3358482.0
2008-11-04,93.13,93.135,93.045,93.065,490497.0,200812.0,3375382.0
2008-11-05,93.09,93.1,93.03,93.075,646555.0,200812.0,3389295.0
2008-11-06,93.08,93.43,93.075,93.125,1041115.0,200812.0,3453016.0
2008-11-07,93.14,93.15,93.065,93.1,587075.0,200812.0,3442815.0
2008-11-17,93.205,93.275,93.17,93.245,550607.0,200812.0,3666142.0
2008-11-18,93.265,93.29,93.23,93.28,431988.0,200812.0,3599306.0
2008-11-19,93.28,93.395,93.28,93.395,558666.0,200812.0,3635340.0
2008-11-20,93.375,93.525,93.375,93.52,765802.0,200812.0,3687370.0
2008-11-21,93.47,93.495,93.39,93.48,672251.0,200812.0,3668696.0
2008-11-24,93.455,93.47,93.355,93.365,440602.0,200812.0,3696515.0
2008-11-25,93.385,93.395,93.27,93.31,657629.0,200812.0,3579461.0
2008-11-26,93.295,93.34,93.28,93.325,550095.0,200812.0,3560485.0
2008-11-27,93.315,93.325,93.28,93.3,338844.0,200812.0,3531064.0
2008-11-28,93.32,93.34,93.28,93.29,412305.0,200812.0,3551580.0
2008-12-01,93.285,93.33,93.23,93.31,527942.0,200812.0,3518186.0
